secteur;indicateur;unite;millesime;niveau_province;niveau_commune;nb_declinaisons
Conditions de vie;Humidité relative moyenne;%;2020-2024;oui;non;1
Conditions de vie;Température maximale moyenne;°C;2020-2024;oui;non;1
Conditions de vie;Température minimale moyenne;°C;2020-2024;oui;non;1
Conditions de vie;Température moyenne;°C;2020-2024;oui;non;1
Conditions de vie;Autoroutes;km;2024;oui;non;1
Conditions de vie;Routes nationales;km;2024;oui;non;1
Conditions de vie;Routes provinciales;km;2024;oui;non;1
Conditions de vie;Routes régionales;km;2024;oui;non;1
Conditions de vie;Utilisation d'Internet;%;2024;oui;non;1
Conditions de vie;Ordinateur personnel;%;2024;oui;non;1
Conditions de vie;Téléphone mobile;%;2024;oui;non;2
Conditions de vie;Population municipale;hab;2024;oui;non;1
Conditions de vie;Ménages;ménages;2024;oui;non;1
Conditions de vie;Taille moyenne des ménages;pers./ménage;2024;oui;non;1
Conditions de vie;Ménages sédentaires;ménages;2024;oui;non;1
Conditions de vie;Type de logement;%;2024;oui;non;6
Conditions de vie;Nombre moyen de personnes par pièce d'habitation;pers./pièce;2024;oui;non;1
Conditions de vie;Statut d'occupation du logement;%;2024;oui;non;3
Conditions de vie;Âge du logement;%;2024;oui;non;4
Conditions de vie;Disponibilité des éléments essentiels de confort;%;2024;oui;non;5
Conditions de vie;Mode d’évacuation des eaux usées;%;2024;oui;non;3
Conditions de vie;Mode d’évacuation des déchets ménagers;%;2024;oui;non;4
Conditions de vie;Combustible de cuisson utilisé;%;2024;oui;non;5
Conditions de vie;Distance moyenne des logements à la route goudronnée;km;2024;oui;non;1
Conditions de vie;Privation;%;2024;oui;oui;6
Conditions de vie;Contribution des conditions de vie à la pauvreté multidimensionnelle;%;2024;oui;oui;1
Conditions de vie;Indice de pauvreté multidimensionnelle MPI;;2014 · 2024;oui;oui;2
Conditions de vie;Taux de pauvreté multidimensionnelle incidence H;%;2014 · 2024;oui;oui;2
Conditions de vie;Intensité de la pauvreté multidimensionnelle A;%;2014 · 2024;oui;oui;2
Conditions de vie;Taux de vulnérabilité à la pauvreté multidimensionnelle;%;2014 · 2024;oui;oui;2
Conditions de vie;Population sédentaire active occupée;hab;2024;oui;oui;1
Conditions de vie;Mode de transport;%;2024;oui;oui;12
Conditions de vie;Contribution au MPI;%;2024;oui;oui;10
Démographie;Entrées migratoires;personnes;2024;oui;oui;3
Démographie;Indice d'entrées migratoires;%;2024;oui;oui;3
Démographie;Indice de sorties migratoires;%;2024;oui;oui;3
Démographie;Natifs du territoire;hab;2024;oui;oui;1
Démographie;Natifs résidant dans leur territoire de naissance;hab;2024;oui;oui;1
Démographie;Population sédentaire;hab;2024;oui;oui;2
Démographie;Sorties migratoires;personnes;2024;oui;oui;3
Démographie;Résidents non migrants;hab;2024;oui;oui;2
Démographie;Population sédentaire de 5 ans et plus;hab;2024;oui;oui;1
Démographie;Résidents installés depuis moins de 5 ans;hab;2024;oui;oui;1
Démographie;Résidents installés depuis moins de 10 ans;hab;2024;oui;oui;1
Démographie;Migrants internationaux;personnes;2024;oui;oui;1
Démographie;Descendance finale des femmes;enfants/femme;2024;oui;oui;1
Démographie;Indicateur conjoncturel de fécondité;enfants/femme;2024;oui;oui;1
Démographie;Population de 10 ans et plus;hab;2024;oui;oui;1
Démographie;Population de 15 ans et plus;hab;2024;oui;oui;1
Démographie;Population de 7 à 12 ans;hab;2024;oui;oui;1
Démographie;Population légale;hab;2014 · 2024;oui;oui;2
Démographie;Population municipale;hab;2024;oui;oui;1
Démographie;Sexe;%;2024;oui;oui;2
Démographie;Âge moyen singulier au mariage;ans;2024;oui;oui;1
Démographie;Âge quinquennal;%;2024;oui;oui;16
Démographie;État matrimonial des 15 ans et plus;%;2024;oui;oui;4
Démographie;Ménages;ménages;2014 · 2024;oui;oui;2
Démographie;Taux d'accroissement annuel des ménages;%;2024;oui;non;1
Démographie;Taux d'accroissement annuel de la population;%;2024;oui;non;1
Démographie;Langues locales utilisées (non exclusives);%;2024;oui;oui;5
Démographie;Population urbaine;hab;2024;oui;non;1
Démographie;Population rurale;hab;2024;oui;non;1
Démographie;Taux d'urbanisation;%;2024;oui;non;1
Emploi;Population active de 15 ans et plus;hab;2024;oui;oui;1
Emploi;Population active occupée de 15 ans et plus;hab;2024;oui;oui;1
Emploi;Population inactive de 15 ans et plus;hab;2024;oui;oui;1
Emploi;Statut professionnel des actifs occupés de 15 ans et plus;%;2024;oui;oui;8
Emploi;Taux d'activité des 15 ans et plus;%;2024;oui;oui;1
Emploi;Taux de chômage;%;2024;oui;oui;1
Santé;Taux de prévalence du handicap;%;2024;oui;oui;1
Santé;Habitants par ESSP;hab./unité;2024;oui;non;3
Santé;Habitants par médecin;hab./unité;2024;oui;non;2
Santé;Habitants par médecin du RESSP;hab./unité;2024;oui;non;3
Santé;Habitants par infirmier;hab./unité;2024;oui;non;1
Santé;Habitants par infirmier du RESSP;hab./unité;2024;oui;non;3
Santé;Habitants par lit hospitalier;hab./unité;2024;oui;non;2
Santé;Habitants par médecin dentiste;hab./unité;2024;oui;non;2
Santé;Habitants par scanner;hab./unité;2024;oui;non;1
Santé;Habitants par officine de pharmacie;hab./unité;2024;oui;non;3
Santé;Privation;%;2024;oui;oui;2
Santé;Contribution de la santé à la pauvreté multidimensionnelle;%;2024;oui;oui;1
Santé;Établissements avec module d'accouchement;établissements;2024;oui;oui;1
Santé;Établissements avec unité UMP;établissements;2024;oui;oui;1
Santé;Établissements de rattachement RAMED;établissements;2024;oui;oui;1
Éducation;Langues lues et écrites par les alphabètes de 10 ans et plus (non exclusives);%;2024;oui;oui;4
Éducation;Niveau d'études dans l'enseignement général;%;2024;oui;oui;6
Éducation;Population alphabète de 10 ans et plus;hab;2024;oui;oui;1
Éducation;Taux d'analphabétisme des 10 ans et plus;%;2024;oui;oui;1
Éducation;Taux d'analphabétisme des 15 ans et plus;%;2024;oui;oui;1
Éducation;Taux de scolarisation des 6-11 ans en 2023/2024;%;2024;oui;oui;1
Éducation;Collèges publics recensés;établissements;2021;oui;oui;2
Éducation;Écoles primaires publiques recensées;établissements;2021;oui;oui;2
Éducation;Lycées publics recensés;établissements;2021;oui;oui;2
Éducation;Privation;%;2024;oui;oui;2
Éducation;Contribution de l'éducation à la pauvreté multidimensionnelle;%;2024;oui;oui;1
Éducation;Établissements primaire public;établissements;2023-2024;oui;non;1
Éducation;Établissements primaire privé;établissements;2023-2024;oui;non;1
Éducation;Établissements primaire public + privé;établissements;2023-2024;oui;non;1
Éducation;Satellites (unités scolaires) du primaire public;satellites;2023-2024;oui;non;1
Éducation;Établissements collégial public;établissements;2023-2024;oui;non;1
Éducation;Établissements collégial privé;établissements;2023-2024;oui;non;1
Éducation;Établissements collégial public + privé;établissements;2023-2024;oui;non;1
Éducation;Établissements qualifiant public;établissements;2023-2024;oui;non;1
Éducation;Établissements qualifiant privé;établissements;2023-2024;oui;non;1
Éducation;Établissements qualifiant public + privé;établissements;2023-2024;oui;non;1
