niveau;nom;province_de_rattachement
commune;Commune d'Abdelghaya Souahel;Cercle de Ketama
commune;Commune d'Ain Beida;Cercle de Moqrissat
commune;Commune d'Ain Lahsan;Cercle de Jebala
commune;Commune d'Ait Kamra;Cercle de Bni Ouriaghel Gharbia
commune;Commune d'Ait Youssef Ou Ali;Cercle de Bni Ouriaghel Charqia
commune;Commune d'Ajdir;Al Hoceima
commune;Commune d'Al Bahraoyine;Cercle de Fahs
commune;Commune d'Al Hamra;Cercle de Tétouan
commune;Commune d'Al Hoceima;Al Hoceima
commune;Commune d'Al Kharroub;Cercle de Jebala
commune;Commune d'Al Manzla;Cercle de Tanger
commune;Commune d'Al Oued;Cercle de Tétouan
commune;Commune d'Allyene;M'diq-Fnideq
commune;Commune d'Amtar;Cercle de Jebha
commune;Commune d'Anjra;Cercle d'Anjra
commune;Commune d'Aquouass Briech;Cercle d'Assilah
commune;Commune d'Arbaa Taourirt;Cercle de Bni Ouriaghel Charqia
commune;Commune d'Asjen;Cercle de Moqrissat
commune;Commune d'Assilah;Tanger-Assilah
commune;Commune d'Ayacha;Cercle de Moulay Abdeslem-Ben M'chich
commune;Commune d'Azla;Cercle de Tétouan
commune;Commune d'Imrabten;Cercle de Bni Ouriaghel Charqia
commune;Commune d'Imzouren;Al Hoceima
commune;Commune d'Iounane;Cercle de Bab Berred
commune;Commune d'Issaguen;Cercle de Ketama
commune;Commune d'Izemmouren;Cercle de Bni Ouriaghel Gharbia
commune;Commune d'Ouannana;Cercle d'Al Ouahda
commune;Commune d'Ouaouzgane;Cercle de Jebha
commune;Commune d'Oued Laou;Tétouan
commune;Commune d'Oued Malha;Cercle de Bni Ahmed
commune;Commune d'Ouezzane;Ouezzane
commune;Commune d'Oulad Ali Mansour;Cercle de Tétouan
commune;Commune d'Oulad Ouchih;Cercle d'Oued El Makhazine
commune;Commune de Bab Berred;Cercle de Bab Berred
commune;Commune de Bab Taza;Cercle de Bab Taza
commune;Commune de Belyounech;M'diq-Fnideq
commune;Commune de Bghaghza;Cercle de Jebala
commune;Commune de Bni Abdellah;Cercle de Bni Ouriaghel Gharbia
commune;Commune de Bni Ahmed Cherqia;Cercle de Bni Ahmed
commune;Commune de Bni Ahmed Gharbia;Cercle de Bni Ahmed
commune;Commune de Bni Ahmed Imoukzan;Cercle de Targuist
commune;Commune de Bni Ammart;Cercle de Targuist
commune;Commune de Bni Arouss;Cercle de Moulay Abdeslem-Ben M'chich
commune;Commune de Bni Bchir;Cercle de Targuist
commune;Commune de Bni Bouayach;Al Hoceima
commune;Commune de Bni Bouchibet;Cercle de Ketama
commune;Commune de Bni Boufrah;Cercle de Bni Boufrah
commune;Commune de Bni Bounsar;Cercle de Targuist
commune;Commune de Bni Bouzra;Cercle de Bou Ahmed
