province_prefecture,commune_rurale,nb_douars,menages_total,acces_sante_km,acces_sante_med,acces_route_goudronnee_km,acces_ecole_primaire_km,acces_college_km,pct_douars_sante_plus5km,territoire_id
 الحسيمة  Al Hoceima,Tifarouine تيفروين,9.0,800.0,26.0,25.1,0.5,1.8,9.2,88.9,110.0
شفشاون Chefchaouen,M'tioua متيوة,35.0,1243.0,17.7,10.3,3.9,1.2,17.7,51.4,140.0
 الحسيمة  Al Hoceima,Bni Bouchibet بني بوشيبت,23.0,1826.0,17.3,17.4,10.1,1.9,16.3,69.6,132.0
العرائش Larache,Souk L'Qolla سوق القلة,63.0,3176.0,16.9,10.8,1.3,0.9,14.5,65.1,87.0
Tétouan تطوان,Zinat الزينات,14.0,1726.0,15.8,16.5,1.1,3.6,14.4,64.3,68.0
 الحسيمة  Al Hoceima,Abdelghaya Souahel عبد الغاية السواحل,34.0,5156.0,15.0,14.0,6.8,2.6,15.0,85.3,134.0
 الحسيمة  Al Hoceima,Taghzout تاغزوت,10.0,993.0,14.8,4.0,3.3,1.4,5.8,20.0,133.0
Tanger-Assilah طنجة - أصيلة ,Dar Chaoui دار الشاوي,10.0,677.0,13.6,7.3,0.5,0.9,13.5,60.0,38.0
 الحسيمة  Al Hoceima,Ketama كتامة,21.0,3699.0,13.6,10.4,5.1,3.4,11.3,71.4,129.0
Tétouan تطوان,Sahtryine السحتريين,21.0,1987.0,13.5,19.6,1.4,1.4,10.9,76.2,60.0
شفشاون Chefchaouen,Ouaouzgane ووزكان,33.0,2722.0,13.2,9.3,6.4,2.6,13.3,81.8,141.0
شفشاون Chefchaouen,Tamorot تمروت,28.0,5304.0,13.1,8.4,6.3,2.4,18.7,78.6,138.0
وزان Ouazzane,Moqrisset مقريصات,39.0,2037.0,12.9,6.6,1.2,1.7,12.9,51.3,176.0
 الحسيمة  Al Hoceima,Moulay Ahmed Cherif مولاي احمد الشريف,18.0,1836.0,12.6,13.2,1.8,3.0,9.4,83.3,130.0
العرائش Larache,Laouamra العوامرة,20.0,5586.0,12.2,11.6,1.1,1.0,7.6,85.0,82.0
