etablissement_id,nom_etablissement,adresse,commune,province,region,type_etablissement,fk_territoire,commune_norm,territoire_id_commune
1,ecole SAIDA SOUKAINA  BENT HOUSSEINE,RUE CHRICHARE N10 TETOUAN,Tétouan,Tétouan,Tanger-Tetouan-Al Hoceima,primaire,tetouan,tetouan,51
2,ecole THAMI EL OUAZZANI,av  AHMED AGZOUL HAY ZIANA ,Tétouan,Tétouan,Tanger-Tetouan-Al Hoceima,primaire,tetouan,tetouan,51
3,ecole MOULAY AL HASSAN,AV ABOU BAKR RAZI HAY moulay AL HASSAN  TETOUAN,Tétouan,Tétouan,Tanger-Tetouan-Al Hoceima,primaire,tetouan,tetouan,51
4,ecole AL IMAM ABOU LHASSAN CHADLI,AV BADR CHAKIR SIAB HAY MOULAY HASSAN TETOUAN,Tétouan,Tétouan,Tanger-Tetouan-Al Hoceima,primaire,tetouan,tetouan,51
5,ecole LISSAN EDDINE IBN AL KHATIB,AV TAHRANE HAY MOULAY HASSAN  TETOUAN,Tétouan,Tétouan,Tanger-Tetouan-Al Hoceima,primaire,tetouan,tetouan,51
6,ecole IBNOU ZAYDOUNE,RUE TINDOUF TOUABEL 2  TETOUAN,Tétouan,Tétouan,Tanger-Tetouan-Al Hoceima,primaire,tetouan,tetouan,51
7,ecole KHALID IBNOU OUALID,AV DES FAR  rond point AL MATAR  TETOUAN,Tétouan,Tétouan,Tanger-Tetouan-Al Hoceima,primaire,tetouan,tetouan,51
8,ecole MOHAMMED VI,RUE MOHAMED HAJJAJ TOUABEL HOULIA  TETOUAN,Tétouan,Tétouan,Tanger-Tetouan-Al Hoceima,primaire,tetouan,tetouan,51
9,ecole IBN AL ATIR,RUE HAJ MOHAMED BENOUNA TOUILA,Tétouan,Tétouan,Tanger-Tetouan-Al Hoceima,primaire,tetouan,tetouan,51
10,ecole FATIMA ZAHRA,HAY BOUJARRAH BP641  TETOUAN,Tétouan,Tétouan,Tanger-Tetouan-Al Hoceima,primaire,tetouan,tetouan,51
11,ecole OUM AL BANINE,HAY MSALA RUE KENITRA  TETOUAN,Tétouan,Tétouan,Tanger-Tetouan-Al Hoceima,primaire,tetouan,tetouan,51
12,ecole MY ABDESLAM BEN MCHICHE,MHANECHE II  TETOUAN,Tétouan,Tétouan,Tanger-Tetouan-Al Hoceima,primaire,tetouan,tetouan,51
13,ecole FKIH TANGI ,HAY COELMA  TETOUAN,Tétouan,Tétouan,Tanger-Tetouan-Al Hoceima,primaire,tetouan,tetouan,51
14,ecole IBN TOUFAIL,HAY TAFALINE  TETOUAN,Tétouan,Tétouan,Tanger-Tetouan-Al Hoceima,primaire,tetouan,tetouan,51
15,ECOLE 18 NOVEMBRE,HAY BOUJARRAH   TETOUAN,Tétouan,Tétouan,Tanger-Tetouan-Al Hoceima,primaire,tetouan,tetouan,51
16,ecole IBN ROCHD,AV D ALGER TETOUAN AL AZHAR,Tétouan,Tétouan,Tanger-Tetouan-Al Hoceima,primaire,tetouan,tetouan,51
17,ecole IBN KHALDOUN,place iben khaldoun,Tétouan,Tétouan,Tanger-Tetouan-Al Hoceima,primaire,tetouan,tetouan,51
18,ecole SIDI SAIDI,AV MOHAMED EL KHATIB N 6  TETOUAN,Tétouan,Tétouan,Tanger-Tetouan-Al Hoceima,primaire,tetouan,tetouan,51
19,ecole LALLA MARYEME,RUE OUAD AL MAKHAZINE  TETOUAN,Tétouan,Tétouan,Tanger-Tetouan-Al Hoceima,primaire,tetouan,tetouan,51
20,ecole ASSAYIDA AMINA,RUE ALLAL IBN ABDELLAH  ,Tétouan,Tétouan,Tanger-Tetouan-Al Hoceima,primaire,tetouan,tetouan,51
21,ecole SIDI AHMED BAKAL,AV ABOU BAKR ESSEDDIQ JBEL DERSA TETOUAN,Tétouan,Tétouan,Tanger-Tetouan-Al Hoceima,primaire,tetouan,tetouan,51
22,Ecole SIDI ALI BARAKA ,AV ABDELKARIM KHATABI N4  TETOUAN,Tétouan,Tétouan,Tanger-Tetouan-Al Hoceima,primaire,tetouan,tetouan,51
23,ecole ASSAYIDA  ZAINAB,AV MOHAMED ABDELKARIM AL KHATABI N4  TETOUAN,Tétouan,Tétouan,Tanger-Tetouan-Al Hoceima,primaire,tetouan,tetouan,51
24,ECOLE MAGHREB ARABI  ,DIOR AL MAKHZEN JBEL DERSSA  TETOUAN,Tétouan,Tétouan,Tanger-Tetouan-Al Hoceima,primaire,tetouan,tetouan,51
25,ECOLE OUED AL MAKHAZINE,AV BILAL BNOU RABAH SIDI TALHA  TETOUAN,Tétouan,Tétouan,Tanger-Tetouan-Al Hoceima,primaire,tetouan,tetouan,51
26,ECOLE SIDI AHMED ZEOUAK,AV MOUSSA IBN NOUSSAIR  TETOUAN,Tétouan,Tétouan,Tanger-Tetouan-Al Hoceima,primaire,tetouan,tetouan,51
