indicateur_id,nom_indicateur,theme,table_pg,mode_stockage,colonne_valeur,filtre_indicateur,colonne_territoire,unite
1,humidite,climate,climate_cleaned_climat_region_tta,long,valeur,humidite,territoire_id,%
2,temp_max,climate,climate_cleaned_climat_region_tta,long,valeur,temp_max,territoire_id,°C
3,temp_min,climate,climate_cleaned_climat_region_tta,long,valeur,temp_min,territoire_id,°C
4,temp_moyenne,climate,climate_cleaned_climat_region_tta,long,valeur,temp_moyenne,territoire_id,°C
5,entrees,demography,demography_cleaned_la_base_de_donn_es_excel_de_la_migration_,long,valeur,entrees,territoire_id,
6,indice_entrees (%),demography,demography_cleaned_la_base_de_donn_es_excel_de_la_migration_,long,valeur,indice_entrees (%),territoire_id,
7,indice_sortie (%),demography,demography_cleaned_la_base_de_donn_es_excel_de_la_migration_,long,valeur,indice_sortie (%),territoire_id,
8,natifs,demography,demography_cleaned_la_base_de_donn_es_excel_de_la_migration_,long,valeur,natifs,territoire_id,
9,natifs_residents_non_migrants,demography,demography_cleaned_la_base_de_donn_es_excel_de_la_migration_,long,valeur,natifs_residents_non_migrants,territoire_id,
10,population_sedentaire,demography,demography_cleaned_la_base_de_donn_es_excel_de_la_migration_,long,valeur,population_sedentaire,territoire_id,
11,sorties,demography,demography_cleaned_la_base_de_donn_es_excel_de_la_migration_,long,valeur,sorties,territoire_id,
12,entrees,demography,demography_cleaned_la_base_de_donn_es_excel_de_la_migration__2,long,valeur,entrees,territoire_id,
13,indice_entrees (%),demography,demography_cleaned_la_base_de_donn_es_excel_de_la_migration__2,long,valeur,indice_entrees (%),territoire_id,
14,indice_sortie (%),demography,demography_cleaned_la_base_de_donn_es_excel_de_la_migration__2,long,valeur,indice_sortie (%),territoire_id,
15,natifs_residents_non_migrants,demography,demography_cleaned_la_base_de_donn_es_excel_de_la_migration__2,long,valeur,natifs_residents_non_migrants,territoire_id,
16,population_sedentaire_5ans_plus,demography,demography_cleaned_la_base_de_donn_es_excel_de_la_migration__2,long,valeur,population_sedentaire_5ans_plus,territoire_id,
17,residents_recents_5ans,demography,demography_cleaned_la_base_de_donn_es_excel_de_la_migration__2,long,valeur,residents_recents_5ans,territoire_id,
18,sorties,demography,demography_cleaned_la_base_de_donn_es_excel_de_la_migration__2,long,valeur,sorties,territoire_id,
19,entrees,demography,demography_cleaned_la_base_de_donn_es_excel_de_la_migration__3,long,valeur,entrees,territoire_id,
20,indice_entrees (%),demography,demography_cleaned_la_base_de_donn_es_excel_de_la_migration__3,long,valeur,indice_entrees (%),territoire_id,
21,indice_sortie (%),demography,demography_cleaned_la_base_de_donn_es_excel_de_la_migration__3,long,valeur,indice_sortie (%),territoire_id,
22,natifs_residents_non_migrants,demography,demography_cleaned_la_base_de_donn_es_excel_de_la_migration__3,long,valeur,natifs_residents_non_migrants,territoire_id,
23,population_sedentaire,demography,demography_cleaned_la_base_de_donn_es_excel_de_la_migration__3,long,valeur,population_sedentaire,territoire_id,
