territoire_id,niveau,nom,parent_id,code_hcp,code_hcp_douar,nom_normalise,slug_legacy
1,region,Tanger-Tétouan-Al Hoceïma,,1.0,,tanger tetouan al hoceima,
2,prefecture_province,Tanger-Assilah,1.0,1511.0,,tanger assilah,
3,prefecture_province,M'diq-Fnideq,1.0,1573.0,,m'diq fnideq,
4,prefecture_province,Tétouan,1.0,1571.0,,tetouan,
5,prefecture_province,Fahs-Anjra,1.0,1227.0,,fahs anjra,
6,prefecture_province,Larache,1.0,1331.0,,larache,
7,prefecture_province,Al Hoceima,1.0,1051.0,,al hoceima,
8,prefecture_province,Chefchaouen,1.0,1151.0,,chefchaouen,
9,prefecture_province,Ouezzane,1.0,1405.0,,ouezzane,
10,cercle,Cercle de Tanger,2.0,151105.0,,cercle de tanger,
11,cercle,Cercle d'Assilah,2.0,151103.0,,cercle d'assilah,
12,cercle,Cercle de Jebala,4.0,157103.0,,cercle de jebala,
13,cercle,Cercle de Tétouan,4.0,157105.0,,cercle de tetouan,
14,cercle,Cercle de Fahs,5.0,122705.0,,cercle de fahs,
15,cercle,Cercle d'Anjra,5.0,122703.0,,cercle d'anjra,
16,cercle,Cercle de Loukouss,6.0,133107.0,,cercle de loukouss,
17,cercle,Cercle de Moulay Abdeslem-Ben M'chich,6.0,133109.0,,cercle de moulay abdeslem-ben m'chich,
18,cercle,Cercle d'Oued El Makhazine,6.0,133111.0,,cercle d'oued el makhazine,
19,cercle,Cercle de Bni Boufrah,7.0,105103.0,,cercle de bni boufrah,
20,cercle,Cercle de Bni Ouriaghel Charqia,7.0,105113.0,,cercle de bni ouriaghel charqia,
21,cercle,Cercle de Bni Ouriaghel Gharbia,7.0,105111.0,,cercle de bni ouriaghel gharbia,
22,cercle,Cercle de Targuist,7.0,105107.0,,cercle de targuist,
23,cercle,Cercle de Ketama,7.0,105109.0,,cercle de ketama,
24,cercle,Cercle de Bab Berred,8.0,115103.0,,cercle de bab berred,
25,cercle,Cercle de Jebha,8.0,115109.0,,cercle de jebha,
26,cercle,Cercle de Bni Ahmed,8.0,115106.0,,cercle de bni ahmed,
27,cercle,Cercle de Bab Taza,8.0,115105.0,,cercle de bab taza,
28,cercle,Cercle d'Assifane,8.0,115111.0,,cercle d'assifane,
29,cercle,Cercle de Bou Ahmed,8.0,115107.0,,cercle de bou ahmed,
30,cercle,Cercle d'Ouezzane,9.0,140507.0,,cercle d'ouezzane,
31,cercle,Cercle d'Al Ouahda,9.0,140513.0,,cercle d'al ouahda,
32,cercle,Cercle de Moqrissat,9.0,140509.0,,cercle de moqrissat,
33,cercle,Cercle de Zoumi,9.0,140511.0,,cercle de zoumi,
34,commune,Commune de Tanger,2.0,1511010.0,,commune de tanger,
35,commune,Commune d'Assilah,2.0,15110101.0,,commune d'assilah,
36,commune,Commune de Gueznaia,2.0,15110109.0,,commune de gueznaia,
37,commune,Commune de Hjar Ennhal,10.0,15110519.0,,commune de hjar ennhal,hjar_ennhal_tanger_assilah
38,commune,Commune de Dar Chaoui,10.0,15110507.0,,commune de dar chaoui,dar_chaoui_tanger_assilah
39,commune,Commune d'Al Manzla,10.0,15110501.0,,commune d'al manzla,al_manzla_tanger_assilah
40,commune,Commune de Laaouama,10.0,15110517.0,,commune de laaouama,laaouama_tanger_assilah
41,commune,Commune de Sebt Azzinate,10.0,15110505.0,,commune de sebt azzinate,
42,commune,Commune d'Aquouass Briech,11.0,15110303.0,,commune d'aquouass briech,aquouass_briech_tanger_assilah
43,commune,Commune de Had Al Gharbia,11.0,15110315.0,,commune de had al gharbia,had_al_gharbia_tanger_assilah
44,commune,Commune de Sahel Chamali,11.0,15110311.0,,commune de sahel chamali,sahel_chamali_tanger_assilah
45,commune,Commune de Sidi Lyamani,11.0,15110313.0,,commune de sidi lyamani,sidi_lyamani_tanger_assilah
46,commune,Commune de M'diq,3.0,15730105.0,,commune de m'diq,
47,commune,Commune de Fnideq,3.0,15730101.0,,commune de fnideq,
48,commune,Commune de Martil,3.0,15730103.0,,commune de martil,
49,commune,Commune d'Allyene,3.0,15730107.0,,commune d'allyene,allyene_m_diq_fnideq
50,commune,Commune de Belyounech,3.0,15730109.0,,commune de belyounech,belyounech_m_diq_fnideq
51,commune,Commune de Tétouan,4.0,15710111.0,,commune de tetouan,
52,commune,Commune d'Oued Laou,4.0,15710107.0,,commune d'oued laou,
53,commune,Commune d'Ain Lahsan,12.0,15710301.0,,commune d'ain lahsan,ain_lahsan_tetouan
54,commune,Commune de Souk Kdim,12.0,15710319.0,,commune de souk kdim,souk_kdim_tetouan
55,commune,Commune de Jbel Lahbib,12.0,15710309.0,,commune de jbel lahbib,jbel_lahbib_tetouan
56,commune,Commune de Bni Harchen,12.0,15710307.0,,commune de bni harchen,bni_harchen_tetouan
57,commune,Commune d'Al Kharroub,12.0,15710303.0,,commune d'al kharroub,al_kharroub_tetouan
58,commune,Commune de Mallalienne,12.0,15710315.0,,commune de mallalienne,mallalienne_tetouan
59,commune,Commune de Saddina,12.0,15710317.0,,commune de saddina,saddina_tetouan
60,commune,Commune de Sahtryine,12.0,15710321.0,,commune de sahtryine,sahtryine_tetouan
61,commune,Commune de Bni Idder,12.0,15710311.0,,commune de bni idder,bni_idder_tetouan
62,commune,Commune de Bghaghza,12.0,15710305.0,,commune de bghaghza,bghaghza_tetouan
63,commune,Commune de Bni Leit,13.0,15710513.0,,commune de bni leit,bni_leit_tetouan
64,commune,Commune d'Al Hamra,13.0,15710501.0,,commune d'al hamra,al_hamra_tetouan
65,commune,Commune d'Al Oued,13.0,15710505.0,,commune d'al oued,al_oued_tetouan
66,commune,Commune d'Oulad Ali Mansour,13.0,15710519.0,,commune d'oulad ali mansour,oulad_ali_mansour_tetouan
67,commune,Commune de Dar Bni Karrich,13.0,15710517.0,,commune de dar bni karrich,dar_bni_karrich_tetouan
68,commune,Commune de Zinat,13.0,15710527.0,,commune de zinat,zinat_tetouan
69,commune,Commune d'Azla,13.0,15710507.0,,commune d'azla,azla_tetouan
70,commune,Commune de Zaitoune,13.0,15710523.0,,commune de zaitoune,zaitoune_tetouan
71,commune,Commune de Bni Said,13.0,15710515.0,,commune de bni said,
72,commune,Commune de Zaouiat Sidi Kacem,13.0,15710525.0,,commune de zaouiat sidi kacem,zaouiat_sidi_kacem_tetouan
73,commune,Commune de Malloussa,14.0,12270509.0,,commune de malloussa,malloussa_fahs_anjra
74,commune,Commune d'Al Bahraoyine,14.0,12270501.0,,commune d'al bahraoyine,al_bahraoyine_fahs_anjra
75,commune,Commune de Ksar Sghir,14.0,12270505.0,,commune de ksar sghir,ksar_sghir_fahs_anjra
76,commune,Commune de Jouamaa,15.0,12270311.0,,commune de jouamaa,jouamaa_fahs_anjra
77,commune,Commune d'Anjra,15.0,12270305.0,,commune d'anjra,anjra_fahs_anjra
78,commune,Commune de Taghramt,15.0,12270321.0,,commune de taghramt,taghramt_fahs_anjra
79,commune,Commune de Ksar El Majaz,15.0,12270313.0,,commune de ksar el majaz,ksar_el_majaz_fahs_anjra
80,commune,Commune de Ksar El Kebir,6.0,13310101.0,,commune de ksar el kebir,
81,commune,Commune de Larache,6.0,13310103.0,,commune de larache,
82,commune,Commune de Laouamra,16.0,13310705.0,,commune de laouamra,laouamra_larache
83,commune,Commune de Zouada,16.0,13310717.0,,commune de zouada,zouada_larache
84,commune,Commune de Ksar Bjir,16.0,13310703.0,,commune de ksar bjir,ksar_bjir_larache
85,commune,Commune de Boujedyane,16.0,13310701.0,,commune de boujedyane,bou_jedyane_larache
86,commune,Commune de Tatoft,16.0,13310715.0,,commune de tatoft,tatoft_larache
87,commune,Commune de Souk L'qolla,16.0,13310711.0,,commune de souk l'qolla,souk_l_qolla_larache
88,commune,Commune de Bni Arouss,17.0,13310903.0,,commune de bni arouss,bni_arouss_larache
89,commune,Commune de Tazroute,17.0,13310913.0,,commune de tazroute,tazroute_larache
