province_prefecture,indicateur,valeur,fk_territoire,theme,fichier_source,territoire_id
Tanger - Tétouan - Al Hoceima,Infirmier polyvalent,743,tanger tetouan al hoceima,sante,cleaned_sante_15__Personnel_paramédical__exerçant_dans_le_RESSP__par_province__ou_préfecture___public.csv,1
Al Hoceima,Infirmier polyvalent,142,al hoceima,sante,cleaned_sante_15__Personnel_paramédical__exerçant_dans_le_RESSP__par_province__ou_préfecture___public.csv,7
Chefchaouen,Infirmier polyvalent,122,chefchaouen,sante,cleaned_sante_15__Personnel_paramédical__exerçant_dans_le_RESSP__par_province__ou_préfecture___public.csv,8
Fahs-Anjra,Infirmier polyvalent,32,fahs anjra,sante,cleaned_sante_15__Personnel_paramédical__exerçant_dans_le_RESSP__par_province__ou_préfecture___public.csv,5
Larache,Infirmier polyvalent,86,larache,sante,cleaned_sante_15__Personnel_paramédical__exerçant_dans_le_RESSP__par_province__ou_préfecture___public.csv,6
Mdiq-Fnideq,Infirmier polyvalent,41,m'diq fnideq,sante,cleaned_sante_15__Personnel_paramédical__exerçant_dans_le_RESSP__par_province__ou_préfecture___public.csv,3
Ouezzane,Infirmier polyvalent,85,ouezzane,sante,cleaned_sante_15__Personnel_paramédical__exerçant_dans_le_RESSP__par_province__ou_préfecture___public.csv,9
Tanger Assilah,Infirmier polyvalent,122,tanger assilah,sante,cleaned_sante_15__Personnel_paramédical__exerçant_dans_le_RESSP__par_province__ou_préfecture___public.csv,2
Tetouan,Infirmier polyvalent,113,tetouan,sante,cleaned_sante_15__Personnel_paramédical__exerçant_dans_le_RESSP__par_province__ou_préfecture___public.csv,4
Tanger - Tétouan - Al Hoceima,Sage femme,377,tanger tetouan al hoceima,sante,cleaned_sante_15__Personnel_paramédical__exerçant_dans_le_RESSP__par_province__ou_préfecture___public.csv,1
Al Hoceima,Sage femme,62,al hoceima,sante,cleaned_sante_15__Personnel_paramédical__exerçant_dans_le_RESSP__par_province__ou_préfecture___public.csv,7
Chefchaouen,Sage femme,57,chefchaouen,sante,cleaned_sante_15__Personnel_paramédical__exerçant_dans_le_RESSP__par_province__ou_préfecture___public.csv,8
