province_prefecture,indicateur,valeur,fk_territoire,theme,fichier_source,territoire_id
Tanger - Tétouan - Al Hoceima,Urbain,59921,tanger tetouan al hoceima,sante,cleaned_sante_17__Consultations_prénatales_par_milieu_et_par_province__ou_préfecture_.csv,1
Al Hoceima,Urbain,3407,al hoceima,sante,cleaned_sante_17__Consultations_prénatales_par_milieu_et_par_province__ou_préfecture_.csv,7
Chefchaouen,Urbain,1726,chefchaouen,sante,cleaned_sante_17__Consultations_prénatales_par_milieu_et_par_province__ou_préfecture_.csv,8
Fahs-Anjra,Urbain,0,fahs anjra,sante,cleaned_sante_17__Consultations_prénatales_par_milieu_et_par_province__ou_préfecture_.csv,5
Larache,Urbain,4283,larache,sante,cleaned_sante_17__Consultations_prénatales_par_milieu_et_par_province__ou_préfecture_.csv,6
Ouezzane,Urbain,4044,ouezzane,sante,cleaned_sante_17__Consultations_prénatales_par_milieu_et_par_province__ou_préfecture_.csv,9
Tanger-Assilah,Urbain,29043,tanger assilah,sante,cleaned_sante_17__Consultations_prénatales_par_milieu_et_par_province__ou_préfecture_.csv,2
Tétouan,Urbain,8290,tetouan,sante,cleaned_sante_17__Consultations_prénatales_par_milieu_et_par_province__ou_préfecture_.csv,4
M'Diq-Fnideq,Urbain,9128,m'diq fnideq,sante,cleaned_sante_17__Consultations_prénatales_par_milieu_et_par_province__ou_préfecture_.csv,3
Tanger - Tétouan - Al Hoceima,Rural,50152,tanger tetouan al hoceima,sante,cleaned_sante_17__Consultations_prénatales_par_milieu_et_par_province__ou_préfecture_.csv,1
Al Hoceima,Rural,5980,al hoceima,sante,cleaned_sante_17__Consultations_prénatales_par_milieu_et_par_province__ou_préfecture_.csv,7
Chefchaouen,Rural,14078,chefchaouen,sante,cleaned_sante_17__Consultations_prénatales_par_milieu_et_par_province__ou_préfecture_.csv,8
Fahs-Anjra,Rural,4625,fahs anjra,sante,cleaned_sante_17__Consultations_prénatales_par_milieu_et_par_province__ou_préfecture_.csv,5
Larache,Rural,7093,larache,sante,cleaned_sante_17__Consultations_prénatales_par_milieu_et_par_province__ou_préfecture_.csv,6
Ouezzane,Rural,8935,ouezzane,sante,cleaned_sante_17__Consultations_prénatales_par_milieu_et_par_province__ou_préfecture_.csv,9
Tanger-Assilah,Rural,4151,tanger assilah,sante,cleaned_sante_17__Consultations_prénatales_par_milieu_et_par_province__ou_préfecture_.csv,2
Tétouan,Rural,5008,tetouan,sante,cleaned_sante_17__Consultations_prénatales_par_milieu_et_par_province__ou_préfecture_.csv,4
M'Diq-Fnideq,Rural,282,m'diq fnideq,sante,cleaned_sante_17__Consultations_prénatales_par_milieu_et_par_province__ou_préfecture_.csv,3
Tanger - Tétouan - Al Hoceima,Ensemble,110073,tanger tetouan al hoceima,sante,cleaned_sante_17__Consultations_prénatales_par_milieu_et_par_province__ou_préfecture_.csv,1
Al Hoceima,Ensemble,9387,al hoceima,sante,cleaned_sante_17__Consultations_prénatales_par_milieu_et_par_province__ou_préfecture_.csv,7
Chefchaouen,Ensemble,15804,chefchaouen,sante,cleaned_sante_17__Consultations_prénatales_par_milieu_et_par_province__ou_préfecture_.csv,8
Fahs-Anjra,Ensemble,4625,fahs anjra,sante,cleaned_sante_17__Consultations_prénatales_par_milieu_et_par_province__ou_préfecture_.csv,5
Larache,Ensemble,11376,larache,sante,cleaned_sante_17__Consultations_prénatales_par_milieu_et_par_province__ou_préfecture_.csv,6
Ouezzane,Ensemble,12979,ouezzane,sante,cleaned_sante_17__Consultations_prénatales_par_milieu_et_par_province__ou_préfecture_.csv,9
Tanger-Assilah,Ensemble,33194,tanger assilah,sante,cleaned_sante_17__Consultations_prénatales_par_milieu_et_par_province__ou_préfecture_.csv,2
Tétouan,Ensemble,13298,tetouan,sante,cleaned_sante_17__Consultations_prénatales_par_milieu_et_par_province__ou_préfecture_.csv,4
M'Diq-Fnideq,Ensemble,9410,m'diq fnideq,sante,cleaned_sante_17__Consultations_prénatales_par_milieu_et_par_province__ou_préfecture_.csv,3
