province_prefecture,indicateur,valeur,fk_territoire,theme,fichier_source,territoire_id
Tanger - Tétouan - Al Hoceima,Injections,1934,tanger tetouan al hoceima,sante,cleaned_sante_19__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_province__ou_préfecture___Nouvelles_acceptante.csv,1
Al Hoceima,Injections,159,al hoceima,sante,cleaned_sante_19__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_province__ou_préfecture___Nouvelles_acceptante.csv,7
Chefchaouen,Injections,230,chefchaouen,sante,cleaned_sante_19__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_province__ou_préfecture___Nouvelles_acceptante.csv,8
Fahs-Anjra,Injections,58,fahs anjra,sante,cleaned_sante_19__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_province__ou_préfecture___Nouvelles_acceptante.csv,5
Larache,Injections,365,larache,sante,cleaned_sante_19__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_province__ou_préfecture___Nouvelles_acceptante.csv,6
Ouezzane,Injections,353,ouezzane,sante,cleaned_sante_19__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_province__ou_préfecture___Nouvelles_acceptante.csv,9
Tanger Assilah,Injections,447,tanger assilah,sante,cleaned_sante_19__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_province__ou_préfecture___Nouvelles_acceptante.csv,2
Tetouan,Injections,139,tetouan,sante,cleaned_sante_19__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_province__ou_préfecture___Nouvelles_acceptante.csv,4
Mdiq-Fnideq,Injections,183,m'diq fnideq,sante,cleaned_sante_19__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_province__ou_préfecture___Nouvelles_acceptante.csv,3
Tanger - Tétouan - Al Hoceima,DIU,5034,tanger tetouan al hoceima,sante,cleaned_sante_19__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_province__ou_préfecture___Nouvelles_acceptante.csv,1
Al Hoceima,DIU,249,al hoceima,sante,cleaned_sante_19__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_province__ou_préfecture___Nouvelles_acceptante.csv,7
Chefchaouen,DIU,443,chefchaouen,sante,cleaned_sante_19__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_province__ou_préfecture___Nouvelles_acceptante.csv,8
Fahs-Anjra,DIU,224,fahs anjra,sante,cleaned_sante_19__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_province__ou_préfecture___Nouvelles_acceptante.csv,5
Larache,DIU,413,larache,sante,cleaned_sante_19__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_province__ou_préfecture___Nouvelles_acceptante.csv,6
Ouezzane,DIU,984,ouezzane,sante,cleaned_sante_19__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_province__ou_préfecture___Nouvelles_acceptante.csv,9
Tanger Assilah,DIU,1136,tanger assilah,sante,cleaned_sante_19__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_province__ou_préfecture___Nouvelles_acceptante.csv,2
Tetouan,DIU,1376,tetouan,sante,cleaned_sante_19__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_province__ou_préfecture___Nouvelles_acceptante.csv,4
Mdiq-Fnideq,DIU,209,m'diq fnideq,sante,cleaned_sante_19__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_province__ou_préfecture___Nouvelles_acceptante.csv,3
Tanger - Tétouan - Al Hoceima,Condom,7227,tanger tetouan al hoceima,sante,cleaned_sante_19__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_province__ou_préfecture___Nouvelles_acceptante.csv,1
Al Hoceima,Condom,914,al hoceima,sante,cleaned_sante_19__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_province__ou_préfecture___Nouvelles_acceptante.csv,7
Chefchaouen,Condom,649,chefchaouen,sante,cleaned_sante_19__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_province__ou_préfecture___Nouvelles_acceptante.csv,8
Fahs-Anjra,Condom,222,fahs anjra,sante,cleaned_sante_19__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_province__ou_préfecture___Nouvelles_acceptante.csv,5
Larache,Condom,1322,larache,sante,cleaned_sante_19__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_province__ou_préfecture___Nouvelles_acceptante.csv,6
Ouezzane,Condom,949,ouezzane,sante,cleaned_sante_19__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_province__ou_préfecture___Nouvelles_acceptante.csv,9
