province_prefecture,indicateur,valeur,fk_territoire,theme,fichier_source,territoire_id
Tanger - Tétouan - Al Hoceima,RR1,65050,tanger tetouan al hoceima,sante,cleaned_sante_21__Nombre_d_enfants_bénéficiaires_des_prestations_du_PNI_par_province__ou_préfecture_.csv,1
Al Hoceima,RR1,6618,al hoceima,sante,cleaned_sante_21__Nombre_d_enfants_bénéficiaires_des_prestations_du_PNI_par_province__ou_préfecture_.csv,7
Chefchaouen,RR1,7044,chefchaouen,sante,cleaned_sante_21__Nombre_d_enfants_bénéficiaires_des_prestations_du_PNI_par_province__ou_préfecture_.csv,8
Fahs-Anjra,RR1,1803,fahs anjra,sante,cleaned_sante_21__Nombre_d_enfants_bénéficiaires_des_prestations_du_PNI_par_province__ou_préfecture_.csv,5
Larache,RR1,8841,larache,sante,cleaned_sante_21__Nombre_d_enfants_bénéficiaires_des_prestations_du_PNI_par_province__ou_préfecture_.csv,6
Ouezzane,RR1,4716,ouezzane,sante,cleaned_sante_21__Nombre_d_enfants_bénéficiaires_des_prestations_du_PNI_par_province__ou_préfecture_.csv,9
Tanger-Assilah,RR1,23690,tanger assilah,sante,cleaned_sante_21__Nombre_d_enfants_bénéficiaires_des_prestations_du_PNI_par_province__ou_préfecture_.csv,2
Tétouan,RR1,8394,tetouan,sante,cleaned_sante_21__Nombre_d_enfants_bénéficiaires_des_prestations_du_PNI_par_province__ou_préfecture_.csv,4
M'Diq-Fnideq,RR1,3944,m'diq fnideq,sante,cleaned_sante_21__Nombre_d_enfants_bénéficiaires_des_prestations_du_PNI_par_province__ou_préfecture_.csv,3
Tanger - Tétouan - Al Hoceima,DTCP3,64051,tanger tetouan al hoceima,sante,cleaned_sante_21__Nombre_d_enfants_bénéficiaires_des_prestations_du_PNI_par_province__ou_préfecture_.csv,1
Al Hoceima,DTCP3,6287,al hoceima,sante,cleaned_sante_21__Nombre_d_enfants_bénéficiaires_des_prestations_du_PNI_par_province__ou_préfecture_.csv,7
Chefchaouen,DTCP3,6452,chefchaouen,sante,cleaned_sante_21__Nombre_d_enfants_bénéficiaires_des_prestations_du_PNI_par_province__ou_préfecture_.csv,8
Fahs-Anjra,DTCP3,1809,fahs anjra,sante,cleaned_sante_21__Nombre_d_enfants_bénéficiaires_des_prestations_du_PNI_par_province__ou_préfecture_.csv,5
Larache,DTCP3,8708,larache,sante,cleaned_sante_21__Nombre_d_enfants_bénéficiaires_des_prestations_du_PNI_par_province__ou_préfecture_.csv,6
Ouezzane,DTCP3,4861,ouezzane,sante,cleaned_sante_21__Nombre_d_enfants_bénéficiaires_des_prestations_du_PNI_par_province__ou_préfecture_.csv,9
Tanger-Assilah,DTCP3,23740,tanger assilah,sante,cleaned_sante_21__Nombre_d_enfants_bénéficiaires_des_prestations_du_PNI_par_province__ou_préfecture_.csv,2
Tétouan,DTCP3,8192,tetouan,sante,cleaned_sante_21__Nombre_d_enfants_bénéficiaires_des_prestations_du_PNI_par_province__ou_préfecture_.csv,4
M'Diq-Fnideq,DTCP3,4002,m'diq fnideq,sante,cleaned_sante_21__Nombre_d_enfants_bénéficiaires_des_prestations_du_PNI_par_province__ou_préfecture_.csv,3
Tanger - Tétouan - Al Hoceima,DTCP2,63198,tanger tetouan al hoceima,sante,cleaned_sante_21__Nombre_d_enfants_bénéficiaires_des_prestations_du_PNI_par_province__ou_préfecture_.csv,1
Al Hoceima,DTCP2,6144,al hoceima,sante,cleaned_sante_21__Nombre_d_enfants_bénéficiaires_des_prestations_du_PNI_par_province__ou_préfecture_.csv,7
Chefchaouen,DTCP2,6324,chefchaouen,sante,cleaned_sante_21__Nombre_d_enfants_bénéficiaires_des_prestations_du_PNI_par_province__ou_préfecture_.csv,8
Fahs-Anjra,DTCP2,1809,fahs anjra,sante,cleaned_sante_21__Nombre_d_enfants_bénéficiaires_des_prestations_du_PNI_par_province__ou_préfecture_.csv,5
Larache,DTCP2,8636,larache,sante,cleaned_sante_21__Nombre_d_enfants_bénéficiaires_des_prestations_du_PNI_par_province__ou_préfecture_.csv,6
Ouezzane,DTCP2,4599,ouezzane,sante,cleaned_sante_21__Nombre_d_enfants_bénéficiaires_des_prestations_du_PNI_par_province__ou_préfecture_.csv,9
Tanger-Assilah,DTCP2,23567,tanger assilah,sante,cleaned_sante_21__Nombre_d_enfants_bénéficiaires_des_prestations_du_PNI_par_province__ou_préfecture_.csv,2
Tétouan,DTCP2,8187,tetouan,sante,cleaned_sante_21__Nombre_d_enfants_bénéficiaires_des_prestations_du_PNI_par_province__ou_préfecture_.csv,4
M'Diq-Fnideq,DTCP2,3932,m'diq fnideq,sante,cleaned_sante_21__Nombre_d_enfants_bénéficiaires_des_prestations_du_PNI_par_province__ou_préfecture_.csv,3
Tanger - Tétouan - Al Hoceima,DTCP1,65721,tanger tetouan al hoceima,sante,cleaned_sante_21__Nombre_d_enfants_bénéficiaires_des_prestations_du_PNI_par_province__ou_préfecture_.csv,1
Al Hoceima,DTCP1,6388,al hoceima,sante,cleaned_sante_21__Nombre_d_enfants_bénéficiaires_des_prestations_du_PNI_par_province__ou_préfecture_.csv,7
Chefchaouen,DTCP1,7065,chefchaouen,sante,cleaned_sante_21__Nombre_d_enfants_bénéficiaires_des_prestations_du_PNI_par_province__ou_préfecture_.csv,8
Fahs-Anjra,DTCP1,1842,fahs anjra,sante,cleaned_sante_21__Nombre_d_enfants_bénéficiaires_des_prestations_du_PNI_par_province__ou_préfecture_.csv,5
Larache,DTCP1,8941,larache,sante,cleaned_sante_21__Nombre_d_enfants_bénéficiaires_des_prestations_du_PNI_par_province__ou_préfecture_.csv,6
Ouezzane,DTCP1,4824,ouezzane,sante,cleaned_sante_21__Nombre_d_enfants_bénéficiaires_des_prestations_du_PNI_par_province__ou_préfecture_.csv,9
Tanger-Assilah,DTCP1,24275,tanger assilah,sante,cleaned_sante_21__Nombre_d_enfants_bénéficiaires_des_prestations_du_PNI_par_province__ou_préfecture_.csv,2
Tétouan,DTCP1,8397,tetouan,sante,cleaned_sante_21__Nombre_d_enfants_bénéficiaires_des_prestations_du_PNI_par_province__ou_préfecture_.csv,4
M'Diq-Fnideq,DTCP1,3989,m'diq fnideq,sante,cleaned_sante_21__Nombre_d_enfants_bénéficiaires_des_prestations_du_PNI_par_province__ou_préfecture_.csv,3
Tanger - Tétouan - Al Hoceima,Polio,63468,tanger tetouan al hoceima,sante,cleaned_sante_21__Nombre_d_enfants_bénéficiaires_des_prestations_du_PNI_par_province__ou_préfecture_.csv,1
Al Hoceima,Polio,6041,al hoceima,sante,cleaned_sante_21__Nombre_d_enfants_bénéficiaires_des_prestations_du_PNI_par_province__ou_préfecture_.csv,7
Chefchaouen,Polio,7001,chefchaouen,sante,cleaned_sante_21__Nombre_d_enfants_bénéficiaires_des_prestations_du_PNI_par_province__ou_préfecture_.csv,8
Fahs-Anjra,Polio,1839,fahs anjra,sante,cleaned_sante_21__Nombre_d_enfants_bénéficiaires_des_prestations_du_PNI_par_province__ou_préfecture_.csv,5
Larache,Polio,8178,larache,sante,cleaned_sante_21__Nombre_d_enfants_bénéficiaires_des_prestations_du_PNI_par_province__ou_préfecture_.csv,6
Ouezzane,Polio,4251,ouezzane,sante,cleaned_sante_21__Nombre_d_enfants_bénéficiaires_des_prestations_du_PNI_par_province__ou_préfecture_.csv,9
Tanger-Assilah,Polio,23713,tanger assilah,sante,cleaned_sante_21__Nombre_d_enfants_bénéficiaires_des_prestations_du_PNI_par_province__ou_préfecture_.csv,2
Tétouan,Polio,8513,tetouan,sante,cleaned_sante_21__Nombre_d_enfants_bénéficiaires_des_prestations_du_PNI_par_province__ou_préfecture_.csv,4
M'Diq-Fnideq,Polio,3932,m'diq fnideq,sante,cleaned_sante_21__Nombre_d_enfants_bénéficiaires_des_prestations_du_PNI_par_province__ou_préfecture_.csv,3
Tanger - Tétouan - Al Hoceima,B.C.G,63976,tanger tetouan al hoceima,sante,cleaned_sante_21__Nombre_d_enfants_bénéficiaires_des_prestations_du_PNI_par_province__ou_préfecture_.csv,1
Al Hoceima,B.C.G,6107,al hoceima,sante,cleaned_sante_21__Nombre_d_enfants_bénéficiaires_des_prestations_du_PNI_par_province__ou_préfecture_.csv,7
Chefchaouen,B.C.G,7058,chefchaouen,sante,cleaned_sante_21__Nombre_d_enfants_bénéficiaires_des_prestations_du_PNI_par_province__ou_préfecture_.csv,8
Fahs-Anjra,B.C.G,1839,fahs anjra,sante,cleaned_sante_21__Nombre_d_enfants_bénéficiaires_des_prestations_du_PNI_par_province__ou_préfecture_.csv,5
Larache,B.C.G,8291,larache,sante,cleaned_sante_21__Nombre_d_enfants_bénéficiaires_des_prestations_du_PNI_par_province__ou_préfecture_.csv,6
Ouezzane,B.C.G,4321,ouezzane,sante,cleaned_sante_21__Nombre_d_enfants_bénéficiaires_des_prestations_du_PNI_par_province__ou_préfecture_.csv,9
Tanger-Assilah,B.C.G,23914,tanger assilah,sante,cleaned_sante_21__Nombre_d_enfants_bénéficiaires_des_prestations_du_PNI_par_province__ou_préfecture_.csv,2
Tétouan,B.C.G,8531,tetouan,sante,cleaned_sante_21__Nombre_d_enfants_bénéficiaires_des_prestations_du_PNI_par_province__ou_préfecture_.csv,4
M'Diq-Fnideq,B.C.G,3915,m'diq fnideq,sante,cleaned_sante_21__Nombre_d_enfants_bénéficiaires_des_prestations_du_PNI_par_province__ou_préfecture_.csv,3
