province_prefecture,indicateur,valeur,fk_territoire,theme,fichier_source,territoire_id
Tanger - Tétouan - Al Hoceima,Diarhée Persistante,601,tanger tetouan al hoceima,sante,cleaned_sante_22__Enfants_bénéficiaires_du_PNLMD_par_province__ou_préfecture_.csv,1
Al Hoceima,Diarhée Persistante,92,al hoceima,sante,cleaned_sante_22__Enfants_bénéficiaires_du_PNLMD_par_province__ou_préfecture_.csv,7
Chefchaouen,Diarhée Persistante,97,chefchaouen,sante,cleaned_sante_22__Enfants_bénéficiaires_du_PNLMD_par_province__ou_préfecture_.csv,8
Fahs-Anjra,Diarhée Persistante,19,fahs anjra,sante,cleaned_sante_22__Enfants_bénéficiaires_du_PNLMD_par_province__ou_préfecture_.csv,5
Larache,Diarhée Persistante,18,larache,sante,cleaned_sante_22__Enfants_bénéficiaires_du_PNLMD_par_province__ou_préfecture_.csv,6
Ouezzane,Diarhée Persistante,148,ouezzane,sante,cleaned_sante_22__Enfants_bénéficiaires_du_PNLMD_par_province__ou_préfecture_.csv,9
Tanger-Assilah,Diarhée Persistante,0,tanger assilah,sante,cleaned_sante_22__Enfants_bénéficiaires_du_PNLMD_par_province__ou_préfecture_.csv,2
Tétouan,Diarhée Persistante,178,tetouan,sante,cleaned_sante_22__Enfants_bénéficiaires_du_PNLMD_par_province__ou_préfecture_.csv,4
M'Diq-Fnideq,Diarhée Persistante,49,m'diq fnideq,sante,cleaned_sante_22__Enfants_bénéficiaires_du_PNLMD_par_province__ou_préfecture_.csv,3
Tanger - Tétouan - Al Hoceima,Dysentérie,455,tanger tetouan al hoceima,sante,cleaned_sante_22__Enfants_bénéficiaires_du_PNLMD_par_province__ou_préfecture_.csv,1
Al Hoceima,Dysentérie,82,al hoceima,sante,cleaned_sante_22__Enfants_bénéficiaires_du_PNLMD_par_province__ou_préfecture_.csv,7
Chefchaouen,Dysentérie,48,chefchaouen,sante,cleaned_sante_22__Enfants_bénéficiaires_du_PNLMD_par_province__ou_préfecture_.csv,8
Fahs-Anjra,Dysentérie,36,fahs anjra,sante,cleaned_sante_22__Enfants_bénéficiaires_du_PNLMD_par_province__ou_préfecture_.csv,5
Larache,Dysentérie,104,larache,sante,cleaned_sante_22__Enfants_bénéficiaires_du_PNLMD_par_province__ou_préfecture_.csv,6
Ouezzane,Dysentérie,21,ouezzane,sante,cleaned_sante_22__Enfants_bénéficiaires_du_PNLMD_par_province__ou_préfecture_.csv,9
Tanger-Assilah,Dysentérie,0,tanger assilah,sante,cleaned_sante_22__Enfants_bénéficiaires_du_PNLMD_par_province__ou_préfecture_.csv,2
Tétouan,Dysentérie,132,tetouan,sante,cleaned_sante_22__Enfants_bénéficiaires_du_PNLMD_par_province__ou_préfecture_.csv,4
M'Diq-Fnideq,Dysentérie,32,m'diq fnideq,sante,cleaned_sante_22__Enfants_bénéficiaires_du_PNLMD_par_province__ou_préfecture_.csv,3
Tanger - Tétouan - Al Hoceima,Degré de déshydratation - (C),214,tanger tetouan al hoceima,sante,cleaned_sante_22__Enfants_bénéficiaires_du_PNLMD_par_province__ou_préfecture_.csv,1
Al Hoceima,Degré de déshydratation - (C),11,al hoceima,sante,cleaned_sante_22__Enfants_bénéficiaires_du_PNLMD_par_province__ou_préfecture_.csv,7
Chefchaouen,Degré de déshydratation - (C),20,chefchaouen,sante,cleaned_sante_22__Enfants_bénéficiaires_du_PNLMD_par_province__ou_préfecture_.csv,8
Fahs-Anjra,Degré de déshydratation - (C),3,fahs anjra,sante,cleaned_sante_22__Enfants_bénéficiaires_du_PNLMD_par_province__ou_préfecture_.csv,5
Larache,Degré de déshydratation - (C),7,larache,sante,cleaned_sante_22__Enfants_bénéficiaires_du_PNLMD_par_province__ou_préfecture_.csv,6
Ouezzane,Degré de déshydratation - (C),124,ouezzane,sante,cleaned_sante_22__Enfants_bénéficiaires_du_PNLMD_par_province__ou_préfecture_.csv,9
Tanger-Assilah,Degré de déshydratation - (C),0,tanger assilah,sante,cleaned_sante_22__Enfants_bénéficiaires_du_PNLMD_par_province__ou_préfecture_.csv,2
Tétouan,Degré de déshydratation - (C),17,tetouan,sante,cleaned_sante_22__Enfants_bénéficiaires_du_PNLMD_par_province__ou_préfecture_.csv,4
M'Diq-Fnideq,Degré de déshydratation - (C),32,m'diq fnideq,sante,cleaned_sante_22__Enfants_bénéficiaires_du_PNLMD_par_province__ou_préfecture_.csv,3
Tanger - Tétouan - Al Hoceima,Degré de déshydratation - (B),1328,tanger tetouan al hoceima,sante,cleaned_sante_22__Enfants_bénéficiaires_du_PNLMD_par_province__ou_préfecture_.csv,1
Al Hoceima,Degré de déshydratation - (B),133,al hoceima,sante,cleaned_sante_22__Enfants_bénéficiaires_du_PNLMD_par_province__ou_préfecture_.csv,7
Chefchaouen,Degré de déshydratation - (B),251,chefchaouen,sante,cleaned_sante_22__Enfants_bénéficiaires_du_PNLMD_par_province__ou_préfecture_.csv,8
Fahs-Anjra,Degré de déshydratation - (B),122,fahs anjra,sante,cleaned_sante_22__Enfants_bénéficiaires_du_PNLMD_par_province__ou_préfecture_.csv,5
Larache,Degré de déshydratation - (B),222,larache,sante,cleaned_sante_22__Enfants_bénéficiaires_du_PNLMD_par_province__ou_préfecture_.csv,6
Ouezzane,Degré de déshydratation - (B),176,ouezzane,sante,cleaned_sante_22__Enfants_bénéficiaires_du_PNLMD_par_province__ou_préfecture_.csv,9
Tanger-Assilah,Degré de déshydratation - (B),0,tanger assilah,sante,cleaned_sante_22__Enfants_bénéficiaires_du_PNLMD_par_province__ou_préfecture_.csv,2
Tétouan,Degré de déshydratation - (B),364,tetouan,sante,cleaned_sante_22__Enfants_bénéficiaires_du_PNLMD_par_province__ou_préfecture_.csv,4
M'Diq-Fnideq,Degré de déshydratation - (B),60,m'diq fnideq,sante,cleaned_sante_22__Enfants_bénéficiaires_du_PNLMD_par_province__ou_préfecture_.csv,3
Tanger - Tétouan - Al Hoceima,Degré de déshydratation - (A),5469,tanger tetouan al hoceima,sante,cleaned_sante_22__Enfants_bénéficiaires_du_PNLMD_par_province__ou_préfecture_.csv,1
Al Hoceima,Degré de déshydratation - (A),1043,al hoceima,sante,cleaned_sante_22__Enfants_bénéficiaires_du_PNLMD_par_province__ou_préfecture_.csv,7
Chefchaouen,Degré de déshydratation - (A),1067,chefchaouen,sante,cleaned_sante_22__Enfants_bénéficiaires_du_PNLMD_par_province__ou_préfecture_.csv,8
Fahs-Anjra,Degré de déshydratation - (A),285,fahs anjra,sante,cleaned_sante_22__Enfants_bénéficiaires_du_PNLMD_par_province__ou_préfecture_.csv,5
Larache,Degré de déshydratation - (A),1049,larache,sante,cleaned_sante_22__Enfants_bénéficiaires_du_PNLMD_par_province__ou_préfecture_.csv,6
Ouezzane,Degré de déshydratation - (A),418,ouezzane,sante,cleaned_sante_22__Enfants_bénéficiaires_du_PNLMD_par_province__ou_préfecture_.csv,9
