province_prefecture,indicateur,valeur,fk_territoire,theme,fichier_source,territoire_id
Tanger - Tétouan - Al Hoceima,Total,915458,tanger tetouan al hoceima,sante,cleaned_sante_26__Activités_des_laboratoires_des_hôpitaux_publics_par_province__ou_préfecture_.csv,1
Al Hoceima,Total,257137,al hoceima,sante,cleaned_sante_26__Activités_des_laboratoires_des_hôpitaux_publics_par_province__ou_préfecture_.csv,7
Chefchaouen,Total,66175,chefchaouen,sante,cleaned_sante_26__Activités_des_laboratoires_des_hôpitaux_publics_par_province__ou_préfecture_.csv,8
Larache,Total,86344,larache,sante,cleaned_sante_26__Activités_des_laboratoires_des_hôpitaux_publics_par_province__ou_préfecture_.csv,6
Ouezzane,Total,48795,ouezzane,sante,cleaned_sante_26__Activités_des_laboratoires_des_hôpitaux_publics_par_province__ou_préfecture_.csv,9
Tanger-Assilah,Total,253466,tanger assilah,sante,cleaned_sante_26__Activités_des_laboratoires_des_hôpitaux_publics_par_province__ou_préfecture_.csv,2
Tétouan,Total,120288,tetouan,sante,cleaned_sante_26__Activités_des_laboratoires_des_hôpitaux_publics_par_province__ou_préfecture_.csv,4
M'Diq-Fnideq,Total,83253,m'diq fnideq,sante,cleaned_sante_26__Activités_des_laboratoires_des_hôpitaux_publics_par_province__ou_préfecture_.csv,3
Tanger - Tétouan - Al Hoceima,Hygiène,0,tanger tetouan al hoceima,sante,cleaned_sante_26__Activités_des_laboratoires_des_hôpitaux_publics_par_province__ou_préfecture_.csv,1
Al Hoceima,Hygiène,0,al hoceima,sante,cleaned_sante_26__Activités_des_laboratoires_des_hôpitaux_publics_par_province__ou_préfecture_.csv,7
Chefchaouen,Hygiène,0,chefchaouen,sante,cleaned_sante_26__Activités_des_laboratoires_des_hôpitaux_publics_par_province__ou_préfecture_.csv,8
Larache,Hygiène,0,larache,sante,cleaned_sante_26__Activités_des_laboratoires_des_hôpitaux_publics_par_province__ou_préfecture_.csv,6
Ouezzane,Hygiène,0,ouezzane,sante,cleaned_sante_26__Activités_des_laboratoires_des_hôpitaux_publics_par_province__ou_préfecture_.csv,9
Tanger-Assilah,Hygiène,0,tanger assilah,sante,cleaned_sante_26__Activités_des_laboratoires_des_hôpitaux_publics_par_province__ou_préfecture_.csv,2
Tétouan,Hygiène,0,tetouan,sante,cleaned_sante_26__Activités_des_laboratoires_des_hôpitaux_publics_par_province__ou_préfecture_.csv,4
M'Diq-Fnideq,Hygiène,0,m'diq fnideq,sante,cleaned_sante_26__Activités_des_laboratoires_des_hôpitaux_publics_par_province__ou_préfecture_.csv,3
Tanger - Tétouan - Al Hoceima,Chimie et biologie (Biochimie),572050,tanger tetouan al hoceima,sante,cleaned_sante_26__Activités_des_laboratoires_des_hôpitaux_publics_par_province__ou_préfecture_.csv,1
Al Hoceima,Chimie et biologie (Biochimie),151006,al hoceima,sante,cleaned_sante_26__Activités_des_laboratoires_des_hôpitaux_publics_par_province__ou_préfecture_.csv,7
Chefchaouen,Chimie et biologie (Biochimie),43684,chefchaouen,sante,cleaned_sante_26__Activités_des_laboratoires_des_hôpitaux_publics_par_province__ou_préfecture_.csv,8
Larache,Chimie et biologie (Biochimie),60649,larache,sante,cleaned_sante_26__Activités_des_laboratoires_des_hôpitaux_publics_par_province__ou_préfecture_.csv,6
Ouezzane,Chimie et biologie (Biochimie),32798,ouezzane,sante,cleaned_sante_26__Activités_des_laboratoires_des_hôpitaux_publics_par_province__ou_préfecture_.csv,9
Tanger-Assilah,Chimie et biologie (Biochimie),148962,tanger assilah,sante,cleaned_sante_26__Activités_des_laboratoires_des_hôpitaux_publics_par_province__ou_préfecture_.csv,2
Tétouan,Chimie et biologie (Biochimie),85740,tetouan,sante,cleaned_sante_26__Activités_des_laboratoires_des_hôpitaux_publics_par_province__ou_préfecture_.csv,4
M'Diq-Fnideq,Chimie et biologie (Biochimie),49211,m'diq fnideq,sante,cleaned_sante_26__Activités_des_laboratoires_des_hôpitaux_publics_par_province__ou_préfecture_.csv,3
Tanger - Tétouan - Al Hoceima,Hématologie et transfusion,262189,tanger tetouan al hoceima,sante,cleaned_sante_26__Activités_des_laboratoires_des_hôpitaux_publics_par_province__ou_préfecture_.csv,1
Al Hoceima,Hématologie et transfusion,88137,al hoceima,sante,cleaned_sante_26__Activités_des_laboratoires_des_hôpitaux_publics_par_province__ou_préfecture_.csv,7
Chefchaouen,Hématologie et transfusion,17850,chefchaouen,sante,cleaned_sante_26__Activités_des_laboratoires_des_hôpitaux_publics_par_province__ou_préfecture_.csv,8
Larache,Hématologie et transfusion,17711,larache,sante,cleaned_sante_26__Activités_des_laboratoires_des_hôpitaux_publics_par_province__ou_préfecture_.csv,6
Ouezzane,Hématologie et transfusion,15741,ouezzane,sante,cleaned_sante_26__Activités_des_laboratoires_des_hôpitaux_publics_par_province__ou_préfecture_.csv,9
Tanger-Assilah,Hématologie et transfusion,68259,tanger assilah,sante,cleaned_sante_26__Activités_des_laboratoires_des_hôpitaux_publics_par_province__ou_préfecture_.csv,2
Tétouan,Hématologie et transfusion,30045,tetouan,sante,cleaned_sante_26__Activités_des_laboratoires_des_hôpitaux_publics_par_province__ou_préfecture_.csv,4
M'Diq-Fnideq,Hématologie et transfusion,24446,m'diq fnideq,sante,cleaned_sante_26__Activités_des_laboratoires_des_hôpitaux_publics_par_province__ou_préfecture_.csv,3
Tanger - Tétouan - Al Hoceima,Immuno-sérologie,67657,tanger tetouan al hoceima,sante,cleaned_sante_26__Activités_des_laboratoires_des_hôpitaux_publics_par_province__ou_préfecture_.csv,1
Al Hoceima,Immuno-sérologie,13670,al hoceima,sante,cleaned_sante_26__Activités_des_laboratoires_des_hôpitaux_publics_par_province__ou_préfecture_.csv,7
Chefchaouen,Immuno-sérologie,4489,chefchaouen,sante,cleaned_sante_26__Activités_des_laboratoires_des_hôpitaux_publics_par_province__ou_préfecture_.csv,8
Larache,Immuno-sérologie,7889,larache,sante,cleaned_sante_26__Activités_des_laboratoires_des_hôpitaux_publics_par_province__ou_préfecture_.csv,6
Ouezzane,Immuno-sérologie,0,ouezzane,sante,cleaned_sante_26__Activités_des_laboratoires_des_hôpitaux_publics_par_province__ou_préfecture_.csv,9
Tanger-Assilah,Immuno-sérologie,28872,tanger assilah,sante,cleaned_sante_26__Activités_des_laboratoires_des_hôpitaux_publics_par_province__ou_préfecture_.csv,2
Tétouan,Immuno-sérologie,3141,tetouan,sante,cleaned_sante_26__Activités_des_laboratoires_des_hôpitaux_publics_par_province__ou_préfecture_.csv,4
M'Diq-Fnideq,Immuno-sérologie,9596,m'diq fnideq,sante,cleaned_sante_26__Activités_des_laboratoires_des_hôpitaux_publics_par_province__ou_préfecture_.csv,3
Tanger - Tétouan - Al Hoceima,Para-sitologie,754,tanger tetouan al hoceima,sante,cleaned_sante_26__Activités_des_laboratoires_des_hôpitaux_publics_par_province__ou_préfecture_.csv,1
Al Hoceima,Para-sitologie,749,al hoceima,sante,cleaned_sante_26__Activités_des_laboratoires_des_hôpitaux_publics_par_province__ou_préfecture_.csv,7
Chefchaouen,Para-sitologie,0,chefchaouen,sante,cleaned_sante_26__Activités_des_laboratoires_des_hôpitaux_publics_par_province__ou_préfecture_.csv,8
Larache,Para-sitologie,0,larache,sante,cleaned_sante_26__Activités_des_laboratoires_des_hôpitaux_publics_par_province__ou_préfecture_.csv,6
Ouezzane,Para-sitologie,0,ouezzane,sante,cleaned_sante_26__Activités_des_laboratoires_des_hôpitaux_publics_par_province__ou_préfecture_.csv,9
Tanger-Assilah,Para-sitologie,0,tanger assilah,sante,cleaned_sante_26__Activités_des_laboratoires_des_hôpitaux_publics_par_province__ou_préfecture_.csv,2
Tétouan,Para-sitologie,5,tetouan,sante,cleaned_sante_26__Activités_des_laboratoires_des_hôpitaux_publics_par_province__ou_préfecture_.csv,4
M'Diq-Fnideq,Para-sitologie,0,m'diq fnideq,sante,cleaned_sante_26__Activités_des_laboratoires_des_hôpitaux_publics_par_province__ou_préfecture_.csv,3
Tanger - Tétouan - Al Hoceima,Bacté-riologie,12808,tanger tetouan al hoceima,sante,cleaned_sante_26__Activités_des_laboratoires_des_hôpitaux_publics_par_province__ou_préfecture_.csv,1
Al Hoceima,Bacté-riologie,3575,al hoceima,sante,cleaned_sante_26__Activités_des_laboratoires_des_hôpitaux_publics_par_province__ou_préfecture_.csv,7
Chefchaouen,Bacté-riologie,152,chefchaouen,sante,cleaned_sante_26__Activités_des_laboratoires_des_hôpitaux_publics_par_province__ou_préfecture_.csv,8
Larache,Bacté-riologie,95,larache,sante,cleaned_sante_26__Activités_des_laboratoires_des_hôpitaux_publics_par_province__ou_préfecture_.csv,6
Ouezzane,Bacté-riologie,256,ouezzane,sante,cleaned_sante_26__Activités_des_laboratoires_des_hôpitaux_publics_par_province__ou_préfecture_.csv,9
Tanger-Assilah,Bacté-riologie,7373,tanger assilah,sante,cleaned_sante_26__Activités_des_laboratoires_des_hôpitaux_publics_par_province__ou_préfecture_.csv,2
Tétouan,Bacté-riologie,1357,tetouan,sante,cleaned_sante_26__Activités_des_laboratoires_des_hôpitaux_publics_par_province__ou_préfecture_.csv,4
M'Diq-Fnideq,Bacté-riologie,0,m'diq fnideq,sante,cleaned_sante_26__Activités_des_laboratoires_des_hôpitaux_publics_par_province__ou_préfecture_.csv,3
