province_prefecture,indicateur,valeur,fk_territoire,theme,fichier_source,territoire_id
Tanger - Tétouan - Al Hoceima,Médecins généralistes,550,tanger tetouan al hoceima,sante,cleaned_sante_8__Médecins_privés_par_province__ou_préfecture___Privé.csv,1
Al Hoceima,Médecins généralistes,20,al hoceima,sante,cleaned_sante_8__Médecins_privés_par_province__ou_préfecture___Privé.csv,7
Chefchaouen,Médecins généralistes,24,chefchaouen,sante,cleaned_sante_8__Médecins_privés_par_province__ou_préfecture___Privé.csv,8
Fahs-Anjra,Médecins généralistes,2,fahs anjra,sante,cleaned_sante_8__Médecins_privés_par_province__ou_préfecture___Privé.csv,5
Larache,Médecins généralistes,50,larache,sante,cleaned_sante_8__Médecins_privés_par_province__ou_préfecture___Privé.csv,6
Mdiq-Fnideq,Médecins généralistes,16,m'diq fnideq,sante,cleaned_sante_8__Médecins_privés_par_province__ou_préfecture___Privé.csv,3
Ouezzane,Médecins généralistes,33,ouezzane,sante,cleaned_sante_8__Médecins_privés_par_province__ou_préfecture___Privé.csv,9
Tanger Assilah,Médecins généralistes,309,tanger assilah,sante,cleaned_sante_8__Médecins_privés_par_province__ou_préfecture___Privé.csv,2
Tetouan,Médecins généralistes,96,tetouan,sante,cleaned_sante_8__Médecins_privés_par_province__ou_préfecture___Privé.csv,4
Tanger - Tétouan - Al Hoceima,Médecins spécialistes,927,tanger tetouan al hoceima,sante,cleaned_sante_8__Médecins_privés_par_province__ou_préfecture___Privé.csv,1
Al Hoceima,Médecins spécialistes,23,al hoceima,sante,cleaned_sante_8__Médecins_privés_par_province__ou_préfecture___Privé.csv,7
Chefchaouen,Médecins spécialistes,4,chefchaouen,sante,cleaned_sante_8__Médecins_privés_par_province__ou_préfecture___Privé.csv,8
Fahs-Anjra,Médecins spécialistes,0,fahs anjra,sante,cleaned_sante_8__Médecins_privés_par_province__ou_préfecture___Privé.csv,5
Larache,Médecins spécialistes,52,larache,sante,cleaned_sante_8__Médecins_privés_par_province__ou_préfecture___Privé.csv,6
Mdiq-Fnideq,Médecins spécialistes,9,m'diq fnideq,sante,cleaned_sante_8__Médecins_privés_par_province__ou_préfecture___Privé.csv,3
Ouezzane,Médecins spécialistes,2,ouezzane,sante,cleaned_sante_8__Médecins_privés_par_province__ou_préfecture___Privé.csv,9
Tanger Assilah,Médecins spécialistes,659,tanger assilah,sante,cleaned_sante_8__Médecins_privés_par_province__ou_préfecture___Privé.csv,2
Tetouan,Médecins spécialistes,178,tetouan,sante,cleaned_sante_8__Médecins_privés_par_province__ou_préfecture___Privé.csv,4
