territoire_id,indicateur,valeur
2,nb_essp,37.0
2,nb_hopitaux,10.0
2,nb_medecins_public,991.0
2,nb_paramedical_public,1447.0
2,medecins_pour_10000_hab,6.63
2,paramedical_pour_10000_hab,9.68
2,essp_pour_100000_hab,2.48
3,nb_essp,9.0
3,nb_hopitaux,2.0
3,nb_medecins_public,62.0
3,nb_paramedical_public,328.0
3,medecins_pour_10000_hab,2.44
3,paramedical_pour_10000_hab,12.91
3,essp_pour_100000_hab,3.54
4,nb_essp,40.0
4,nb_hopitaux,3.0
4,nb_medecins_public,126.0
4,nb_paramedical_public,562.0
4,medecins_pour_10000_hab,2.06
4,paramedical_pour_10000_hab,9.18
4,essp_pour_100000_hab,6.54
5,nb_essp,8.0
5,nb_hopitaux,0.0
5,nb_medecins_public,12.0
5,nb_paramedical_public,65.0
5,medecins_pour_10000_hab,1.19
5,paramedical_pour_10000_hab,6.45
5,essp_pour_100000_hab,7.94
6,nb_essp,34.0
6,nb_hopitaux,2.0
6,nb_medecins_public,122.0
6,nb_paramedical_public,484.0
6,medecins_pour_10000_hab,2.39
6,paramedical_pour_10000_hab,9.49
6,essp_pour_100000_hab,6.66
7,nb_essp,61.0
7,nb_hopitaux,5.0
7,nb_medecins_public,118.0
7,nb_paramedical_public,696.0
7,medecins_pour_10000_hab,3.18
7,paramedical_pour_10000_hab,18.73
7,essp_pour_100000_hab,16.42
8,nb_essp,53.0
8,nb_hopitaux,1.0
8,nb_medecins_public,75.0
8,nb_paramedical_public,360.0
8,medecins_pour_10000_hab,1.82
8,paramedical_pour_10000_hab,8.72
8,essp_pour_100000_hab,12.84
9,nb_essp,40.0
9,nb_hopitaux,1.0
9,nb_medecins_public,50.0
9,nb_paramedical_public,255.0
9,medecins_pour_10000_hab,1.82
9,paramedical_pour_10000_hab,9.29
9,essp_pour_100000_hab,14.57
