territoire_code,niveau,milieu,sexe,theme,sous_categorie,indicateur,valeur,unite,code_geo,source,territoire_id
tanger tetouan al hoceima,region,,,total_logements,,Total des logements urbains,1109294.0,logements,1.0,rgph2024_logement_urbain,1.0
tanger tetouan al hoceima,region,,,nature_occupation,,Logement occupé,63.55790259387815,%,1.0,rgph2024_logement_urbain,1.0
tanger tetouan al hoceima,region,,,nature_occupation,Logement non occupé,Logement vacants,12.727464495435465,%,1.0,rgph2024_logement_urbain,1.0
tanger tetouan al hoceima,region,,,nature_occupation,Logement non occupé,Logement secondaire/saisonnier,23.714632910661404,%,1.0,rgph2024_logement_urbain,1.0
tanger tetouan al hoceima,region,,,nature_occupation,Logement non occupé,Total logement non occupé,36.44209740609687,%,1.0,rgph2024_logement_urbain,1.0
tanger tetouan al hoceima,region,,,type_logement,Logement non précaire ou salubre,Villa ou niveau de villa,1.6,%,1.0,rgph2024_logement_urbain,1.0
tanger tetouan al hoceima,region,,,type_logement,Logement non précaire ou salubre,Appartement,35.8,%,1.0,rgph2024_logement_urbain,1.0
tanger tetouan al hoceima,region,,,type_logement,Logement non précaire ou salubre,Maison marocaine traditionnelle,1.8,%,1.0,rgph2024_logement_urbain,1.0
tanger tetouan al hoceima,region,,,type_logement,Logement non précaire ou salubre,Maison marocaine moderne,59.3,%,1.0,rgph2024_logement_urbain,1.0
tanger tetouan al hoceima,region,,,type_logement,Logement non précaire ou salubre,Total non précaire,98.6,%,1.0,rgph2024_logement_urbain,1.0
tanger tetouan al hoceima,region,,,type_logement,Logement précaire,Maison sommaire ou bidonville,0.7,%,1.0,rgph2024_logement_urbain,1.0
tanger tetouan al hoceima,region,,,type_logement,Logement précaire,Logement en type rural,0.3,%,1.0,rgph2024_logement_urbain,1.0
tanger tetouan al hoceima,region,,,type_logement,Logement précaire,Autres type,0.4,%,1.0,rgph2024_logement_urbain,1.0
tanger tetouan al hoceima,region,,,type_logement,Logement précaire,Total précaire,1.4,%,1.0,rgph2024_logement_urbain,1.0
tanger tetouan al hoceima,region,,,age_logement,,Moins de 20 ans,66.3,%,1.0,rgph2024_logement_urbain,1.0
tanger tetouan al hoceima,region,,,age_logement,,De 20 à moins de 50 ans,29.5,%,1.0,rgph2024_logement_urbain,1.0
tanger tetouan al hoceima,region,,,age_logement,,50 ans et plus,4.2,%,1.0,rgph2024_logement_urbain,1.0
tanger tetouan al hoceima,region,,,age_logement_par_type,Villa ou niveau de villa,Moins de 20 ans,68.5,%,1.0,rgph2024_logement_urbain,1.0
tanger tetouan al hoceima,region,,,age_logement_par_type,Villa ou niveau de villa,De 20 à moins de 50 ans,28.3,%,1.0,rgph2024_logement_urbain,1.0
tanger tetouan al hoceima,region,,,age_logement_par_type,Villa ou niveau de villa,50 ans et plus,3.2,%,1.0,rgph2024_logement_urbain,1.0
tanger tetouan al hoceima,region,,,age_logement_par_type,Appartement,Moins de 20 ans,81.6,%,1.0,rgph2024_logement_urbain,1.0
tanger tetouan al hoceima,region,,,age_logement_par_type,Appartement,De 20 à moins de 50 ans,16.5,%,1.0,rgph2024_logement_urbain,1.0
tanger tetouan al hoceima,region,,,age_logement_par_type,Appartement,50 ans et plus,2.0,%,1.0,rgph2024_logement_urbain,1.0
tanger tetouan al hoceima,region,,,age_logement_par_type,Maison marocaine traditionnelle,Moins de 20 ans,23.9,%,1.0,rgph2024_logement_urbain,1.0
tanger tetouan al hoceima,region,,,age_logement_par_type,Maison marocaine traditionnelle,De 20 à moins de 50 ans,25.8,%,1.0,rgph2024_logement_urbain,1.0
tanger tetouan al hoceima,region,,,age_logement_par_type,Maison marocaine traditionnelle,50 ans et plus,50.4,%,1.0,rgph2024_logement_urbain,1.0
tanger tetouan al hoceima,region,,,age_logement_par_type,Maison marocaine moderne,Moins de 20 ans,59.0,%,1.0,rgph2024_logement_urbain,1.0
