territoire_id,indicateur,valeur,indicateur_id
1,pop_urbain,2638815.0,402
1,pop_rural,1391407.0,403
1,taux_urbanisation,65.48,404
2,pop_urbain,1402668.0,402
2,pop_rural,91745.0,403
2,taux_urbanisation,93.86,404
3,pop_urbain,240745.0,402
3,pop_rural,13319.0,403
3,taux_urbanisation,94.76,404
4,pop_urbain,440054.0,402
4,pop_rural,171874.0,403
4,taux_urbanisation,71.91,404
5,pop_urbain,3763.0,402
5,pop_rural,97026.0,403
5,taux_urbanisation,3.73,404
6,pop_urbain,275450.0,402
6,pop_rural,234761.0,403
6,taux_urbanisation,53.99,404
7,pop_urbain,138977.0,402
7,pop_rural,232550.0,403
7,taux_urbanisation,37.41,404
8,pop_urbain,62632.0,402
8,pop_rural,350081.0,403
8,taux_urbanisation,15.18,404
9,pop_urbain,74526.0,402
9,pop_rural,200051.0,403
9,taux_urbanisation,27.14,404
