cg,collectivite,fk_territoire,indicateur,valeur,territoire_id,indicateur_id
01,Région de Tanger-Tétouan-Al Hoceima,tanger tetouan al hoceima,population_sedentaire,4006848.0,1,10
01,Région de Tanger-Tétouan-Al Hoceima,tanger tetouan al hoceima,natifs,3705573.0,1,8
01,Région de Tanger-Tétouan-Al Hoceima,tanger tetouan al hoceima,natifs_residents_non_migrants,3425257.0,1,9
01,Région de Tanger-Tétouan-Al Hoceima,tanger tetouan al hoceima,entrees,559036.0,1,5
01,Région de Tanger-Tétouan-Al Hoceima,tanger tetouan al hoceima,indice_entrees (%),14.0,1,6
01,Région de Tanger-Tétouan-Al Hoceima,tanger tetouan al hoceima,sorties,280316.0,1,11
01,Région de Tanger-Tétouan-Al Hoceima,tanger tetouan al hoceima,indice_sortie (%),7.6,1,7
01.511,Préfecture de Tanger-Assilah,tanger assilah,population_sedentaire,1486320.0,2,10
01.511,Préfecture de Tanger-Assilah,tanger assilah,natifs,846710.0,2,8
01.511,Préfecture de Tanger-Assilah,tanger assilah,natifs_residents_non_migrants,788501.0,2,9
01.511,Préfecture de Tanger-Assilah,tanger assilah,entrees,681859.0,2,5
01.511,Préfecture de Tanger-Assilah,tanger assilah,indice_entrees (%),45.9,2,6
01.511,Préfecture de Tanger-Assilah,tanger assilah,sorties,58209.0,2,11
01.511,Préfecture de Tanger-Assilah,tanger assilah,indice_sortie (%),6.9,2,7
01.511.01.0,Commune de Tanger,tanger assilah,population_sedentaire,1271880.0,34,10
01.511.01.0,Commune de Tanger,tanger assilah,natifs,697554.0,34,8
01.511.01.0,Commune de Tanger,tanger assilah,natifs_residents_non_migrants,625585.0,34,9
01.511.01.0,Commune de Tanger,tanger assilah,entrees,631052.0,34,5
01.511.01.0,Commune de Tanger,tanger assilah,indice_entrees (%),49.6,34,6
01.511.01.0,Commune de Tanger,tanger assilah,sorties,71969.0,34,11
01.511.01.0,Commune de Tanger,tanger assilah,indice_sortie (%),10.3,34,7
01.511.01.05,Arrondissement de Mghogha,tanger assilah,population_sedentaire,252068.0,180,10
01.511.01.05,Arrondissement de Mghogha,tanger assilah,natifs,122194.0,180,8
01.511.01.05,Arrondissement de Mghogha,tanger assilah,natifs_residents_non_migrants,98205.0,180,9
01.511.01.05,Arrondissement de Mghogha,tanger assilah,entrees,151811.0,180,5
01.511.01.05,Arrondissement de Mghogha,tanger assilah,indice_entrees (%),60.2,180,6
01.511.01.05,Arrondissement de Mghogha,tanger assilah,sorties,23989.0,180,11
01.511.01.05,Arrondissement de Mghogha,tanger assilah,indice_sortie (%),19.6,180,7
01.511.01.06,Arrondissement de Souani,tanger assilah,population_sedentaire,110626.0,181,10
01.511.01.06,Arrondissement de Souani,tanger assilah,natifs,70882.0,181,8
01.511.01.06,Arrondissement de Souani,tanger assilah,natifs_residents_non_migrants,50662.0,181,9
01.511.01.06,Arrondissement de Souani,tanger assilah,entrees,58243.0,181,5
01.511.01.06,Arrondissement de Souani,tanger assilah,indice_entrees (%),52.6,181,6
01.511.01.06,Arrondissement de Souani,tanger assilah,sorties,20220.0,181,11
01.511.01.06,Arrondissement de Souani,tanger assilah,indice_sortie (%),28.5,181,7
01.511.01.03,Arrondissement de Bni Makada,tanger assilah,population_sedentaire,567186.0,182,10
01.511.01.03,Arrondissement de Bni Makada,tanger assilah,natifs,298029.0,182,8
01.511.01.03,Arrondissement de Bni Makada,tanger assilah,natifs_residents_non_migrants,235956.0,182,9
01.511.01.03,Arrondissement de Bni Makada,tanger assilah,entrees,328982.0,182,5
01.511.01.03,Arrondissement de Bni Makada,tanger assilah,indice_entrees (%),58.0,182,6
01.511.01.03,Arrondissement de Bni Makada,tanger assilah,sorties,62072.0,182,11
01.511.01.03,Arrondissement de Bni Makada,tanger assilah,indice_sortie (%),20.8,182,7
01.511.01.07,Arrondissement de Médina,tanger assilah,population_sedentaire,342000.0,183,10
01.511.01.07,Arrondissement de Médina,tanger assilah,natifs,206449.0,183,8
01.511.01.07,Arrondissement de Médina,tanger assilah,natifs_residents_non_migrants,154145.0,183,9
01.511.01.07,Arrondissement de Médina,tanger assilah,entrees,178633.0,183,5
01.511.01.07,Arrondissement de Médina,tanger assilah,indice_entrees (%),52.2,183,6
01.511.01.07,Arrondissement de Médina,tanger assilah,sorties,52304.0,183,11
01.511.01.07,Arrondissement de Médina,tanger assilah,indice_sortie (%),25.3,183,7
01.511.01.01,Commune d'Assilah,tanger assilah,population_sedentaire,33952.0,35,10
01.511.01.01,Commune d'Assilah,tanger assilah,natifs,28773.0,35,8
01.511.01.01,Commune d'Assilah,tanger assilah,natifs_residents_non_migrants,20211.0,35,9
01.511.01.01,Commune d'Assilah,tanger assilah,entrees,13554.0,35,5
01.511.01.01,Commune d'Assilah,tanger assilah,indice_entrees (%),39.9,35,6
01.511.01.01,Commune d'Assilah,tanger assilah,sorties,8563.0,35,11
01.511.01.01,Commune d'Assilah,tanger assilah,indice_sortie (%),29.8,35,7
01.511.01.09,Commune de Gueznaia,tanger assilah,population_sedentaire,88625.0,36,10
01.511.01.09,Commune de Gueznaia,tanger assilah,natifs,28013.0,36,8
01.511.01.09,Commune de Gueznaia,tanger assilah,natifs_residents_non_migrants,22635.0,36,9
01.511.01.09,Commune de Gueznaia,tanger assilah,entrees,65543.0,36,5
01.511.01.09,Commune de Gueznaia,tanger assilah,indice_entrees (%),74.0,36,6
01.511.01.09,Commune de Gueznaia,tanger assilah,sorties,5379.0,36,11
01.511.01.09,Commune de Gueznaia,tanger assilah,indice_sortie (%),19.2,36,7
01.511.05.19,Commune de Hjar Ennhal,tanger assilah,population_sedentaire,25301.0,37,10
01.511.05.19,Commune de Hjar Ennhal,tanger assilah,natifs,12066.0,37,8
01.511.05.19,Commune de Hjar Ennhal,tanger assilah,natifs_residents_non_migrants,10446.0,37,9
01.511.05.19,Commune de Hjar Ennhal,tanger assilah,entrees,14849.0,37,5
01.511.05.19,Commune de Hjar Ennhal,tanger assilah,indice_entrees (%),58.7,37,6
01.511.05.19,Commune de Hjar Ennhal,tanger assilah,sorties,1620.0,37,11
01.511.05.19,Commune de Hjar Ennhal,tanger assilah,indice_sortie (%),13.4,37,7
01.511.05.07,Commune de Dar Chaoui,tanger assilah,population_sedentaire,4469.0,38,10
01.511.05.07,Commune de Dar Chaoui,tanger assilah,natifs,9566.0,38,8
01.511.05.07,Commune de Dar Chaoui,tanger assilah,natifs_residents_non_migrants,3673.0,38,9
01.511.05.07,Commune de Dar Chaoui,tanger assilah,entrees,788.0,38,5
01.511.05.07,Commune de Dar Chaoui,tanger assilah,indice_entrees (%),17.6,38,6
01.511.05.07,Commune de Dar Chaoui,tanger assilah,sorties,5893.0,38,11
01.511.05.07,Commune de Dar Chaoui,tanger assilah,indice_sortie (%),61.6,38,7
01.511.05.07.3,dont le centre urbain de Dar Chaoui,tanger assilah,population_sedentaire,1494.0,184,10
01.511.05.07.3,dont le centre urbain de Dar Chaoui,tanger assilah,natifs,2451.0,184,8
01.511.05.07.3,dont le centre urbain de Dar Chaoui,tanger assilah,natifs_residents_non_migrants,899.0,184,9
01.511.05.07.3,dont le centre urbain de Dar Chaoui,tanger assilah,entrees,593.0,184,5
01.511.05.07.3,dont le centre urbain de Dar Chaoui,tanger assilah,indice_entrees (%),39.7,184,6
01.511.05.07.3,dont le centre urbain de Dar Chaoui,tanger assilah,sorties,1552.0,184,11
01.511.05.07.3,dont le centre urbain de Dar Chaoui,tanger assilah,indice_sortie (%),63.3,184,7
01.511.05.01,Commune d'Al Manzla,tanger assilah,population_sedentaire,2680.0,39,10
01.511.05.01,Commune d'Al Manzla,tanger assilah,natifs,3790.0,39,8
01.511.05.01,Commune d'Al Manzla,tanger assilah,natifs_residents_non_migrants,2327.0,39,9
01.511.05.01,Commune d'Al Manzla,tanger assilah,entrees,353.0,39,5
01.511.05.01,Commune d'Al Manzla,tanger assilah,indice_entrees (%),13.2,39,6
01.511.05.01,Commune d'Al Manzla,tanger assilah,sorties,1463.0,39,11
01.511.05.01,Commune d'Al Manzla,tanger assilah,indice_sortie (%),38.6,39,7
01.511.05.17,Commune de Laaouama,tanger assilah,population_sedentaire,19051.0,40,10
01.511.05.17,Commune de Laaouama,tanger assilah,natifs,12543.0,40,8
01.511.05.17,Commune de Laaouama,tanger assilah,natifs_residents_non_migrants,9440.0,40,9
01.511.05.17,Commune de Laaouama,tanger assilah,entrees,9596.0,40,5
01.511.05.17,Commune de Laaouama,tanger assilah,indice_entrees (%),50.4,40,6
01.511.05.17,Commune de Laaouama,tanger assilah,sorties,3103.0,40,11
01.511.05.17,Commune de Laaouama,tanger assilah,indice_sortie (%),24.7,40,7
01.511.05.05,Commune de Sebt Azzinate,tanger assilah,population_sedentaire,7263.0,41,10
01.511.05.05,Commune de Sebt Azzinate,tanger assilah,natifs,7399.0,41,8
01.511.05.05,Commune de Sebt Azzinate,tanger assilah,natifs_residents_non_migrants,5366.0,41,9
01.511.05.05,Commune de Sebt Azzinate,tanger assilah,entrees,1896.0,41,5
01.511.05.05,Commune de Sebt Azzinate,tanger assilah,indice_entrees (%),26.1,41,6
01.511.05.05,Commune de Sebt Azzinate,tanger assilah,sorties,2033.0,41,11
01.511.05.05,Commune de Sebt Azzinate,tanger assilah,indice_sortie (%),27.5,41,7
01.511.03.03,Commune d'Aquouass Briech,tanger assilah,population_sedentaire,4623.0,42,10
01.511.03.03,Commune d'Aquouass Briech,tanger assilah,natifs,4245.0,42,8
01.511.03.03,Commune d'Aquouass Briech,tanger assilah,natifs_residents_non_migrants,3598.0,42,9
