cg,collectivite,fk_territoire,indicateur,valeur,territoire_id
01,Région de Tanger-Tétouan-Al Hoceima,tanger tetouan al hoceima,effectif_migrants_internationaux,57696,1
01.511,Préfecture de Tanger-Assilah,tanger assilah,effectif_migrants_internationaux,34556,2
01.511.01.0,Commune de Tanger,tanger assilah,effectif_migrants_internationaux,31860,34
01.511.01.05,Arrondissement de Mghogha,tanger assilah,effectif_migrants_internationaux,5403,180
01.511.01.06,Arrondissement de Souani,tanger assilah,effectif_migrants_internationaux,4071,181
01.511.01.03,Arrondissement de Bni Makada,tanger assilah,effectif_migrants_internationaux,6086,182
01.511.01.07,Arrondissement de Médina,tanger assilah,effectif_migrants_internationaux,16300,183
01.511.01.01,Commune d'Assilah,tanger assilah,effectif_migrants_internationaux,824,35
01.511.01.09,Commune de Gueznaia,tanger assilah,effectif_migrants_internationaux,1347,36
01.511.05.19,Commune de Hjar Ennhal,tanger assilah,effectif_migrants_internationaux,101,37
01.511.05.07,Commune de Dar Chaoui,tanger assilah,effectif_migrants_internationaux,21,38
01.511.05.07.3,dont le centre urbain de Dar Chaoui,tanger assilah,effectif_migrants_internationaux,12,184
01.511.05.01,Commune d'Al Manzla,tanger assilah,effectif_migrants_internationaux,10,39
01.511.05.17,Commune de Laaouama,tanger assilah,effectif_migrants_internationaux,65,40
01.511.05.05,Commune de Sebt Azzinate,tanger assilah,effectif_migrants_internationaux,17,41
01.511.03.03,Commune d'Aquouass Briech,tanger assilah,effectif_migrants_internationaux,62,42
01.511.03.15,Commune de Had Al Gharbia,tanger assilah,effectif_migrants_internationaux,150,43
01.511.03.11,Commune de Sahel Chamali,tanger assilah,effectif_migrants_internationaux,45,44
01.511.03.13,Commune de Sidi Lyamani,tanger assilah,effectif_migrants_internationaux,53,45
01.511.03.13.3,dont le centre urbain de Tnine Sidi Lyamani,tanger assilah,effectif_migrants_internationaux,7,185
01.573,Préfecture de M'diq-Fnideq,m'diq fnideq,effectif_migrants_internationaux,4532,3
01.573.01.05,Commune de M'diq,m'diq fnideq,effectif_migrants_internationaux,1066,46
01.573.01.01,Commune de Fnideq,m'diq fnideq,effectif_migrants_internationaux,884,47
01.573.01.03,Commune de Martil,m'diq fnideq,effectif_migrants_internationaux,2536,48
01.573.01.07,Commune d'Allyene,m'diq fnideq,effectif_migrants_internationaux,21,49
01.573.01.09,Commune de Belyounech,m'diq fnideq,effectif_migrants_internationaux,25,50
01.571,Province de Tétouan,tetouan,effectif_migrants_internationaux,8852,4
01.571.01.11,Commune de Tétouan,tetouan,effectif_migrants_internationaux,8107,51
01.571.01.07,Commune d'Oued Laou,tetouan,effectif_migrants_internationaux,191,52
01.571.03.01,Commune d'Ain Lahsan,tetouan,effectif_migrants_internationaux,14,53
01.571.03.19,Commune de Souk Kdim,tetouan,effectif_migrants_internationaux,23,54
01.571.03.09,Commune de Jbel Lahbib,tetouan,effectif_migrants_internationaux,24,55
01.571.03.09.3,dont le centre urbain de Karia,tetouan,effectif_migrants_internationaux,14,186
01.571.03.07,Commune de Bni Harchen,tetouan,effectif_migrants_internationaux,3,56
01.571.03.03,Commune d'Al Kharroub,tetouan,effectif_migrants_internationaux,2,57
01.571.03.15,Commune de Mallalienne,tetouan,effectif_migrants_internationaux,75,58
01.571.03.17,Commune de Saddina,tetouan,effectif_migrants_internationaux,14,59
01.571.03.21,Commune de Sahtryine,tetouan,effectif_migrants_internationaux,14,60
01.571.03.11,Commune de Bni Idder,tetouan,effectif_migrants_internationaux,0,61
01.571.03.05,Commune de Bghaghza,tetouan,effectif_migrants_internationaux,1,62
01.571.05.13,Commune de Bni Leit,tetouan,effectif_migrants_internationaux,2,63
01.571.05.01,Commune d'Al Hamra,tetouan,effectif_migrants_internationaux,0,64
01.571.05.05,Commune d'Al Oued,tetouan,effectif_migrants_internationaux,3,65
01.571.05.19,Commune d'Oulad Ali Mansour,tetouan,effectif_migrants_internationaux,0,66
01.571.05.17,Commune de Dar Bni Karrich,tetouan,effectif_migrants_internationaux,86,67
01.571.05.17.3,dont le centre urbain de Dar Bni Karrich,tetouan,effectif_migrants_internationaux,69,187
01.571.05.27,Commune de Zinat,tetouan,effectif_migrants_internationaux,18,68
01.571.05.07,Commune d'Azla,tetouan,effectif_migrants_internationaux,155,69
01.571.05.23,Commune de Zaitoune,tetouan,effectif_migrants_internationaux,86,70
01.571.05.15,Commune de Bni Said,tetouan,effectif_migrants_internationaux,6,71
01.571.05.25,Commune de Zaouiat Sidi Kacem,tetouan,effectif_migrants_internationaux,28,72
01.227,Province de Fahs-Anjra,fahs anjra,effectif_migrants_internationaux,523,5
01.227.05.09,Commune de Malloussa,fahs anjra,effectif_migrants_internationaux,86,73
01.227.05.01,Commune d'Al Bahraoyine,fahs anjra,effectif_migrants_internationaux,129,74
01.227.05.05,Commune de Ksar Sghir,fahs anjra,effectif_migrants_internationaux,154,75
01.227.03.11,Commune de Jouamaa,fahs anjra,effectif_migrants_internationaux,25,76
01.227.03.05,Commune d'Anjra,fahs anjra,effectif_migrants_internationaux,17,77
01.227.03.05.3,dont le centre urbain d'Anjra,fahs anjra,effectif_migrants_internationaux,13,188
01.227.03.21,Commune de Taghramt,fahs anjra,effectif_migrants_internationaux,24,78
01.227.03.13,Commune de Ksar El Majaz,fahs anjra,effectif_migrants_internationaux,87,79
01.331,Province de Larache,larache,effectif_migrants_internationaux,4272,6
01.331.01.01,Commune de Ksar El Kebir,larache,effectif_migrants_internationaux,1147,80
01.331.01.03,Commune de Larache,larache,effectif_migrants_internationaux,2499,81
