province_prefecture,milieu,fk_territoire,indicateur,valeur,territoire_id,indicateur_id
Province d'Al Hoceima,Urbain,al hoceima,population_legale_2014,137369.0,7.0,67
Province d'Al Hoceima,Urbain,al hoceima,menages_2014,32010.0,7.0,65
Province d'Al Hoceima,Urbain,al hoceima,population_legale_2024,138977.0,7.0,68
Province d'Al Hoceima,Urbain,al hoceima,menages_2024,36783.0,7.0,66
Province d'Al Hoceima,Urbain,al hoceima,taux_accroissement_pop_pct,0.12,7.0,70
Province d'Al Hoceima,Urbain,al hoceima,taux_accroissement_menages_pct,1.4,7.0,69
Province de Chefchaouen,Urbain,chefchaouen,population_legale_2014,57425.0,8.0,67
Province de Chefchaouen,Urbain,chefchaouen,menages_2014,13696.0,8.0,65
Province de Chefchaouen,Urbain,chefchaouen,population_legale_2024,62632.0,8.0,68
Province de Chefchaouen,Urbain,chefchaouen,menages_2024,16611.0,8.0,66
Province de Chefchaouen,Urbain,chefchaouen,taux_accroissement_pop_pct,0.87,8.0,70
Province de Chefchaouen,Urbain,chefchaouen,taux_accroissement_menages_pct,1.95,8.0,69
Province de Fahs-Anjra,Urbain,fahs anjra,population_legale_2014,0.0,5.0,67
Province de Fahs-Anjra,Urbain,fahs anjra,menages_2014,0.0,5.0,65
Province de Fahs-Anjra,Urbain,fahs anjra,population_legale_2024,3763.0,5.0,68
Province de Fahs-Anjra,Urbain,fahs anjra,menages_2024,899.0,5.0,66
Province de Fahs-Anjra,Urbain,fahs anjra,taux_accroissement_pop_pct,0.0,5.0,70
Province de Fahs-Anjra,Urbain,fahs anjra,taux_accroissement_menages_pct,0.0,5.0,69
Province de Larache,Urbain,larache,population_legale_2014,265660.0,6.0,67
Province de Larache,Urbain,larache,menages_2014,62792.0,6.0,65
Province de Larache,Urbain,larache,population_legale_2024,275450.0,6.0,68
Province de Larache,Urbain,larache,menages_2024,72961.0,6.0,66
Province de Larache,Urbain,larache,taux_accroissement_pop_pct,0.36,6.0,70
Province de Larache,Urbain,larache,taux_accroissement_menages_pct,1.51,6.0,69
Préfecture de M'diq-Fnideq,Urbain,m'diq fnideq,population_legale_2014,198018.0,3.0,67
Préfecture de M'diq-Fnideq,Urbain,m'diq fnideq,menages_2014,48504.0,3.0,65
Préfecture de M'diq-Fnideq,Urbain,m'diq fnideq,population_legale_2024,240745.0,3.0,68
Préfecture de M'diq-Fnideq,Urbain,m'diq fnideq,menages_2024,64445.0,3.0,66
Préfecture de M'diq-Fnideq,Urbain,m'diq fnideq,taux_accroissement_pop_pct,1.97,3.0,70
Préfecture de M'diq-Fnideq,Urbain,m'diq fnideq,taux_accroissement_menages_pct,2.88,3.0,69
Province de Ouezzane,Urbain,ouezzane,population_legale_2014,70239.0,9.0,67
Province de Ouezzane,Urbain,ouezzane,menages_2014,17551.0,9.0,65
Province de Ouezzane,Urbain,ouezzane,population_legale_2024,74526.0,9.0,68
Province de Ouezzane,Urbain,ouezzane,menages_2024,21052.0,9.0,66
Province de Ouezzane,Urbain,ouezzane,taux_accroissement_pop_pct,0.59,9.0,70
Province de Ouezzane,Urbain,ouezzane,taux_accroissement_menages_pct,1.84,9.0,69
Préfecture de Tanger-Assilah,Urbain,tanger assilah,population_legale_2014,1005041.0,2.0,67
Préfecture de Tanger-Assilah,Urbain,tanger assilah,menages_2014,253831.0,2.0,65
Préfecture de Tanger-Assilah,Urbain,tanger assilah,population_legale_2024,1402668.0,2.0,68
Préfecture de Tanger-Assilah,Urbain,tanger assilah,menages_2024,397526.0,2.0,66
Préfecture de Tanger-Assilah,Urbain,tanger assilah,taux_accroissement_pop_pct,3.39,2.0,70
Préfecture de Tanger-Assilah,Urbain,tanger assilah,taux_accroissement_menages_pct,4.59,2.0,69
Province de Tétouan,Urbain,tetouan,population_legale_2014,397973.0,4.0,67
Province de Tétouan,Urbain,tetouan,menages_2014,96784.0,4.0,65
Province de Tétouan,Urbain,tetouan,population_legale_2024,440054.0,4.0,68
Province de Tétouan,Urbain,tetouan,menages_2024,118489.0,4.0,66
Province de Tétouan,Urbain,tetouan,taux_accroissement_pop_pct,1.01,4.0,70
Province de Tétouan,Urbain,tetouan,taux_accroissement_menages_pct,2.04,4.0,69
Région de Tanger-Tétouan-Al Hoceima,Urbain,tanger tetouan al hoceima,population_legale_2014,2131725.0,1.0,67
Région de Tanger-Tétouan-Al Hoceima,Urbain,tanger tetouan al hoceima,menages_2014,525168.0,1.0,65
Région de Tanger-Tétouan-Al Hoceima,Urbain,tanger tetouan al hoceima,population_legale_2024,2638815.0,1.0,68
Région de Tanger-Tétouan-Al Hoceima,Urbain,tanger tetouan al hoceima,menages_2024,728766.0,1.0,66
Région de Tanger-Tétouan-Al Hoceima,Urbain,tanger tetouan al hoceima,taux_accroissement_pop_pct,2.16,1.0,70
Région de Tanger-Tétouan-Al Hoceima,Urbain,tanger tetouan al hoceima,taux_accroissement_menages_pct,3.33,1.0,69
Province d'Al Hoceima,Rural,al hoceima,population_legale_2014,262285.0,7.0,67
Province d'Al Hoceima,Rural,al hoceima,menages_2014,47316.0,7.0,65
Province d'Al Hoceima,Rural,al hoceima,population_legale_2024,232550.0,7.0,68
Province d'Al Hoceima,Rural,al hoceima,menages_2024,52398.0,7.0,66
Province d'Al Hoceima,Rural,al hoceima,taux_accroissement_pop_pct,-1.2,7.0,70
Province d'Al Hoceima,Rural,al hoceima,taux_accroissement_menages_pct,1.03,7.0,69
Province de Chefchaouen,Rural,chefchaouen,population_legale_2014,400007.0,8.0,67
Province de Chefchaouen,Rural,chefchaouen,menages_2014,69218.0,8.0,65
Province de Chefchaouen,Rural,chefchaouen,population_legale_2024,350081.0,8.0,68
Province de Chefchaouen,Rural,chefchaouen,menages_2024,74345.0,8.0,66
Province de Chefchaouen,Rural,chefchaouen,taux_accroissement_pop_pct,-1.32,8.0,70
Province de Chefchaouen,Rural,chefchaouen,taux_accroissement_menages_pct,0.72,8.0,69
Province de Fahs-Anjra,Rural,fahs anjra,population_legale_2014,76447.0,5.0,67
Province de Fahs-Anjra,Rural,fahs anjra,menages_2014,16823.0,5.0,65
Province de Fahs-Anjra,Rural,fahs anjra,population_legale_2024,97026.0,5.0,68
Province de Fahs-Anjra,Rural,fahs anjra,menages_2024,24261.0,5.0,66
Province de Fahs-Anjra,Rural,fahs anjra,taux_accroissement_pop_pct,2.41,5.0,70
Province de Fahs-Anjra,Rural,fahs anjra,taux_accroissement_menages_pct,3.73,5.0,69
Province de Larache,Rural,larache,population_legale_2014,231027.0,6.0,67
Province de Larache,Rural,larache,menages_2014,44565.0,6.0,65
Province de Larache,Rural,larache,population_legale_2024,234761.0,6.0,68
Province de Larache,Rural,larache,menages_2024,51681.0,6.0,66
Province de Larache,Rural,larache,taux_accroissement_pop_pct,0.16,6.0,70
Province de Larache,Rural,larache,taux_accroissement_menages_pct,1.49,6.0,69
Préfecture de M'diq-Fnideq,Rural,m'diq fnideq,population_legale_2014,11879.0,3.0,67
Préfecture de M'diq-Fnideq,Rural,m'diq fnideq,menages_2014,2635.0,3.0,65
Préfecture de M'diq-Fnideq,Rural,m'diq fnideq,population_legale_2024,13319.0,3.0,68
Préfecture de M'diq-Fnideq,Rural,m'diq fnideq,menages_2024,3352.0,3.0,66
Préfecture de M'diq-Fnideq,Rural,m'diq fnideq,taux_accroissement_pop_pct,1.15,3.0,70
Préfecture de M'diq-Fnideq,Rural,m'diq fnideq,taux_accroissement_menages_pct,2.44,3.0,69
Province de Ouezzane,Rural,ouezzane,population_legale_2014,230398.0,9.0,67
Province de Ouezzane,Rural,ouezzane,menages_2014,50307.0,9.0,65
Province de Ouezzane,Rural,ouezzane,population_legale_2024,200051.0,9.0,68
Province de Ouezzane,Rural,ouezzane,menages_2024,53844.0,9.0,66
Province de Ouezzane,Rural,ouezzane,taux_accroissement_pop_pct,-1.4,9.0,70
Province de Ouezzane,Rural,ouezzane,taux_accroissement_menages_pct,0.68,9.0,69
Préfecture de Tanger-Assilah,Rural,tanger assilah,population_legale_2014,60560.0,2.0,67
Préfecture de Tanger-Assilah,Rural,tanger assilah,menages_2014,12907.0,2.0,65
Préfecture de Tanger-Assilah,Rural,tanger assilah,population_legale_2024,91745.0,2.0,68
Préfecture de Tanger-Assilah,Rural,tanger assilah,menages_2024,21318.0,2.0,66
Préfecture de Tanger-Assilah,Rural,tanger assilah,taux_accroissement_pop_pct,4.24,2.0,70
Préfecture de Tanger-Assilah,Rural,tanger assilah,taux_accroissement_menages_pct,5.15,2.0,69
