code_geo,collectivite,sexe,indicateur,valeur,fk_territoire,territoire_id,indicateur_id
1.0,Région de Tanger-Tétouan-Al Hoceima,Ensemble,Taux de scolarisation des 6-11 ans en 2023/2024 (%),95.9,tanger tetouan al hoceima,1.0,115
1.0,Région de Tanger-Tétouan-Al Hoceima,Ensemble,Taux d'analphabétisme des 10 ans et plus (%),22.8,tanger tetouan al hoceima,1.0,113
1.0,Région de Tanger-Tétouan-Al Hoceima,Ensemble,Taux d'analphabétisme des 15 ans et plus (%),25.6,tanger tetouan al hoceima,1.0,114
1.0,Région de Tanger-Tétouan-Al Hoceima,Ensemble,Population alphabète de 10 ans et plus,2545283.0,tanger tetouan al hoceima,1.0,112
1.0,Région de Tanger-Tétouan-Al Hoceima,Ensemble,Langues lues et écrites par les alphabètes de 10 ans et plus (non exclusives) (%) - Arabe,99.5,tanger tetouan al hoceima,1.0,104
1.0,Région de Tanger-Tétouan-Al Hoceima,Ensemble,Langues lues et écrites par les alphabètes de 10 ans et plus (non exclusives) (%) - Amazigh (Tifinagh),0.8,tanger tetouan al hoceima,1.0,102
1.0,Région de Tanger-Tétouan-Al Hoceima,Ensemble,Langues lues et écrites par les alphabètes de 10 ans et plus (non exclusives) (%) - Anglais,16.5,tanger tetouan al hoceima,1.0,103
1.0,Région de Tanger-Tétouan-Al Hoceima,Ensemble,Langues lues et écrites par les alphabètes de 10 ans et plus (non exclusives) (%) - Français,47.9,tanger tetouan al hoceima,1.0,105
1.0,Région de Tanger-Tétouan-Al Hoceima,Ensemble,Niveau d'études dans l'enseignement général (%) - Aucun niveau d'études,33.8,tanger tetouan al hoceima,1.0,106
1.0,Région de Tanger-Tétouan-Al Hoceima,Ensemble,Niveau d'études dans l'enseignement général (%) - Préscolaire,1.4,tanger tetouan al hoceima,1.0,108
1.0,Région de Tanger-Tétouan-Al Hoceima,Ensemble,Niveau d'études dans l'enseignement général (%) - Primaire,27.3,tanger tetouan al hoceima,1.0,107
1.0,Région de Tanger-Tétouan-Al Hoceima,Ensemble,Niveau d'études dans l'enseignement général (%) - Secondaire collégial,17.5,tanger tetouan al hoceima,1.0,109
