territoire_id,indicateur,valeur,source,annee,url,indicateur_id
1,etab_collegial_prive,189,"Annuaire Statistique du Maroc 2024 (HCP), Tableau 11-24",2023-2024,https://www.hcp.ma/file/248150/,518
1,etab_collegial_public,237,"Annuaire Statistique du Maroc 2024 (HCP), Tableau 11-17",2023-2024,https://www.hcp.ma/file/248150/,517
1,etab_collegial_total,426,"Annuaire Statistique du Maroc 2024 (HCP), public + privé",2023-2024,https://www.hcp.ma/file/248150/,519
1,etab_primaire_prive,365,"Annuaire Statistique du Maroc 2024 (HCP), Tableau 11-15",2023-2024,https://www.hcp.ma/file/248150/,514
1,etab_primaire_public,944,"Annuaire Statistique du Maroc 2024 (HCP), Tableau 11-5",2023-2024,https://www.hcp.ma/file/248150/,513
1,etab_primaire_satellites,1576,"Annuaire Statistique du Maroc 2024 (HCP), Tableau 11-5",2023-2024,https://www.hcp.ma/file/248150/,516
1,etab_primaire_total,1309,"Annuaire Statistique du Maroc 2024 (HCP), public + privé",2023-2024,https://www.hcp.ma/file/248150/,515
1,etab_qualifiant_prive,92,"Annuaire Statistique du Maroc 2024 (HCP), Tableau 11-32",2023-2024,https://www.hcp.ma/file/248150/,521
1,etab_qualifiant_public,173,"Annuaire Statistique du Maroc 2024 (HCP), Tableau 11-26",2023-2024,https://www.hcp.ma/file/248150/,520
1,etab_qualifiant_total,265,"Annuaire Statistique du Maroc 2024 (HCP), public + privé",2023-2024,https://www.hcp.ma/file/248150/,522
2,etab_collegial_prive,113,"Annuaire Statistique du Maroc 2024 (HCP), Tableau 11-24",2023-2024,https://www.hcp.ma/file/248150/,518
2,etab_collegial_public,65,"Annuaire Statistique du Maroc 2024 (HCP), Tableau 11-17",2023-2024,https://www.hcp.ma/file/248150/,517
2,etab_collegial_total,178,"Annuaire Statistique du Maroc 2024 (HCP), public + privé",2023-2024,https://www.hcp.ma/file/248150/,519
2,etab_primaire_prive,219,"Annuaire Statistique du Maroc 2024 (HCP), Tableau 11-15",2023-2024,https://www.hcp.ma/file/248150/,514
2,etab_primaire_public,175,"Annuaire Statistique du Maroc 2024 (HCP), Tableau 11-5",2023-2024,https://www.hcp.ma/file/248150/,513
2,etab_primaire_satellites,63,"Annuaire Statistique du Maroc 2024 (HCP), Tableau 11-5",2023-2024,https://www.hcp.ma/file/248150/,516
2,etab_primaire_total,394,"Annuaire Statistique du Maroc 2024 (HCP), public + privé",2023-2024,https://www.hcp.ma/file/248150/,515
