territoire_id,nom,indicateur,valeur,theme,unite,indicateur_id
182,Arrondissement de Bni Makada,Nombre d'établissements collegial,17,education,nombre,119
182,Arrondissement de Bni Makada,Nombre d'établissements primaire,51,education,nombre,120
182,Arrondissement de Bni Makada,Nombre d'établissements qualifiant,9,education,nombre,121
180,Arrondissement de Mghogha,Nombre d'établissements collegial,13,education,nombre,119
180,Arrondissement de Mghogha,Nombre d'établissements primaire,30,education,nombre,120
180,Arrondissement de Mghogha,Nombre d'établissements qualifiant,4,education,nombre,121
183,Arrondissement de Médina,Nombre d'établissements collegial,14,education,nombre,119
183,Arrondissement de Médina,Nombre d'établissements primaire,33,education,nombre,120
183,Arrondissement de Médina,Nombre d'établissements qualifiant,8,education,nombre,121
181,Arrondissement de Souani,Nombre d'établissements collegial,5,education,nombre,119
181,Arrondissement de Souani,Nombre d'établissements primaire,12,education,nombre,120
181,Arrondissement de Souani,Nombre d'établissements qualifiant,5,education,nombre,121
134,Commune d'Abdelghaya Souahel,Nombre d'établissements collegial,1,education,nombre,119
134,Commune d'Abdelghaya Souahel,Nombre d'établissements primaire,7,education,nombre,120
134,Commune d'Abdelghaya Souahel,Nombre d'établissements qualifiant,1,education,nombre,121
177,Commune d'Ain Beida,Nombre d'établissements collegial,1,education,nombre,119
177,Commune d'Ain Beida,Nombre d'établissements primaire,4,education,nombre,120
177,Commune d'Ain Beida,Nombre d'établissements qualifiant,1,education,nombre,121
53,Commune d'Ain Lahsan,Nombre d'établissements collegial,1,education,nombre,119
53,Commune d'Ain Lahsan,Nombre d'établissements primaire,3,education,nombre,120
53,Commune d'Ain Lahsan,Nombre d'établissements qualifiant,0,education,nombre,121
119,Commune d'Ait Kamra,Nombre d'établissements collegial,1,education,nombre,119
119,Commune d'Ait Kamra,Nombre d'établissements primaire,3,education,nombre,120
119,Commune d'Ait Kamra,Nombre d'établissements qualifiant,1,education,nombre,121
112,Commune d'Ait Youssef Ou Ali,Nombre d'établissements collegial,1,education,nombre,119
112,Commune d'Ait Youssef Ou Ali,Nombre d'établissements primaire,3,education,nombre,120
112,Commune d'Ait Youssef Ou Ali,Nombre d'établissements qualifiant,1,education,nombre,121
103,Commune d'Ajdir,Nombre d'établissements collegial,1,education,nombre,119
103,Commune d'Ajdir,Nombre d'établissements primaire,3,education,nombre,120
103,Commune d'Ajdir,Nombre d'établissements qualifiant,1,education,nombre,121
74,Commune d'Al Bahraoyine,Nombre d'établissements collegial,1,education,nombre,119
74,Commune d'Al Bahraoyine,Nombre d'établissements primaire,4,education,nombre,120
74,Commune d'Al Bahraoyine,Nombre d'établissements qualifiant,1,education,nombre,121
64,Commune d'Al Hamra,Nombre d'établissements collegial,1,education,nombre,119
64,Commune d'Al Hamra,Nombre d'établissements primaire,3,education,nombre,120
64,Commune d'Al Hamra,Nombre d'établissements qualifiant,1,education,nombre,121
99,Commune d'Al Hoceima,Nombre d'établissements collegial,6,education,nombre,119
99,Commune d'Al Hoceima,Nombre d'établissements primaire,15,education,nombre,120
99,Commune d'Al Hoceima,Nombre d'établissements qualifiant,4,education,nombre,121
57,Commune d'Al Kharroub,Nombre d'établissements collegial,1,education,nombre,119
57,Commune d'Al Kharroub,Nombre d'établissements primaire,2,education,nombre,120
57,Commune d'Al Kharroub,Nombre d'établissements qualifiant,0,education,nombre,121
39,Commune d'Al Manzla,Nombre d'établissements collegial,0,education,nombre,119
39,Commune d'Al Manzla,Nombre d'établissements primaire,1,education,nombre,120
39,Commune d'Al Manzla,Nombre d'établissements qualifiant,0,education,nombre,121
65,Commune d'Al Oued,Nombre d'établissements collegial,1,education,nombre,119
65,Commune d'Al Oued,Nombre d'établissements primaire,7,education,nombre,120
65,Commune d'Al Oued,Nombre d'établissements qualifiant,0,education,nombre,121
49,Commune d'Allyene,Nombre d'établissements collegial,1,education,nombre,119
49,Commune d'Allyene,Nombre d'établissements primaire,5,education,nombre,120
49,Commune d'Allyene,Nombre d'établissements qualifiant,0,education,nombre,121
139,Commune d'Amtar,Nombre d'établissements collegial,1,education,nombre,119
139,Commune d'Amtar,Nombre d'établissements primaire,6,education,nombre,120
139,Commune d'Amtar,Nombre d'établissements qualifiant,1,education,nombre,121
77,Commune d'Anjra,Nombre d'établissements collegial,1,education,nombre,119
77,Commune d'Anjra,Nombre d'établissements primaire,7,education,nombre,120
77,Commune d'Anjra,Nombre d'établissements qualifiant,1,education,nombre,121
42,Commune d'Aquouass Briech,Nombre d'établissements collegial,0,education,nombre,119
42,Commune d'Aquouass Briech,Nombre d'établissements primaire,1,education,nombre,120
42,Commune d'Aquouass Briech,Nombre d'établissements qualifiant,0,education,nombre,121
109,Commune d'Arbaa Taourirt,Nombre d'établissements collegial,1,education,nombre,119
109,Commune d'Arbaa Taourirt,Nombre d'établissements primaire,3,education,nombre,120
109,Commune d'Arbaa Taourirt,Nombre d'établissements qualifiant,0,education,nombre,121
175,Commune d'Asjen,Nombre d'établissements collegial,0,education,nombre,119
175,Commune d'Asjen,Nombre d'établissements primaire,7,education,nombre,120
175,Commune d'Asjen,Nombre d'établissements qualifiant,1,education,nombre,121
35,Commune d'Assilah,Nombre d'établissements collegial,2,education,nombre,119
35,Commune d'Assilah,Nombre d'établissements primaire,8,education,nombre,120
35,Commune d'Assilah,Nombre d'établissements qualifiant,1,education,nombre,121
90,Commune d'Ayacha,Nombre d'établissements collegial,1,education,nombre,119
90,Commune d'Ayacha,Nombre d'établissements primaire,5,education,nombre,120
90,Commune d'Ayacha,Nombre d'établissements qualifiant,0,education,nombre,121
69,Commune d'Azla,Nombre d'établissements collegial,1,education,nombre,119
69,Commune d'Azla,Nombre d'établissements primaire,3,education,nombre,120
69,Commune d'Azla,Nombre d'établissements qualifiant,1,education,nombre,121
114,Commune d'Imrabten,Nombre d'établissements collegial,0,education,nombre,119
114,Commune d'Imrabten,Nombre d'établissements primaire,3,education,nombre,120
114,Commune d'Imrabten,Nombre d'établissements qualifiant,1,education,nombre,121
101,Commune d'Imzouren,Nombre d'établissements collegial,4,education,nombre,119
101,Commune d'Imzouren,Nombre d'établissements primaire,9,education,nombre,120
101,Commune d'Imzouren,Nombre d'établissements qualifiant,3,education,nombre,121
137,Commune d'Iounane,Nombre d'établissements collegial,1,education,nombre,119
137,Commune d'Iounane,Nombre d'établissements primaire,7,education,nombre,120
137,Commune d'Iounane,Nombre d'établissements qualifiant,0,education,nombre,121
131,Commune d'Issaguen,Nombre d'établissements collegial,1,education,nombre,119
131,Commune d'Issaguen,Nombre d'établissements primaire,3,education,nombre,120
131,Commune d'Issaguen,Nombre d'établissements qualifiant,1,education,nombre,121
118,Commune d'Izemmouren,Nombre d'établissements collegial,1,education,nombre,119
118,Commune d'Izemmouren,Nombre d'établissements primaire,1,education,nombre,120
118,Commune d'Izemmouren,Nombre d'établissements qualifiant,0,education,nombre,121
170,Commune d'Ouannana,Nombre d'établissements collegial,1,education,nombre,119
170,Commune d'Ouannana,Nombre d'établissements primaire,4,education,nombre,120
170,Commune d'Ouannana,Nombre d'établissements qualifiant,0,education,nombre,121
141,Commune d'Ouaouzgane,Nombre d'établissements collegial,1,education,nombre,119
141,Commune d'Ouaouzgane,Nombre d'établissements primaire,7,education,nombre,120
141,Commune d'Ouaouzgane,Nombre d'établissements qualifiant,1,education,nombre,121
52,Commune d'Oued Laou,Nombre d'établissements collegial,1,education,nombre,119
52,Commune d'Oued Laou,Nombre d'établissements primaire,4,education,nombre,120
52,Commune d'Oued Laou,Nombre d'établissements qualifiant,1,education,nombre,121
146,Commune d'Oued Malha,Nombre d'établissements collegial,0,education,nombre,119
146,Commune d'Oued Malha,Nombre d'établissements primaire,3,education,nombre,120
146,Commune d'Oued Malha,Nombre d'établissements qualifiant,1,education,nombre,121
163,Commune d'Ouezzane,Nombre d'établissements collegial,2,education,nombre,119
163,Commune d'Ouezzane,Nombre d'établissements primaire,12,education,nombre,120
163,Commune d'Ouezzane,Nombre d'établissements qualifiant,4,education,nombre,121
66,Commune d'Oulad Ali Mansour,Nombre d'établissements collegial,1,education,nombre,119
66,Commune d'Oulad Ali Mansour,Nombre d'établissements primaire,3,education,nombre,120
66,Commune d'Oulad Ali Mansour,Nombre d'établissements qualifiant,0,education,nombre,121
96,Commune d'Oulad Ouchih,Nombre d'établissements collegial,0,education,nombre,119
96,Commune d'Oulad Ouchih,Nombre d'établissements primaire,3,education,nombre,120
96,Commune d'Oulad Ouchih,Nombre d'établissements qualifiant,1,education,nombre,121
136,Commune de Bab Berred,Nombre d'établissements collegial,1,education,nombre,119
136,Commune de Bab Berred,Nombre d'établissements primaire,8,education,nombre,120
136,Commune de Bab Berred,Nombre d'établissements qualifiant,1,education,nombre,121
148,Commune de Bab Taza,Nombre d'établissements collegial,1,education,nombre,119
148,Commune de Bab Taza,Nombre d'établissements primaire,7,education,nombre,120
148,Commune de Bab Taza,Nombre d'établissements qualifiant,1,education,nombre,121
50,Commune de Belyounech,Nombre d'établissements collegial,1,education,nombre,119
50,Commune de Belyounech,Nombre d'établissements primaire,1,education,nombre,120
50,Commune de Belyounech,Nombre d'établissements qualifiant,0,education,nombre,121
62,Commune de Bghaghza,Nombre d'établissements collegial,1,education,nombre,119
62,Commune de Bghaghza,Nombre d'établissements primaire,4,education,nombre,120
62,Commune de Bghaghza,Nombre d'établissements qualifiant,0,education,nombre,121
117,Commune de Bni Abdellah,Nombre d'établissements collegial,1,education,nombre,119
117,Commune de Bni Abdellah,Nombre d'établissements primaire,4,education,nombre,120
117,Commune de Bni Abdellah,Nombre d'établissements qualifiant,0,education,nombre,121
144,Commune de Bni Ahmed Cherqia,Nombre d'établissements collegial,0,education,nombre,119
144,Commune de Bni Ahmed Cherqia,Nombre d'établissements primaire,3,education,nombre,120
144,Commune de Bni Ahmed Cherqia,Nombre d'établissements qualifiant,1,education,nombre,121
145,Commune de Bni Ahmed Gharbia,Nombre d'établissements collegial,1,education,nombre,119
145,Commune de Bni Ahmed Gharbia,Nombre d'établissements primaire,3,education,nombre,120
145,Commune de Bni Ahmed Gharbia,Nombre d'établissements qualifiant,0,education,nombre,121
127,Commune de Bni Ahmed Imoukzan,Nombre d'établissements collegial,1,education,nombre,119
127,Commune de Bni Ahmed Imoukzan,Nombre d'établissements primaire,3,education,nombre,120
127,Commune de Bni Ahmed Imoukzan,Nombre d'établissements qualifiant,0,education,nombre,121
122,Commune de Bni Ammart,Nombre d'établissements collegial,0,education,nombre,119
122,Commune de Bni Ammart,Nombre d'établissements primaire,5,education,nombre,120
122,Commune de Bni Ammart,Nombre d'établissements qualifiant,1,education,nombre,121
88,Commune de Bni Arouss,Nombre d'établissements collegial,1,education,nombre,119
88,Commune de Bni Arouss,Nombre d'établissements primaire,3,education,nombre,120
88,Commune de Bni Arouss,Nombre d'établissements qualifiant,0,education,nombre,121
125,Commune de Bni Bchir,Nombre d'établissements collegial,1,education,nombre,119
125,Commune de Bni Bchir,Nombre d'établissements primaire,2,education,nombre,120
125,Commune de Bni Bchir,Nombre d'établissements qualifiant,0,education,nombre,121
100,Commune de Bni Bouayach,Nombre d'établissements collegial,1,education,nombre,119
100,Commune de Bni Bouayach,Nombre d'établissements primaire,6,education,nombre,120
100,Commune de Bni Bouayach,Nombre d'établissements qualifiant,2,education,nombre,121
132,Commune de Bni Bouchibet,Nombre d'établissements collegial,0,education,nombre,119
132,Commune de Bni Bouchibet,Nombre d'établissements primaire,2,education,nombre,120
132,Commune de Bni Bouchibet,Nombre d'établissements qualifiant,1,education,nombre,121
104,Commune de Bni Boufrah,Nombre d'établissements collegial,1,education,nombre,119
104,Commune de Bni Boufrah,Nombre d'établissements primaire,4,education,nombre,120
104,Commune de Bni Boufrah,Nombre d'établissements qualifiant,1,education,nombre,121
126,Commune de Bni Bounsar,Nombre d'établissements collegial,0,education,nombre,119
126,Commune de Bni Bounsar,Nombre d'établissements primaire,3,education,nombre,120
126,Commune de Bni Bounsar,Nombre d'établissements qualifiant,1,education,nombre,121
158,Commune de Bni Bouzra,Nombre d'établissements collegial,1,education,nombre,119
158,Commune de Bni Bouzra,Nombre d'établissements primaire,5,education,nombre,120
158,Commune de Bni Bouzra,Nombre d'établissements qualifiant,0,education,nombre,121
150,Commune de Bni Darkoul,Nombre d'établissements collegial,1,education,nombre,119
150,Commune de Bni Darkoul,Nombre d'établissements primaire,5,education,nombre,120
150,Commune de Bni Darkoul,Nombre d'établissements qualifiant,0,education,nombre,121
151,Commune de Bni Faghloum,Nombre d'établissements collegial,0,education,nombre,119
151,Commune de Bni Faghloum,Nombre d'établissements primaire,3,education,nombre,120
151,Commune de Bni Faghloum,Nombre d'établissements qualifiant,1,education,nombre,121
91,Commune de Bni Garfett,Nombre d'établissements collegial,1,education,nombre,119
91,Commune de Bni Garfett,Nombre d'établissements primaire,5,education,nombre,120
91,Commune de Bni Garfett,Nombre d'établissements qualifiant,0,education,nombre,121
107,Commune de Bni Gmil,Nombre d'établissements collegial,1,education,nombre,119
107,Commune de Bni Gmil,Nombre d'établissements primaire,3,education,nombre,120
107,Commune de Bni Gmil,Nombre d'établissements qualifiant,1,education,nombre,121
106,Commune de Bni Gmil Maksouline,Nombre d'établissements collegial,1,education,nombre,119
106,Commune de Bni Gmil Maksouline,Nombre d'établissements primaire,3,education,nombre,120
106,Commune de Bni Gmil Maksouline,Nombre d'établissements qualifiant,0,education,nombre,121
116,Commune de Bni Hadifa,Nombre d'établissements collegial,1,education,nombre,119
116,Commune de Bni Hadifa,Nombre d'établissements primaire,4,education,nombre,120
116,Commune de Bni Hadifa,Nombre d'établissements qualifiant,1,education,nombre,121
56,Commune de Bni Harchen,Nombre d'établissements collegial,1,education,nombre,119
56,Commune de Bni Harchen,Nombre d'établissements primaire,5,education,nombre,120
56,Commune de Bni Harchen,Nombre d'établissements qualifiant,0,education,nombre,121
61,Commune de Bni Idder,Nombre d'établissements collegial,1,education,nombre,119
61,Commune de Bni Idder,Nombre d'établissements primaire,3,education,nombre,120
61,Commune de Bni Idder,Nombre d'établissements qualifiant,0,education,nombre,121
63,Commune de Bni Leit,Nombre d'établissements collegial,1,education,nombre,119
63,Commune de Bni Leit,Nombre d'établissements primaire,4,education,nombre,120
63,Commune de Bni Leit,Nombre d'établissements qualifiant,0,education,nombre,121
157,Commune de Bni Mansour,Nombre d'établissements collegial,1,education,nombre,119
157,Commune de Bni Mansour,Nombre d'établissements primaire,7,education,nombre,120
157,Commune de Bni Mansour,Nombre d'établissements qualifiant,0,education,nombre,121
167,Commune de Bni Quolla,Nombre d'établissements collegial,1,education,nombre,119
167,Commune de Bni Quolla,Nombre d'établissements primaire,5,education,nombre,120
167,Commune de Bni Quolla,Nombre d'établissements qualifiant,0,education,nombre,121
142,Commune de Bni Rzine,Nombre d'établissements collegial,0,education,nombre,119
142,Commune de Bni Rzine,Nombre d'établissements primaire,7,education,nombre,120
142,Commune de Bni Rzine,Nombre d'établissements qualifiant,1,education,nombre,121
71,Commune de Bni Said,Nombre d'établissements collegial,1,education,nombre,119
71,Commune de Bni Said,Nombre d'établissements primaire,5,education,nombre,120
71,Commune de Bni Said,Nombre d'établissements qualifiant,0,education,nombre,121
149,Commune de Bni Salah,Nombre d'établissements collegial,1,education,nombre,119
149,Commune de Bni Salah,Nombre d'établissements primaire,3,education,nombre,120
149,Commune de Bni Salah,Nombre d'établissements qualifiant,0,education,nombre,121
156,Commune de Bni Selmane,Nombre d'établissements collegial,1,education,nombre,119
156,Commune de Bni Selmane,Nombre d'établissements primaire,10,education,nombre,120
156,Commune de Bni Selmane,Nombre d'établissements qualifiant,1,education,nombre,121
143,Commune de Bni Smih,Nombre d'établissements collegial,1,education,nombre,119
143,Commune de Bni Smih,Nombre d'établissements primaire,6,education,nombre,120
143,Commune de Bni Smih,Nombre d'établissements qualifiant,1,education,nombre,121
85,Commune de Boujedyane,Nombre d'établissements collegial,0,education,nombre,119
85,Commune de Boujedyane,Nombre d'établissements primaire,5,education,nombre,120
85,Commune de Boujedyane,Nombre d'établissements qualifiant,0,education,nombre,121
174,Commune de Brikcha,Nombre d'établissements collegial,0,education,nombre,119
174,Commune de Brikcha,Nombre d'établissements primaire,5,education,nombre,120
174,Commune de Brikcha,Nombre d'établissements qualifiant,1,education,nombre,121
108,Commune de Chakrane,Nombre d'établissements collegial,1,education,nombre,119
108,Commune de Chakrane,Nombre d'établissements primaire,3,education,nombre,120
108,Commune de Chakrane,Nombre d'établissements qualifiant,0,education,nombre,121
135,Commune de Chefchaouen,Nombre d'établissements collegial,5,education,nombre,119
135,Commune de Chefchaouen,Nombre d'établissements primaire,12,education,nombre,120
135,Commune de Chefchaouen,Nombre d'établissements qualifiant,5,education,nombre,121
67,Commune de Dar Bni Karrich,Nombre d'établissements collegial,1,education,nombre,119
67,Commune de Dar Bni Karrich,Nombre d'établissements primaire,2,education,nombre,120
67,Commune de Dar Bni Karrich,Nombre d'établissements qualifiant,1,education,nombre,121
38,Commune de Dar Chaoui,Nombre d'établissements collegial,1,education,nombre,119
38,Commune de Dar Chaoui,Nombre d'établissements primaire,2,education,nombre,120
38,Commune de Dar Chaoui,Nombre d'établissements qualifiant,0,education,nombre,121
153,Commune de Derdara,Nombre d'établissements collegial,1,education,nombre,119
153,Commune de Derdara,Nombre d'établissements primaire,6,education,nombre,120
153,Commune de Derdara,Nombre d'établissements qualifiant,0,education,nombre,121
152,Commune de Fifi,Nombre d'établissements collegial,1,education,nombre,119
152,Commune de Fifi,Nombre d'établissements primaire,3,education,nombre,120
152,Commune de Fifi,Nombre d'établissements qualifiant,1,education,nombre,121
47,Commune de Fnideq,Nombre d'établissements collegial,6,education,nombre,119
47,Commune de Fnideq,Nombre d'établissements primaire,10,education,nombre,120
47,Commune de Fnideq,Nombre d'établissements qualifiant,3,education,nombre,121
36,Commune de Gueznaia,Nombre d'établissements collegial,3,education,nombre,119
36,Commune de Gueznaia,Nombre d'établissements primaire,7,education,nombre,120
36,Commune de Gueznaia,Nombre d'établissements qualifiant,2,education,nombre,121
43,Commune de Had Al Gharbia,Nombre d'établissements collegial,1,education,nombre,119
43,Commune de Had Al Gharbia,Nombre d'établissements primaire,6,education,nombre,120
43,Commune de Had Al Gharbia,Nombre d'établissements qualifiant,1,education,nombre,121
37,Commune de Hjar Ennhal,Nombre d'établissements collegial,1,education,nombre,119
37,Commune de Hjar Ennhal,Nombre d'établissements primaire,4,education,nombre,120
37,Commune de Hjar Ennhal,Nombre d'établissements qualifiant,0,education,nombre,121
55,Commune de Jbel Lahbib,Nombre d'établissements collegial,1,education,nombre,119
55,Commune de Jbel Lahbib,Nombre d'établissements primaire,2,education,nombre,120
55,Commune de Jbel Lahbib,Nombre d'établissements qualifiant,1,education,nombre,121
76,Commune de Jouamaa,Nombre d'établissements collegial,0,education,nombre,119
76,Commune de Jouamaa,Nombre d'établissements primaire,5,education,nombre,120
76,Commune de Jouamaa,Nombre d'établissements qualifiant,1,education,nombre,121
178,Commune de Kalaat Bouqorra,Nombre d'établissements collegial,1,education,nombre,119
178,Commune de Kalaat Bouqorra,Nombre d'établissements primaire,5,education,nombre,120
178,Commune de Kalaat Bouqorra,Nombre d'établissements qualifiant,1,education,nombre,121
129,Commune de Ketama,Nombre d'établissements collegial,0,education,nombre,119
129,Commune de Ketama,Nombre d'établissements primaire,5,education,nombre,120
129,Commune de Ketama,Nombre d'établissements qualifiant,1,education,nombre,121
84,Commune de Ksar Bjir,Nombre d'établissements collegial,1,education,nombre,119
84,Commune de Ksar Bjir,Nombre d'établissements primaire,5,education,nombre,120
84,Commune de Ksar Bjir,Nombre d'établissements qualifiant,0,education,nombre,121
80,Commune de Ksar El Kebir,Nombre d'établissements collegial,8,education,nombre,119
80,Commune de Ksar El Kebir,Nombre d'établissements primaire,27,education,nombre,120
80,Commune de Ksar El Kebir,Nombre d'établissements qualifiant,7,education,nombre,121
79,Commune de Ksar El Majaz,Nombre d'établissements collegial,1,education,nombre,119
79,Commune de Ksar El Majaz,Nombre d'établissements primaire,6,education,nombre,120
79,Commune de Ksar El Majaz,Nombre d'établissements qualifiant,0,education,nombre,121
75,Commune de Ksar Sghir,Nombre d'établissements collegial,0,education,nombre,119
75,Commune de Ksar Sghir,Nombre d'établissements primaire,6,education,nombre,120
75,Commune de Ksar Sghir,Nombre d'établissements qualifiant,2,education,nombre,121
40,Commune de Laaouama,Nombre d'établissements collegial,1,education,nombre,119
40,Commune de Laaouama,Nombre d'établissements primaire,2,education,nombre,120
40,Commune de Laaouama,Nombre d'établissements qualifiant,0,education,nombre,121
155,Commune de Laghdir,Nombre d'établissements collegial,0,education,nombre,119
155,Commune de Laghdir,Nombre d'établissements primaire,3,education,nombre,120
155,Commune de Laghdir,Nombre d'établissements qualifiant,1,education,nombre,121
171,Commune de Lamjaara,Nombre d'établissements collegial,1,education,nombre,119
171,Commune de Lamjaara,Nombre d'établissements primaire,4,education,nombre,120
171,Commune de Lamjaara,Nombre d'établissements qualifiant,1,education,nombre,121
82,Commune de Laouamra,Nombre d'établissements collegial,2,education,nombre,119
82,Commune de Laouamra,Nombre d'établissements primaire,10,education,nombre,120
82,Commune de Laouamra,Nombre d'établissements qualifiant,1,education,nombre,121
81,Commune de Larache,Nombre d'établissements collegial,6,education,nombre,119
81,Commune de Larache,Nombre d'établissements primaire,28,education,nombre,120
81,Commune de Larache,Nombre d'établissements qualifiant,5,education,nombre,121
113,Commune de Louta,Nombre d'établissements collegial,1,education,nombre,119
113,Commune de Louta,Nombre d'établissements primaire,2,education,nombre,120
113,Commune de Louta,Nombre d'établissements qualifiant,0,education,nombre,121
46,Commune de M'diq,Nombre d'établissements collegial,4,education,nombre,119
46,Commune de M'diq,Nombre d'établissements primaire,11,education,nombre,120
46,Commune de M'diq,Nombre d'établissements qualifiant,3,education,nombre,121
140,Commune de M'tioua,Nombre d'établissements collegial,1,education,nombre,119
140,Commune de M'tioua,Nombre d'établissements primaire,6,education,nombre,120
140,Commune de M'tioua,Nombre d'établissements qualifiant,2,education,nombre,121
58,Commune de Mallalienne,Nombre d'établissements collegial,1,education,nombre,119
58,Commune de Mallalienne,Nombre d'établissements primaire,3,education,nombre,120
58,Commune de Mallalienne,Nombre d'établissements qualifiant,0,education,nombre,121
73,Commune de Malloussa,Nombre d'établissements collegial,1,education,nombre,119
73,Commune de Malloussa,Nombre d'établissements primaire,4,education,nombre,120
73,Commune de Malloussa,Nombre d'établissements qualifiant,1,education,nombre,121
147,Commune de Mansoura,Nombre d'établissements collegial,1,education,nombre,119
147,Commune de Mansoura,Nombre d'établissements primaire,5,education,nombre,120
