Code,C. sanitaire,Milieu,Province,Type infrastructure,Nombre,territoire_id
5101005,Al Hoceima,Urbain,Al Hoceima,CPBL,10,7
5101005,Al Hoceima,Urbain,Al Hoceima,CPBL,26,7
33101005,Ksar El Kebir,Urbain,Larache,CPBL,10,6
33101005,Ksar El Kebir,Urbain,Larache,CPBL,12,6
33101010,Larache,Urbain,Larache,CPBL,16,6
33101010,Larache,Urbain,Larache,CPBL,26,6
33101010,Larache,Urbain,Larache,CPBL,18,6
33101010,Larache,Urbain,Larache,CPBL,16,6
40501005,Ouezzane,Urbain,Ouezzane,CPBL,60,9
51101010,Bni Makada ,Urbain,Tanger Assilah,CPBL,24,2
51101015,Mghogha ,Urbain,Tanger Assilah,CPBL,200,2
51101015,Mghogha ,Urbain,Tanger Assilah,CPBL,12,2
51101020,Souani ,Urbain,Tanger Assilah,CPBNL,87,2
51101020,Souani ,Urbain,Tanger Assilah,CPBL,80,2
51101020,Souani ,Urbain,Tanger Assilah,CPBL,15,2
51101020,Souani ,Urbain,Tanger Assilah,CPBL,20,2
51101025,Al Madina ,Urbain,Tanger Assilah,CPBL,270,2
51101025,Al Madina ,Urbain,Tanger Assilah,CPBL,31,2
51101025,Al Madina ,Urbain,Tanger Assilah,CPBL,60,2
51101025,Al Madina ,Urbain,Tanger Assilah,CPBL,46,2
51101025,Al Madina ,Urbain,Tanger Assilah,CPBL,24,2
51101025,Al Madina ,Urbain,Tanger Assilah,CPBL,48,2
51101025,Al Madina ,Urbain,Tanger Assilah,CPBL,22,2
51101025,Al Madina ,Urbain,Tanger Assilah,CPBL,24,2
51101025,Al Madina ,Urbain,Tanger Assilah,CPBL,36,2
51101025,Al Madina ,Urbain,Tanger Assilah,CPBL,25,2
51101025,Al Madina ,Urbain,Tanger Assilah,CPBL,8,2
51101025,Al Madina ,Urbain,Tanger Assilah,CPBL,26,2
51101025,Al Madina ,Urbain,Tanger Assilah,CPBL,39,2
51101025,Al Madina ,Urbain,Tanger Assilah,CPBNL,36,2
51101025,Al Madina ,Urbain,Tanger Assilah,CPBNL,0,2
51101025,Al Madina ,Urbain,Tanger Assilah,CPBNL,18,2
51101025,Al Madina ,Urbain,Tanger Assilah,CPBL,9,2
51101025,Al Madina ,Urbain,Tanger Assilah,CPBL,6,2
51101025,Al Madina ,Urbain,Tanger Assilah,CPBL,11,2
51101025,Al Madina ,Urbain,Tanger Assilah,CPBL,10,2
51101025,Al Madina ,Urbain,Tanger Assilah,CPBNL,55,2
51101025,Al Madina ,Urbain,Tanger Assilah,CPBL,10,2
51101030,Gueznaia ,Urbain,Tanger Assilah,CPBL,40,2
57101010,Tetouan,Urbain,Tetouan,CPBL,34,4
57101010,Tetouan,Urbain,Tetouan,CPBL,25,4
57101010,Tetouan,Urbain,Tetouan,CPBL,45,4
57101010,Tetouan,Urbain,Tetouan,CPBL,75,4
57101010,Tetouan,Urbain,Tetouan,CPBL,80,4
57101010,Tetouan,Urbain,Tetouan,CPBL,50,4
57101010,Tetouan,Urbain,Tetouan,CPBL,75,4
