Province,Circ. sanitaire,Commune,Nom,Catégorie,Milieu,territoire_id
Chefchaouen,Assifane,Bni Selmane,Assifane,CSR-2,Rural,156
Chefchaouen,Bab Berred,Bab Berred,Bab Berred,CSR-2,Rural,136
Chefchaouen,Bab Taza,Bab Taza,Bab Taza,CSR-2,Rural,148
Chefchaouen,Bni Ahmed,Bni Ahmed Cherqia,Bni Ahmed,CSR-2,Rural,144
Chefchaouen,Bou Ahmed,Bni Bouzra,Bou Ahmed,CSR-1,Rural,158
Chefchaouen,Chefchaouen,Chefchaouen (Mun.),Ain el houzi,CDTMR,Urbain,135
Chefchaouen,Chefchaouen,Chefchaouen (Mun.),Ain El Houzi,CSU-1,Urbain,135
Chefchaouen,Chefchaouen,Chefchaouen (Mun.),Bab El Ain,CSU-1,Urbain,135
Chefchaouen,Chefchaouen,Chefchaouen (Mun.),El Haouta,CSU-1,Urbain,135
Chefchaouen,Jebha,M'tioua,Jabha,CSR-2,Rural,140
Chefchaouen,Oued Malha,Oued Malha,Malha,CSR-1,Rural,146
Chefchaouen,Talambote,Talambote,Talambot,CSR-2,Rural,162
Chefchaouen,Tamorot,Tamorot,Tamorot,CSR-2,Rural,138
Chefchaouen,Tanaqoub,Tanaqoub,Tanaqoub,CSR-2,Rural,154
Fahs-Anjra,Al Bahraoyine,Al Bahraoyine,Bni Ouassine,DR,Rural,74
Fahs-Anjra,Al Bahraoyine,Al Bahraoyine,Nouinouich,CSR-1,Rural,74
Fahs-Anjra,Anjra,Anjra,Khmiss Anjra,CSR-2,Rural,77
Fahs-Anjra,Jouamaa,Jouamaa,Hakkama,CSR-2,Rural,76
Fahs-Anjra,Ksar El Majaz,Ksar El Majaz,Ksar El Majaz,CSR-2,Rural,79
Fahs-Anjra,Ksar Sghir,Ksar Sghir,Ksar Sghir,CSR-2,Rural,75
Fahs-Anjra,Mellousa,Malloussa,Malloussa,CSR-2,Rural,73
Fahs-Anjra,Taghramt,Taghramt,Taghramt,CSR-2,Rural,78
Larache,Ayacha,Ayacha,Ayacha,CSR-1,Rural,90
Larache,Bni Arouss,Bni Arouss,Bni Arouss,CSR-2,Rural,88
Larache,Bni Garfett,Zaaroura,Zaaroura,CSR-1,Rural,92
Larache,Bni Garfett,Bni Garfett,Bni Garfett,CSR-2,Rural,91
Larache,Khemis Sahel,Sahel,Sahel,CSR-2,Rural,93
Larache,Ksar El Kebir,Ksar El Kebir (Mun.),Moaskar,CSU-1,Urbain,80
Larache,Ksar El Kebir,Ksar El Kebir (Mun.),Bouchouika,CSU-1,Urbain,80
Larache,Ksar El Kebir,Ksar El Kebir (Mun.),Sidi Kamel,CSU-1,Urbain,80
Larache,Ksar El Kebir,Ksar El Kebir (Mun.),Khalkhali,CSU-1,Urbain,80
Larache,Ksar El Kebir,Ksar El Kebir (Mun.),My Ali Boughaleb,CSU-1,Urbain,80
Larache,Ksar El Kebir,Ksar El Kebir (Mun.),Ksar El Kbir,CRSR,Urbain,80
Larache,L'qolla,Souk L'Qolla,L'qolla,CSR-2,Rural,87
Larache,Laouamra,Laouamra,Laouamra,CSR-2,Rural,82
Larache,Larache,Larache (Mun.),Alwafaa,CDTMR,Urbain,81
Larache,Larache,Larache (Mun.),Alwafaa,CSU-1,Urbain,81
Larache,Larache,Larache (Mun.),Hay Nador,CSU-1,Urbain,81
Larache,Larache,Larache (Mun.),Kassaba,CSU-1,Urbain,81
Larache,Larache,Larache (Mun.),Hay El Jadid,CSU-1,Urbain,81
Larache,Larache,Larache (Mun.),Larache,CRSR,Urbain,81
Larache,Oulad Ouchih - Souaken,Souaken,Souaken,CSR-1,Rural,97
Larache,Oulad Ouchih - Souaken,Oulad Ouchih,Oulad Ouchih,CSR-1,Rural,96
Larache,Rissana,Rissana Janoubia,Rissana Janoubia,CSR-1,Rural,95
Larache,Rissana,Rissana Chamalia,Rissana Chamalia,CSR-2,Rural,94
Larache,Sidi Slama,Zouada,Zouada,CSR-2,Rural,83
Larache,Sidi Slama,Ksar Bjir,Ksar Bjir,CSR-1,Rural,84
Larache,Tatoft,Tatoft,Tatoft,CSR-2,Rural,86
Larache,Tatoft,Bou Jedyane,Bou-Jedyane,CSR-1,Rural,85
Larache,Tazroute,Tazroute,Tazroute,CSR-2,Rural,89
Larache,Tolba,Souk Tolba,Oulad Lharti,CSR-2,Rural,98
Ouezzane,Brikcha,Asjen,Asjen,CSR-1,Rural,175
Ouezzane,Brikcha,Brikcha,Brikcha,CSR-2,Rural,174
Ouezzane,Lamjaara,Ounnana,Ouled Bder,CSR-1,Rural,170
Ouezzane,Moqrissat,Ain Beida,Ain Beida,CSR-1,Rural,177
Ouezzane,Moqrissat,Moqrisset,Moqrissat,CSR-2,Rural,176
Ouezzane,Mzefroune,Masmouda,Masmouda,CSR-2,Rural,165
Ouezzane,Ouezzane,Ouezzane (Mun.),My Abdelleh Chrif,CSU-1,Urbain,163
Ouezzane,Ouezzane,Ouezzane (Mun.),My Thami,CSU-1,Urbain,163
