Province,Etablissement,Nombre,territoire_id
Al Hoceima,CRTS AlHoceima,1,7
Al Hoceima,Bni Bouayach,1,7
Al Hoceima,Imzouren    ,1,7
Al Hoceima,B. Gmil Mestassa,2,7
Al Hoceima,Bni Gmil Maksouline,2,7
Al Hoceima,Bni Boufrah,1,7
Al Hoceima,Arbaa Taourirt,1,7
Al Hoceima,Chakrane,1,7
Al Hoceima,Bni Hadifa,1,7
Al Hoceima,S.Abdelkader,1,7
Al Hoceima,Tamassint,1,7
Al Hoceima,Rouadi  ,1,7
Al Hoceima,Sidi Bouzineb,1,7
Al Hoceima,Ikaouen  ,1,7
Al Hoceima,Issaguen,1,7
Al Hoceima,Tlet Ketama,2,7
Al Hoceima,Tamsaout,3,7
Al Hoceima,Tabarrant,1,7
Al Hoceima,Mohamed V,2,7
Al Hoceima,Mohamed V,4,7
Al Hoceima,C. d'oncologie d'Al Hoceima,1,7
Al Hoceima,Targuist,1,7
Al Hoceima,Targuist,1,7
Al Hoceima,Imzouren,1,7
Chefchaouen,Bni Rzine,2,8
Chefchaouen,Bni Smih,1,8
Chefchaouen,Amtar       ,1,8
Chefchaouen,Jabha        ,3,8
Chefchaouen,Ouaouzgane,2,8
Chefchaouen,Steha  ,1,8
Chefchaouen,Bni Ahmed,1,8
Chefchaouen,Mohamed V,3,8
Fahs-Anjra,Nouinouich,1,5
Fahs-Anjra,Ksar Sghir,1,5
Fahs-Anjra,Malloussa,1,5
Fahs-Anjra,Khmiss Anjra,1,5
Fahs-Anjra,Hakkama,1,5
Fahs-Anjra,Ksar El Majaz,1,5
Fahs-Anjra,Taghramt,1,5
Fahs-Anjra,AL Amal,1,5
Larache,Tatoft,1,6
Larache,Rissana Chamalia,1,6
Larache,Lalla Meriem,2,6
Larache,Ksar El Kebir,3,6
Mdiq-Fnideq,Allyine,1,3
Mdiq-Fnideq,Belyounech,1,3
Mdiq-Fnideq,Mohammed VI,1,3
Mdiq-Fnideq,Mohammed VI,1,3
Mdiq-Fnideq,Hassan II,3,3
Ouezzane,Ain Dorrij,1,9
Ouezzane,Masmouda,1,9
Ouezzane,Sidi Ahmed Cherif,1,9
Ouezzane,Sidi Bousber,1,9
Ouezzane,Sidi Redouane,1,9
Ouezzane,Teroual,1,9
Ouezzane,Zghira,1,9
Ouezzane,Brikcha   ,1,9
Ouezzane,Asjen,1,9
Ouezzane,Bouqorra,1,9
Ouezzane,Moqrissat,1,9
Ouezzane,Zoumi,1,9
Ouezzane,Ouanana,1,9
Ouezzane,Abou Kacem Zahraoui,4,9
Tanger Assilah,El Menzla ( Barr. El Hachef),1,2
Tanger Assilah,Had Gharbia,1,2
Tanger Assilah,Zinate,1,2
Tanger Assilah,Sidi Lyamani,1,2
Tanger Assilah,Mohamed V,1,2
Tanger Assilah,Mohamed V,5,2
Tanger Assilah,Assilah,1,2
Tanger Assilah,Assilah,2,2
Tanger Assilah,Mohammed Vi,4,2
Tetouan,Oued Laou,2,4
Tetouan,Fondaq,1,4
Tetouan,Souk Kdim,1,4
Tetouan,Saddina,1,4
Tetouan,Azla    ,1,4
Tetouan,Beni Hassan,1,4
Tetouan,Khazzan Laou,1,4
Tetouan,Ichouchen,1,4
Tetouan,Bni Said (Chrouda),1,4
Tetouan,Tassift (Amsa),2,4
Tetouan,Hôpital.Civil,1,4
Tetouan,Hôpital.Civil,4,4
Tetouan,Errazi,1,4
Mdiq-Fnideq,Martil,2,3
