territoire_id,indicateur,valeur,indicateur_id
2,hab_par_essp_total,41431.0,410
3,hab_par_essp_total,28638.0,410
4,hab_par_essp_total,15420.0,410
5,hab_par_essp_total,12864.0,410
6,hab_par_essp_total,15036.0,410
7,hab_par_essp_total,6057.0,410
8,hab_par_essp_total,7727.0,410
9,hab_par_essp_total,6818.0,410
2,hab_par_essp_urbain,51369.0,411
3,hab_par_essp_urbain,34901.0,411
4,hab_par_essp_urbain,23336.0,411
6,hab_par_essp_urbain,27620.0,411
7,hab_par_essp_urbain,10700.0,411
8,hab_par_essp_urbain,15760.0,411
9,hab_par_essp_urbain,12476.0,411
2,hab_par_essp_rural,10515.0,412
3,hab_par_essp_rural,6716.0,412
4,hab_par_essp_rural,8259.0,412
5,hab_par_essp_rural,12389.0,412
6,hab_par_essp_rural,9793.0,412
7,hab_par_essp_rural,4800.0,412
8,hab_par_essp_rural,7071.0,412
9,hab_par_essp_rural,5819.0,412
2,hab_par_medecin_public_prive,774.0,413
3,hab_par_medecin_public_prive,2742.0,413
4,hab_par_medecin_public_prive,1566.0,413
5,hab_par_medecin_public_prive,8576.0,413
6,hab_par_medecin_public_prive,1951.0,413
7,hab_par_medecin_public_prive,2124.0,413
8,hab_par_medecin_public_prive,4222.0,413
9,hab_par_medecin_public_prive,3286.0,413
2,hab_par_medecin_public,1544.0,414
3,hab_par_medecin_public,3735.0,414
4,hab_par_medecin_public,5140.0,414
5,hab_par_medecin_public,10291.0,414
6,hab_par_medecin_public,3195.0,414
7,hab_par_medecin_public,2821.0,414
8,hab_par_medecin_public,6205.0,414
9,hab_par_medecin_public,6652.0,414
2,hab_par_medecin_ressp_total,18469.0,415
3,hab_par_medecin_ressp_total,14319.0,415
4,hab_par_medecin_ressp_total,13707.0,415
5,hab_par_medecin_ressp_total,11434.0,415
6,hab_par_medecin_ressp_total,15492.0,415
7,hab_par_medecin_ressp_total,15396.0,415
8,hab_par_medecin_ressp_total,17064.0,415
9,hab_par_medecin_ressp_total,27272.0,415
2,hab_par_medecin_ressp_urbain,19977.0,416
3,hab_par_medecin_ressp_urbain,15269.0,416
4,hab_par_medecin_ressp_urbain,15289.0,416
6,hab_par_medecin_ressp_urbain,17262.0,416
7,hab_par_medecin_ressp_urbain,9273.0,416
8,hab_par_medecin_ressp_urbain,7880.0,416
9,hab_par_medecin_ressp_urbain,74858.0,416
2,hab_par_medecin_ressp_rural,8604.0,417
3,hab_par_medecin_ressp_rural,6716.0,417
4,hab_par_medecin_ressp_rural,10839.0,417
5,hab_par_medecin_ressp_rural,11012.0,417
6,hab_par_medecin_ressp_rural,13826.0,417
7,hab_par_medecin_ressp_rural,25600.0,417
8,hab_par_medecin_ressp_rural,21656.0,417
9,hab_par_medecin_ressp_rural,21984.0,417
2,hab_par_infirmier_public,990.0,418
3,hab_par_infirmier_public,648.0,418
4,hab_par_infirmier_public,1047.0,418
5,hab_par_infirmier_public,1559.0,418
6,hab_par_infirmier_public,716.0,418
7,hab_par_infirmier_public,508.0,418
8,hab_par_infirmier_public,1072.0,418
9,hab_par_infirmier_public,1057.0,418
2,hab_par_infirmier_ressp_total,6083.0,419
3,hab_par_infirmier_ressp_total,3580.0,419
4,hab_par_infirmier_ressp_total,3115.0,419
5,hab_par_infirmier_ressp_total,1715.0,419
6,hab_par_infirmier_ressp_total,3117.0,419
