Province,Etablissement,Specialité,Nombre,territoire_id
Tanger Assilah,SAMU,Infirmier en soins d'urgence et soins intensifs,4,2
Tanger Assilah,SAMU,Infirmier en anesthésie-réanimation,2,2
Al Hoceima,CRTS AlHoceima,Technicien en Statistiques Sanitaires,1,7
Al Hoceima,CRTS AlHoceima,Technicien Préparateur en pharmacie,1,7
Al Hoceima,CRTS AlHoceima,Assistant social ,1,7
Al Hoceima,CRTS AlHoceima,Infirmier polyvalent,7,7
Al Hoceima,CRTS AlHoceima,Technicien en Radiologie,6,7
Tanger Assilah,CRTS Tanger,Technicien en Laboratoire,6,2
Tanger Assilah,CRTS Tanger,Infirmier polyvalent,14,2
Tanger Assilah,CRTS Tanger,Assistant Médical,1,2
Tetouan,CRTS Tétouan,Infirmier en santé mentale/Infirmier en psychiatrie,2,4
Tetouan,CRTS Tétouan,Technicien en Laboratoire,2,4
Tetouan,CRTS Tétouan,Infirmier polyvalent,3,4
Tetouan,CRTS Tétouan,Technicien en Radiologie,3,4
Al Hoceima,Bir Anzarane,Infirmier en santé mentale/Infirmier en psychiatrie,2,7
Al Hoceima,Bir Anzarane,Technicien en Santé de l'environnement,1,7
Al Hoceima,Bir Anzarane,Infirmier polyvalent,4,7
Al Hoceima,Bir Anzarane,Technicien en Radiologie,1,7
Al Hoceima,Bir Anzarane,Infirmier en santé de famille et santé communautaire,2,7
Al Hoceima,Al Harchi,Infirmier polyvalent,3,7
Al Hoceima,Abdellah Hamou,Infirmier polyvalent,5,7
Al Hoceima,Abdellah Hamou,Sage femme,1,7
Al Hoceima,Bni Bouayach,Infirmier polyvalent,4,7
Al Hoceima,Bni Bouayach,Infirmier en santé de famille et santé communautaire,1,7
Al Hoceima,Bni Bouayach-II,Infirmier polyvalent,3,7
Al Hoceima,Imzouren    ,Technicien en Santé de l'environnement,1,7
Al Hoceima,Imzouren    ,Infirmier polyvalent,8,7
Al Hoceima,Imzouren    ,Sage femme,1,7
Al Hoceima,Targuist    ,Infirmier polyvalent,5,7
Al Hoceima,Hommane El Fatouaki,Infirmier polyvalent,3,7
Al Hoceima,Ajdir (Azghar),Infirmier polyvalent,2,7
Al Hoceima,Ajdir (Azghar),Sage femme,2,7
Al Hoceima,B. Gmil Mestassa,Infirmier polyvalent,2,7
Al Hoceima,B. Gmil Mestassa,Sage femme,3,7
Al Hoceima,Ibarranen,Infirmier polyvalent,2,7
Al Hoceima,Bni Gmil Maksouline,Infirmier polyvalent,3,7
Al Hoceima,Bni Gmil Maksouline,Sage femme,2,7
Al Hoceima,El  Hamri Omar,Infirmier polyvalent,1,7
Al Hoceima,Bni Boufrah,Infirmier polyvalent,6,7
Al Hoceima,Bni Boufrah,Sage femme,3,7
Al Hoceima,Agni,Infirmier polyvalent,1,7
Al Hoceima,Senada  ,Infirmier polyvalent,2,7
Al Hoceima,Toufist,Infirmier polyvalent,1,7
Al Hoceima,Ait youssef ou Ali(S.Bouafif),Infirmier polyvalent,2,7
Al Hoceima,Azaghar (A. Youssef Ouali),Infirmier polyvalent,1,7
Al Hoceima,Louta,Infirmier polyvalent,3,7
Al Hoceima,Arbaa Taourirt,Infirmier polyvalent,2,7
Al Hoceima,Arbaa Taourirt,Sage femme,5,7
Al Hoceima,Arbaa Taourirt,Infirmier en santé de famille et santé communautaire,1,7
Al Hoceima,Ouaadia,Infirmier polyvalent,1,7
