province_prefecture,indicateur,valeur,fk_territoire,theme,fichier_source,territoire_id
Tanger - Tétouan - Al Hoceima,Urbain,692578,tanger tetouan al hoceima,sante,cleaned_sante_16__Consultations_curatives__réalisées_dans_les_formations_de_soins_de_santé_de_base_par_milieu_et_par_province__ou_préfecture_.csv,1
Al Hoceima,Urbain,56511,al hoceima,sante,cleaned_sante_16__Consultations_curatives__réalisées_dans_les_formations_de_soins_de_santé_de_base_par_milieu_et_par_province__ou_préfecture_.csv,7
Chefchaouen,Urbain,43327,chefchaouen,sante,cleaned_sante_16__Consultations_curatives__réalisées_dans_les_formations_de_soins_de_santé_de_base_par_milieu_et_par_province__ou_préfecture_.csv,8
Fahs-Anjra,Urbain,0,fahs anjra,sante,cleaned_sante_16__Consultations_curatives__réalisées_dans_les_formations_de_soins_de_santé_de_base_par_milieu_et_par_province__ou_préfecture_.csv,5
Larache,Urbain,73812,larache,sante,cleaned_sante_16__Consultations_curatives__réalisées_dans_les_formations_de_soins_de_santé_de_base_par_milieu_et_par_province__ou_préfecture_.csv,6
Ouezzane,Urbain,30262,ouezzane,sante,cleaned_sante_16__Consultations_curatives__réalisées_dans_les_formations_de_soins_de_santé_de_base_par_milieu_et_par_province__ou_préfecture_.csv,9
Tanger-Assilah,Urbain,258672,tanger assilah,sante,cleaned_sante_16__Consultations_curatives__réalisées_dans_les_formations_de_soins_de_santé_de_base_par_milieu_et_par_province__ou_préfecture_.csv,2
Tétouan,Urbain,154619,tetouan,sante,cleaned_sante_16__Consultations_curatives__réalisées_dans_les_formations_de_soins_de_santé_de_base_par_milieu_et_par_province__ou_préfecture_.csv,4
M'Diq-Fnideq,Urbain,75375,m'diq fnideq,sante,cleaned_sante_16__Consultations_curatives__réalisées_dans_les_formations_de_soins_de_santé_de_base_par_milieu_et_par_province__ou_préfecture_.csv,3
Tanger - Tétouan - Al Hoceima,Rural,390378,tanger tetouan al hoceima,sante,cleaned_sante_16__Consultations_curatives__réalisées_dans_les_formations_de_soins_de_santé_de_base_par_milieu_et_par_province__ou_préfecture_.csv,1
Al Hoceima,Rural,34042,al hoceima,sante,cleaned_sante_16__Consultations_curatives__réalisées_dans_les_formations_de_soins_de_santé_de_base_par_milieu_et_par_province__ou_préfecture_.csv,7
Chefchaouen,Rural,73909,chefchaouen,sante,cleaned_sante_16__Consultations_curatives__réalisées_dans_les_formations_de_soins_de_santé_de_base_par_milieu_et_par_province__ou_préfecture_.csv,8
Fahs-Anjra,Rural,40946,fahs anjra,sante,cleaned_sante_16__Consultations_curatives__réalisées_dans_les_formations_de_soins_de_santé_de_base_par_milieu_et_par_province__ou_préfecture_.csv,5
Larache,Rural,57496,larache,sante,cleaned_sante_16__Consultations_curatives__réalisées_dans_les_formations_de_soins_de_santé_de_base_par_milieu_et_par_province__ou_préfecture_.csv,6
Ouezzane,Rural,74845,ouezzane,sante,cleaned_sante_16__Consultations_curatives__réalisées_dans_les_formations_de_soins_de_santé_de_base_par_milieu_et_par_province__ou_préfecture_.csv,9
Tanger-Assilah,Rural,24889,tanger assilah,sante,cleaned_sante_16__Consultations_curatives__réalisées_dans_les_formations_de_soins_de_santé_de_base_par_milieu_et_par_province__ou_préfecture_.csv,2
Tétouan,Rural,76677,tetouan,sante,cleaned_sante_16__Consultations_curatives__réalisées_dans_les_formations_de_soins_de_santé_de_base_par_milieu_et_par_province__ou_préfecture_.csv,4
M'Diq-Fnideq,Rural,7574,m'diq fnideq,sante,cleaned_sante_16__Consultations_curatives__réalisées_dans_les_formations_de_soins_de_santé_de_base_par_milieu_et_par_province__ou_préfecture_.csv,3
Tanger - Tétouan - Al Hoceima,Ensemble,1082956,tanger tetouan al hoceima,sante,cleaned_sante_16__Consultations_curatives__réalisées_dans_les_formations_de_soins_de_santé_de_base_par_milieu_et_par_province__ou_préfecture_.csv,1
Al Hoceima,Ensemble,90553,al hoceima,sante,cleaned_sante_16__Consultations_curatives__réalisées_dans_les_formations_de_soins_de_santé_de_base_par_milieu_et_par_province__ou_préfecture_.csv,7
Chefchaouen,Ensemble,117236,chefchaouen,sante,cleaned_sante_16__Consultations_curatives__réalisées_dans_les_formations_de_soins_de_santé_de_base_par_milieu_et_par_province__ou_préfecture_.csv,8
Fahs-Anjra,Ensemble,40946,fahs anjra,sante,cleaned_sante_16__Consultations_curatives__réalisées_dans_les_formations_de_soins_de_santé_de_base_par_milieu_et_par_province__ou_préfecture_.csv,5
Larache,Ensemble,131308,larache,sante,cleaned_sante_16__Consultations_curatives__réalisées_dans_les_formations_de_soins_de_santé_de_base_par_milieu_et_par_province__ou_préfecture_.csv,6
Ouezzane,Ensemble,105107,ouezzane,sante,cleaned_sante_16__Consultations_curatives__réalisées_dans_les_formations_de_soins_de_santé_de_base_par_milieu_et_par_province__ou_préfecture_.csv,9
Tanger-Assilah,Ensemble,283561,tanger assilah,sante,cleaned_sante_16__Consultations_curatives__réalisées_dans_les_formations_de_soins_de_santé_de_base_par_milieu_et_par_province__ou_préfecture_.csv,2
Tétouan,Ensemble,231296,tetouan,sante,cleaned_sante_16__Consultations_curatives__réalisées_dans_les_formations_de_soins_de_santé_de_base_par_milieu_et_par_province__ou_préfecture_.csv,4
M'Diq-Fnideq,Ensemble,82949,m'diq fnideq,sante,cleaned_sante_16__Consultations_curatives__réalisées_dans_les_formations_de_soins_de_santé_de_base_par_milieu_et_par_province__ou_préfecture_.csv,3
