province_prefecture,indicateur,valeur,fk_territoire,theme,fichier_source,territoire_id
Tanger - Tétouan - Al Hoceima,Injections,4080,tanger tetouan al hoceima,sante,cleaned_sante_20__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_provine__ou_préfecture__Anciennes_acceptantes.csv,1
Al Hoceima,Injections,313,al hoceima,sante,cleaned_sante_20__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_provine__ou_préfecture__Anciennes_acceptantes.csv,7
Chefchaouen,Injections,562,chefchaouen,sante,cleaned_sante_20__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_provine__ou_préfecture__Anciennes_acceptantes.csv,8
Fahs-Anjra,Injections,123,fahs anjra,sante,cleaned_sante_20__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_provine__ou_préfecture__Anciennes_acceptantes.csv,5
Larache,Injections,718,larache,sante,cleaned_sante_20__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_provine__ou_préfecture__Anciennes_acceptantes.csv,6
Ouezzane,Injections,658,ouezzane,sante,cleaned_sante_20__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_provine__ou_préfecture__Anciennes_acceptantes.csv,9
Tanger Assilah,Injections,810,tanger assilah,sante,cleaned_sante_20__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_provine__ou_préfecture__Anciennes_acceptantes.csv,2
Tetouan,Injections,428,tetouan,sante,cleaned_sante_20__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_provine__ou_préfecture__Anciennes_acceptantes.csv,4
Mdiq-Fnideq,Injections,468,m'diq fnideq,sante,cleaned_sante_20__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_provine__ou_préfecture__Anciennes_acceptantes.csv,3
Tanger - Tétouan - Al Hoceima,DIU,452,tanger tetouan al hoceima,sante,cleaned_sante_20__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_provine__ou_préfecture__Anciennes_acceptantes.csv,1
Al Hoceima,DIU,38,al hoceima,sante,cleaned_sante_20__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_provine__ou_préfecture__Anciennes_acceptantes.csv,7
Chefchaouen,DIU,46,chefchaouen,sante,cleaned_sante_20__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_provine__ou_préfecture__Anciennes_acceptantes.csv,8
Fahs-Anjra,DIU,7,fahs anjra,sante,cleaned_sante_20__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_provine__ou_préfecture__Anciennes_acceptantes.csv,5
Larache,DIU,33,larache,sante,cleaned_sante_20__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_provine__ou_préfecture__Anciennes_acceptantes.csv,6
Ouezzane,DIU,119,ouezzane,sante,cleaned_sante_20__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_provine__ou_préfecture__Anciennes_acceptantes.csv,9
Tanger Assilah,DIU,73,tanger assilah,sante,cleaned_sante_20__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_provine__ou_préfecture__Anciennes_acceptantes.csv,2
Tetouan,DIU,109,tetouan,sante,cleaned_sante_20__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_provine__ou_préfecture__Anciennes_acceptantes.csv,4
Mdiq-Fnideq,DIU,27,m'diq fnideq,sante,cleaned_sante_20__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_provine__ou_préfecture__Anciennes_acceptantes.csv,3
Tanger - Tétouan - Al Hoceima,Condom,29301,tanger tetouan al hoceima,sante,cleaned_sante_20__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_provine__ou_préfecture__Anciennes_acceptantes.csv,1
Al Hoceima,Condom,3980,al hoceima,sante,cleaned_sante_20__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_provine__ou_préfecture__Anciennes_acceptantes.csv,7
Chefchaouen,Condom,2367,chefchaouen,sante,cleaned_sante_20__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_provine__ou_préfecture__Anciennes_acceptantes.csv,8
Fahs-Anjra,Condom,1157,fahs anjra,sante,cleaned_sante_20__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_provine__ou_préfecture__Anciennes_acceptantes.csv,5
Larache,Condom,2960,larache,sante,cleaned_sante_20__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_provine__ou_préfecture__Anciennes_acceptantes.csv,6
Ouezzane,Condom,3086,ouezzane,sante,cleaned_sante_20__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_provine__ou_préfecture__Anciennes_acceptantes.csv,9
Tanger Assilah,Condom,6703,tanger assilah,sante,cleaned_sante_20__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_provine__ou_préfecture__Anciennes_acceptantes.csv,2
Tetouan,Condom,6116,tetouan,sante,cleaned_sante_20__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_provine__ou_préfecture__Anciennes_acceptantes.csv,4
Mdiq-Fnideq,Condom,2932,m'diq fnideq,sante,cleaned_sante_20__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_provine__ou_préfecture__Anciennes_acceptantes.csv,3
Tanger - Tétouan - Al Hoceima,Pilules,133792,tanger tetouan al hoceima,sante,cleaned_sante_20__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_provine__ou_préfecture__Anciennes_acceptantes.csv,1
Al Hoceima,Pilules,16239,al hoceima,sante,cleaned_sante_20__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_provine__ou_préfecture__Anciennes_acceptantes.csv,7
Chefchaouen,Pilules,13321,chefchaouen,sante,cleaned_sante_20__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_provine__ou_préfecture__Anciennes_acceptantes.csv,8
Fahs-Anjra,Pilules,2314,fahs anjra,sante,cleaned_sante_20__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_provine__ou_préfecture__Anciennes_acceptantes.csv,5
Larache,Pilules,29163,larache,sante,cleaned_sante_20__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_provine__ou_préfecture__Anciennes_acceptantes.csv,6
Ouezzane,Pilules,24193,ouezzane,sante,cleaned_sante_20__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_provine__ou_préfecture__Anciennes_acceptantes.csv,9
Tanger Assilah,Pilules,26417,tanger assilah,sante,cleaned_sante_20__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_provine__ou_préfecture__Anciennes_acceptantes.csv,2
Tetouan,Pilules,14377,tetouan,sante,cleaned_sante_20__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_provine__ou_préfecture__Anciennes_acceptantes.csv,4
Mdiq-Fnideq,Pilules,7768,m'diq fnideq,sante,cleaned_sante_20__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_provine__ou_préfecture__Anciennes_acceptantes.csv,3
Tanger - Tétouan - Al Hoceima,Autre,8,tanger tetouan al hoceima,sante,cleaned_sante_20__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_provine__ou_préfecture__Anciennes_acceptantes.csv,1
Al Hoceima,Autre,0,al hoceima,sante,cleaned_sante_20__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_provine__ou_préfecture__Anciennes_acceptantes.csv,7
Chefchaouen,Autre,6,chefchaouen,sante,cleaned_sante_20__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_provine__ou_préfecture__Anciennes_acceptantes.csv,8
Fahs-Anjra,Autre,0,fahs anjra,sante,cleaned_sante_20__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_provine__ou_préfecture__Anciennes_acceptantes.csv,5
Larache,Autre,1,larache,sante,cleaned_sante_20__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_provine__ou_préfecture__Anciennes_acceptantes.csv,6
Ouezzane,Autre,0,ouezzane,sante,cleaned_sante_20__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_provine__ou_préfecture__Anciennes_acceptantes.csv,9
Tanger Assilah,Autre,1,tanger assilah,sante,cleaned_sante_20__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_provine__ou_préfecture__Anciennes_acceptantes.csv,2
Tetouan,Autre,0,tetouan,sante,cleaned_sante_20__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_provine__ou_préfecture__Anciennes_acceptantes.csv,4
Mdiq-Fnideq,Autre,0,m'diq fnideq,sante,cleaned_sante_20__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_provine__ou_préfecture__Anciennes_acceptantes.csv,3
Tanger - Tétouan - Al Hoceima,Total,167633,tanger tetouan al hoceima,sante,cleaned_sante_20__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_provine__ou_préfecture__Anciennes_acceptantes.csv,1
Al Hoceima,Total,20570,al hoceima,sante,cleaned_sante_20__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_provine__ou_préfecture__Anciennes_acceptantes.csv,7
Chefchaouen,Total,16302,chefchaouen,sante,cleaned_sante_20__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_provine__ou_préfecture__Anciennes_acceptantes.csv,8
Fahs-Anjra,Total,3601,fahs anjra,sante,cleaned_sante_20__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_provine__ou_préfecture__Anciennes_acceptantes.csv,5
Larache,Total,32875,larache,sante,cleaned_sante_20__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_provine__ou_préfecture__Anciennes_acceptantes.csv,6
Ouezzane,Total,28056,ouezzane,sante,cleaned_sante_20__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_provine__ou_préfecture__Anciennes_acceptantes.csv,9
Tanger Assilah,Total,34004,tanger assilah,sante,cleaned_sante_20__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_provine__ou_préfecture__Anciennes_acceptantes.csv,2
Tetouan,Total,21030,tetouan,sante,cleaned_sante_20__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_provine__ou_préfecture__Anciennes_acceptantes.csv,4
Mdiq-Fnideq,Total,11195,m'diq fnideq,sante,cleaned_sante_20__Nombre_de_femmes_bénéficiaires_des_prestations_de_la_planification_familiale_par_provine__ou_préfecture__Anciennes_acceptantes.csv,3
