province_prefecture,indicateur,valeur,fk_territoire,theme,fichier_source,territoire_id
Tanger - Tétouan - Al Hoceima,Total de consultations,310299,tanger tetouan al hoceima,sante,cleaned_sante_25__Consultations_médicales_spécialisées__réalisées_dans_les_hôpitaux_publics_par_province__ou_préfecture_.csv,1
Al Hoceima,Total de consultations,38806,al hoceima,sante,cleaned_sante_25__Consultations_médicales_spécialisées__réalisées_dans_les_hôpitaux_publics_par_province__ou_préfecture_.csv,7
Chefchaouen,Total de consultations,25409,chefchaouen,sante,cleaned_sante_25__Consultations_médicales_spécialisées__réalisées_dans_les_hôpitaux_publics_par_province__ou_préfecture_.csv,8
Larache,Total de consultations,23023,larache,sante,cleaned_sante_25__Consultations_médicales_spécialisées__réalisées_dans_les_hôpitaux_publics_par_province__ou_préfecture_.csv,6
Ouezzane,Total de consultations,29993,ouezzane,sante,cleaned_sante_25__Consultations_médicales_spécialisées__réalisées_dans_les_hôpitaux_publics_par_province__ou_préfecture_.csv,9
Tanger-Assilah,Total de consultations,133168,tanger assilah,sante,cleaned_sante_25__Consultations_médicales_spécialisées__réalisées_dans_les_hôpitaux_publics_par_province__ou_préfecture_.csv,2
Tétouan,Total de consultations,40023,tetouan,sante,cleaned_sante_25__Consultations_médicales_spécialisées__réalisées_dans_les_hôpitaux_publics_par_province__ou_préfecture_.csv,4
M'Diq-Fnideq,Total de consultations,19877,m'diq fnideq,sante,cleaned_sante_25__Consultations_médicales_spécialisées__réalisées_dans_les_hôpitaux_publics_par_province__ou_préfecture_.csv,3
Tanger - Tétouan - Al Hoceima,Total de médecins,1042,tanger tetouan al hoceima,sante,cleaned_sante_25__Consultations_médicales_spécialisées__réalisées_dans_les_hôpitaux_publics_par_province__ou_préfecture_.csv,1
Al Hoceima,Total de médecins,69,al hoceima,sante,cleaned_sante_25__Consultations_médicales_spécialisées__réalisées_dans_les_hôpitaux_publics_par_province__ou_préfecture_.csv,7
Chefchaouen,Total de médecins,34,chefchaouen,sante,cleaned_sante_25__Consultations_médicales_spécialisées__réalisées_dans_les_hôpitaux_publics_par_province__ou_préfecture_.csv,8
Larache,Total de médecins,38,larache,sante,cleaned_sante_25__Consultations_médicales_spécialisées__réalisées_dans_les_hôpitaux_publics_par_province__ou_préfecture_.csv,6
Ouezzane,Total de médecins,28,ouezzane,sante,cleaned_sante_25__Consultations_médicales_spécialisées__réalisées_dans_les_hôpitaux_publics_par_province__ou_préfecture_.csv,9
Tanger-Assilah,Total de médecins,802,tanger assilah,sante,cleaned_sante_25__Consultations_médicales_spécialisées__réalisées_dans_les_hôpitaux_publics_par_province__ou_préfecture_.csv,2
Tétouan,Total de médecins,48,tetouan,sante,cleaned_sante_25__Consultations_médicales_spécialisées__réalisées_dans_les_hôpitaux_publics_par_province__ou_préfecture_.csv,4
M'Diq-Fnideq,Total de médecins,23,m'diq fnideq,sante,cleaned_sante_25__Consultations_médicales_spécialisées__réalisées_dans_les_hôpitaux_publics_par_province__ou_préfecture_.csv,3
Tanger - Tétouan - Al Hoceima,Nombre d'établissements,22,tanger tetouan al hoceima,sante,cleaned_sante_25__Consultations_médicales_spécialisées__réalisées_dans_les_hôpitaux_publics_par_province__ou_préfecture_.csv,1
Al Hoceima,Nombre d'établissements,4,al hoceima,sante,cleaned_sante_25__Consultations_médicales_spécialisées__réalisées_dans_les_hôpitaux_publics_par_province__ou_préfecture_.csv,7
Chefchaouen,Nombre d'établissements,1,chefchaouen,sante,cleaned_sante_25__Consultations_médicales_spécialisées__réalisées_dans_les_hôpitaux_publics_par_province__ou_préfecture_.csv,8
Larache,Nombre d'établissements,2,larache,sante,cleaned_sante_25__Consultations_médicales_spécialisées__réalisées_dans_les_hôpitaux_publics_par_province__ou_préfecture_.csv,6
Ouezzane,Nombre d'établissements,1,ouezzane,sante,cleaned_sante_25__Consultations_médicales_spécialisées__réalisées_dans_les_hôpitaux_publics_par_province__ou_préfecture_.csv,9
Tanger-Assilah,Nombre d'établissements,10,tanger assilah,sante,cleaned_sante_25__Consultations_médicales_spécialisées__réalisées_dans_les_hôpitaux_publics_par_province__ou_préfecture_.csv,2
Tétouan,Nombre d'établissements,2,tetouan,sante,cleaned_sante_25__Consultations_médicales_spécialisées__réalisées_dans_les_hôpitaux_publics_par_province__ou_préfecture_.csv,4
M'Diq-Fnideq,Nombre d'établissements,2,m'diq fnideq,sante,cleaned_sante_25__Consultations_médicales_spécialisées__réalisées_dans_les_hôpitaux_publics_par_province__ou_préfecture_.csv,3
