province_prefecture,indicateur,valeur,fk_territoire,theme,fichier_source,territoire_id
Tanger - Tétouan - Al Hoceima,Méningite,264,tanger tetouan al hoceima,sante,cleaned_sante_27__Maladies_sous_surveillance_dans_les_formations_sanitaires_publiques_par_province__ou_préfecture_.csv,1
Al Hoceima,Méningite,12,al hoceima,sante,cleaned_sante_27__Maladies_sous_surveillance_dans_les_formations_sanitaires_publiques_par_province__ou_préfecture_.csv,7
Chefchaouen,Méningite,21,chefchaouen,sante,cleaned_sante_27__Maladies_sous_surveillance_dans_les_formations_sanitaires_publiques_par_province__ou_préfecture_.csv,8
Fahs-Anjra,Méningite,2,fahs anjra,sante,cleaned_sante_27__Maladies_sous_surveillance_dans_les_formations_sanitaires_publiques_par_province__ou_préfecture_.csv,5
Larache,Méningite,15,larache,sante,cleaned_sante_27__Maladies_sous_surveillance_dans_les_formations_sanitaires_publiques_par_province__ou_préfecture_.csv,6
Ouezzane,Méningite,11,ouezzane,sante,cleaned_sante_27__Maladies_sous_surveillance_dans_les_formations_sanitaires_publiques_par_province__ou_préfecture_.csv,9
Tanger-Assilah,Méningite,173,tanger assilah,sante,cleaned_sante_27__Maladies_sous_surveillance_dans_les_formations_sanitaires_publiques_par_province__ou_préfecture_.csv,2
Tétouan,Méningite,22,tetouan,sante,cleaned_sante_27__Maladies_sous_surveillance_dans_les_formations_sanitaires_publiques_par_province__ou_préfecture_.csv,4
M'Diq-Fnideq,Méningite,8,m'diq fnideq,sante,cleaned_sante_27__Maladies_sous_surveillance_dans_les_formations_sanitaires_publiques_par_province__ou_préfecture_.csv,3
Tanger - Tétouan - Al Hoceima,Leishmaniose cutanée,92,tanger tetouan al hoceima,sante,cleaned_sante_27__Maladies_sous_surveillance_dans_les_formations_sanitaires_publiques_par_province__ou_préfecture_.csv,1
Al Hoceima,Leishmaniose cutanée,8,al hoceima,sante,cleaned_sante_27__Maladies_sous_surveillance_dans_les_formations_sanitaires_publiques_par_province__ou_préfecture_.csv,7
Chefchaouen,Leishmaniose cutanée,13,chefchaouen,sante,cleaned_sante_27__Maladies_sous_surveillance_dans_les_formations_sanitaires_publiques_par_province__ou_préfecture_.csv,8
Fahs-Anjra,Leishmaniose cutanée,0,fahs anjra,sante,cleaned_sante_27__Maladies_sous_surveillance_dans_les_formations_sanitaires_publiques_par_province__ou_préfecture_.csv,5
Larache,Leishmaniose cutanée,12,larache,sante,cleaned_sante_27__Maladies_sous_surveillance_dans_les_formations_sanitaires_publiques_par_province__ou_préfecture_.csv,6
Ouezzane,Leishmaniose cutanée,40,ouezzane,sante,cleaned_sante_27__Maladies_sous_surveillance_dans_les_formations_sanitaires_publiques_par_province__ou_préfecture_.csv,9
Tanger-Assilah,Leishmaniose cutanée,0,tanger assilah,sante,cleaned_sante_27__Maladies_sous_surveillance_dans_les_formations_sanitaires_publiques_par_province__ou_préfecture_.csv,2
Tétouan,Leishmaniose cutanée,19,tetouan,sante,cleaned_sante_27__Maladies_sous_surveillance_dans_les_formations_sanitaires_publiques_par_province__ou_préfecture_.csv,4
M'Diq-Fnideq,Leishmaniose cutanée,0,m'diq fnideq,sante,cleaned_sante_27__Maladies_sous_surveillance_dans_les_formations_sanitaires_publiques_par_province__ou_préfecture_.csv,3
Tanger - Tétouan - Al Hoceima,Toxi-infection collective,151,tanger tetouan al hoceima,sante,cleaned_sante_27__Maladies_sous_surveillance_dans_les_formations_sanitaires_publiques_par_province__ou_préfecture_.csv,1
