territoire_brut,fk_territoire,theme,indicateur,valeur,fichier_source,territoire_id
Tanger -Tétouan- Al Hoceima,tanger tetouan al hoceima,sante,Femmes de 15 à 49 ans - Urbain,697548,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,1.0
Tanger -Tétouan- Al Hoceima,tanger tetouan al hoceima,sante,Femmes de 15 à 49 ans - Rural,326167,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,1.0
Tanger -Tétouan- Al Hoceima,tanger tetouan al hoceima,sante,Femmes de 15 à 49 ans - Ensemble,1023715,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,1.0
Tanger -Tétouan- Al Hoceima,tanger tetouan al hoceima,sante,Femmes mariées de 15 à 49 ans - Urbain,385407,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,1.0
Tanger -Tétouan- Al Hoceima,tanger tetouan al hoceima,sante,Femmes mariées de 15 à 49 ans - Rural,176550,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,1.0
Tanger -Tétouan- Al Hoceima,tanger tetouan al hoceima,sante,Femmes mariées de 15 à 49 ans - Ensemble,561957,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,1.0
Tanger -Tétouan- Al Hoceima,tanger tetouan al hoceima,sante,Femmes de 30 à 49 ans - Urbain,379014,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,1.0
Tanger -Tétouan- Al Hoceima,tanger tetouan al hoceima,sante,Femmes de 30 à 49 ans - Rural,147151,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,1.0
Tanger -Tétouan- Al Hoceima,tanger tetouan al hoceima,sante,Femmes de 30 à 49 ans - Ensemble,526165,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,1.0
Tanger -Tétouan- Al Hoceima,tanger tetouan al hoceima,sante,Femmes de 40 à 69 ans - Urbain,355887,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,1.0
Tanger -Tétouan- Al Hoceima,tanger tetouan al hoceima,sante,Femmes de 40 à 69 ans - Rural,163956,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,1.0
Tanger -Tétouan- Al Hoceima,tanger tetouan al hoceima,sante,Femmes de 40 à 69 ans - Ensemble,519843,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,1.0
Al Hoceima,al hoceima,sante,Femmes de 15 à 49 ans - Urbain,42448,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,7.0
Al Hoceima,al hoceima,sante,Femmes de 15 à 49 ans - Rural,61135,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,7.0
Al Hoceima,al hoceima,sante,Femmes de 15 à 49 ans - Ensemble,103583,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,7.0
Al Hoceima,al hoceima,sante,Femmes mariées de 15 à 49 ans - Urbain,21149,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,7.0
Al Hoceima,al hoceima,sante,Femmes mariées de 15 à 49 ans - Rural,28130,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,7.0
Al Hoceima,al hoceima,sante,Femmes mariées de 15 à 49 ans - Ensemble,49279,sante_2__Répartition_des_populations_féminines_cibles_des_Programmes_de_santé_par_région__par_provincepréfecture_et_par_milieu_.xlsx,7.0
