distributeur,fk_territoire,indicateur,valeur,theme,territoire_id,indicateur_id
Amendis Tanger,tanger assilah,electricite_ventes_distributeur_2024,1860.553145,electricite_ventes_distributeur,2,324
Amendis Tanger,tanger assilah,electricite_ventes_distributeur_2023,1855.0,electricite_ventes_distributeur,2,323
Amendis Tanger,tanger assilah,electricite_ventes_distributeur_2022,1801.0,electricite_ventes_distributeur,2,322
Amendis Tétouan,tetouan,electricite_ventes_distributeur_2024,689.393489,electricite_ventes_distributeur,4,324
Amendis Tétouan,tetouan,electricite_ventes_distributeur_2023,661.0,electricite_ventes_distributeur,4,323
Amendis Tétouan,tetouan,electricite_ventes_distributeur_2022,647.0,electricite_ventes_distributeur,4,322
Radeel Larache,larache,electricite_ventes_distributeur_2024,363.457435,electricite_ventes_distributeur,6,324
Radeel Larache,larache,electricite_ventes_distributeur_2023,354.0,electricite_ventes_distributeur,6,323
Radeel Larache,larache,electricite_ventes_distributeur_2022,351.0,electricite_ventes_distributeur,6,322
Tanger Med Utilities,tanger assilah,electricite_ventes_distributeur_2024,420.124648,electricite_ventes_distributeur,2,324
Tanger Med Utilities,tanger assilah,electricite_ventes_distributeur_2023,400.0,electricite_ventes_distributeur,2,323
Tanger Med Utilities,tanger assilah,electricite_ventes_distributeur_2022,383.0,electricite_ventes_distributeur,2,322
