province_prefecture,fk_territoire,indicateur,valeur,territoire_id,indicateur_id
Tanger - Tétouan - Al Hoceima,tanger tetouan al hoceima,electricite_ventes_provinces_2024,4057,1,327
Tanger - Tétouan - Al Hoceima,tanger tetouan al hoceima,electricite_ventes_provinces_2023,4027,1,326
Tanger - Tétouan - Al Hoceima,tanger tetouan al hoceima,electricite_ventes_provinces_2022,4005,1,325
Al Hoceima,al hoceima,electricite_ventes_provinces_2024,221,7,327
Al Hoceima,al hoceima,electricite_ventes_provinces_2023,215,7,326
Al Hoceima,al hoceima,electricite_ventes_provinces_2022,207,7,325
Chefchaouen,chefchaouen,electricite_ventes_provinces_2024,115,8,327
Chefchaouen,chefchaouen,electricite_ventes_provinces_2023,104,8,326
Chefchaouen,chefchaouen,electricite_ventes_provinces_2022,99,8,325
Fahs-Anjra,fahs anjra,electricite_ventes_provinces_2024,342,5,327
Fahs-Anjra,fahs anjra,electricite_ventes_provinces_2023,340,5,326
Fahs-Anjra,fahs anjra,electricite_ventes_provinces_2022,317,5,325
Larache,larache,electricite_ventes_provinces_2024,450,6,327
Larache,larache,electricite_ventes_provinces_2023,448,6,326
Larache,larache,electricite_ventes_provinces_2022,449,6,325
Ouezzane,ouezzane,electricite_ventes_provinces_2024,91,9,327
Ouezzane,ouezzane,electricite_ventes_provinces_2023,92,9,326
Ouezzane,ouezzane,electricite_ventes_provinces_2022,90,9,325
Tanger-Assilah,tanger assilah,electricite_ventes_provinces_2024,1914,2,327
Tanger-Assilah,tanger assilah,electricite_ventes_provinces_2023,1953,2,326
Tanger-Assilah,tanger assilah,electricite_ventes_provinces_2022,1976,2,325
Tétouan,tetouan,electricite_ventes_provinces_2024,779,4,327
Tétouan,tetouan,electricite_ventes_provinces_2023,732,4,326
Tétouan,tetouan,electricite_ventes_provinces_2022,724,4,325
M'Diq-Fnideq,m'diq fnideq,electricite_ventes_provinces_2024,144,3,327
M'Diq-Fnideq,m'diq fnideq,electricite_ventes_provinces_2023,142,3,326
M'Diq-Fnideq,m'diq fnideq,electricite_ventes_provinces_2022,142,3,325
