theme,indicateur,milieu,zone,sexe,valeur,fk_territoire,territoire_id,indicateur_id
capital_humain,Population de 7-12 ans,Urbain,Région TTA,Masculin,150264.0,tanger tetouan al hoceima,1.0,333
capital_humain,Population de 7-12 ans,Urbain,Région TTA,Féminin,141088.0,tanger tetouan al hoceima,1.0,333
capital_humain,Population de 7-12 ans,Urbain,Région TTA,Ensemble,291352.0,tanger tetouan al hoceima,1.0,333
capital_humain,Population de 7-12 ans,Rural,Région TTA,Masculin,89176.0,tanger tetouan al hoceima,1.0,333
capital_humain,Population de 7-12 ans,Rural,Région TTA,Féminin,83461.0,tanger tetouan al hoceima,1.0,333
capital_humain,Population de 7-12 ans,Rural,Région TTA,Ensemble,172637.0,tanger tetouan al hoceima,1.0,333
capital_humain,Population de 7-12 ans,Ensemble,Région TTA,Masculin,239440.0,tanger tetouan al hoceima,1.0,333
capital_humain,Population de 7-12 ans,Ensemble,Région TTA,Féminin,224549.0,tanger tetouan al hoceima,1.0,333
capital_humain,Population de 7-12 ans,Ensemble,Région TTA,Ensemble,463989.0,tanger tetouan al hoceima,1.0,333
capital_humain,Taux de scolarisation des 4- 5 ans en 2023/2024 (%),Urbain,Région TTA,Masculin,55.9,tanger tetouan al hoceima,1.0,338
capital_humain,Taux de scolarisation des 4- 5 ans en 2023/2024 (%),Urbain,Région TTA,Féminin,57.0,tanger tetouan al hoceima,1.0,338
capital_humain,Taux de scolarisation des 4- 5 ans en 2023/2024 (%),Urbain,Région TTA,Ensemble,56.4,tanger tetouan al hoceima,1.0,338
capital_humain,Taux de scolarisation des 4- 5 ans en 2023/2024 (%),Rural,Région TTA,Masculin,52.2,tanger tetouan al hoceima,1.0,338
capital_humain,Taux de scolarisation des 4- 5 ans en 2023/2024 (%),Rural,Région TTA,Féminin,53.3,tanger tetouan al hoceima,1.0,338
capital_humain,Taux de scolarisation des 4- 5 ans en 2023/2024 (%),Rural,Région TTA,Ensemble,52.8,tanger tetouan al hoceima,1.0,338
capital_humain,Taux de scolarisation des 4- 5 ans en 2023/2024 (%),Ensemble,Région TTA,Masculin,54.6,tanger tetouan al hoceima,1.0,338
capital_humain,Taux de scolarisation des 4- 5 ans en 2023/2024 (%),Ensemble,Région TTA,Féminin,55.6,tanger tetouan al hoceima,1.0,338
capital_humain,Taux de scolarisation des 4- 5 ans en 2023/2024 (%),Ensemble,Région TTA,Ensemble,55.1,tanger tetouan al hoceima,1.0,338
capital_humain,Taux de scolarisation des 6- 11 ans en 2023/2024 (%),Urbain,Région TTA,Masculin,95.9,tanger tetouan al hoceima,1.0,
capital_humain,Taux de scolarisation des 6- 11 ans en 2023/2024 (%),Urbain,Région TTA,Féminin,96.4,tanger tetouan al hoceima,1.0,
capital_humain,Taux de scolarisation des 6- 11 ans en 2023/2024 (%),Urbain,Région TTA,Ensemble,96.2,tanger tetouan al hoceima,1.0,
capital_humain,Taux de scolarisation des 6- 11 ans en 2023/2024 (%),Rural,Région TTA,Masculin,95.5,tanger tetouan al hoceima,1.0,
capital_humain,Taux de scolarisation des 6- 11 ans en 2023/2024 (%),Rural,Région TTA,Féminin,95.7,tanger tetouan al hoceima,1.0,
capital_humain,Taux de scolarisation des 6- 11 ans en 2023/2024 (%),Rural,Région TTA,Ensemble,95.6,tanger tetouan al hoceima,1.0,
capital_humain,Taux de scolarisation des 6- 11 ans en 2023/2024 (%),Ensemble,Région TTA,Masculin,95.8,tanger tetouan al hoceima,1.0,
capital_humain,Taux de scolarisation des 6- 11 ans en 2023/2024 (%),Ensemble,Région TTA,Féminin,96.1,tanger tetouan al hoceima,1.0,
capital_humain,Taux de scolarisation des 6- 11 ans en 2023/2024 (%),Ensemble,Région TTA,Ensemble,95.9,tanger tetouan al hoceima,1.0,
capital_humain,Taux de scolarisation des 12-17 ans en 2023/2024 (%),Urbain,Région TTA,Masculin,84.7,tanger tetouan al hoceima,1.0,337
capital_humain,Taux de scolarisation des 12-17 ans en 2023/2024 (%),Urbain,Région TTA,Féminin,89.9,tanger tetouan al hoceima,1.0,337
capital_humain,Taux de scolarisation des 12-17 ans en 2023/2024 (%),Urbain,Région TTA,Ensemble,87.2,tanger tetouan al hoceima,1.0,337
capital_humain,Taux de scolarisation des 12-17 ans en 2023/2024 (%),Rural,Région TTA,Masculin,78.0,tanger tetouan al hoceima,1.0,337
capital_humain,Taux de scolarisation des 12-17 ans en 2023/2024 (%),Rural,Région TTA,Féminin,78.3,tanger tetouan al hoceima,1.0,337
capital_humain,Taux de scolarisation des 12-17 ans en 2023/2024 (%),Rural,Région TTA,Ensemble,78.2,tanger tetouan al hoceima,1.0,337
capital_humain,Taux de scolarisation des 12-17 ans en 2023/2024 (%),Ensemble,Région TTA,Masculin,82.2,tanger tetouan al hoceima,1.0,337
capital_humain,Taux de scolarisation des 12-17 ans en 2023/2024 (%),Ensemble,Région TTA,Féminin,85.6,tanger tetouan al hoceima,1.0,337
capital_humain,Taux de scolarisation des 12-17 ans en 2023/2024 (%),Ensemble,Région TTA,Ensemble,83.8,tanger tetouan al hoceima,1.0,337
capital_humain,Niveau d'études de la population âgée de 25 ans et plus (%),Urbain,Région TTA,Masculin,22.8,tanger tetouan al hoceima,1.0,328
capital_humain,Niveau d'études de la population âgée de 25 ans et plus (%),Urbain,Région TTA,Féminin,36.8,tanger tetouan al hoceima,1.0,328
capital_humain,Niveau d'études de la population âgée de 25 ans et plus (%),Urbain,Région TTA,Ensemble,29.9,tanger tetouan al hoceima,1.0,328
capital_humain,Niveau d'études de la population âgée de 25 ans et plus (%),Rural,Région TTA,Masculin,55.1,tanger tetouan al hoceima,1.0,328
capital_humain,Niveau d'études de la population âgée de 25 ans et plus (%),Rural,Région TTA,Féminin,70.9,tanger tetouan al hoceima,1.0,328
capital_humain,Niveau d'études de la population âgée de 25 ans et plus (%),Rural,Région TTA,Ensemble,62.7,tanger tetouan al hoceima,1.0,328
capital_humain,Niveau d'études de la population âgée de 25 ans et plus (%),Ensemble,Région TTA,Masculin,33.8,tanger tetouan al hoceima,1.0,328
capital_humain,Niveau d'études de la population âgée de 25 ans et plus (%),Ensemble,Région TTA,Féminin,47.7,tanger tetouan al hoceima,1.0,328
capital_humain,Niveau d'études de la population âgée de 25 ans et plus (%),Ensemble,Région TTA,Ensemble,40.7,tanger tetouan al hoceima,1.0,328
capital_humain,Nombre moyen d'années d'études dans l'enseignement général,Urbain,Région TTA,Masculin,8.1,tanger tetouan al hoceima,1.0,329
capital_humain,Nombre moyen d'années d'études dans l'enseignement général,Urbain,Région TTA,Féminin,6.5,tanger tetouan al hoceima,1.0,329
capital_humain,Nombre moyen d'années d'études dans l'enseignement général,Urbain,Région TTA,Ensemble,7.3,tanger tetouan al hoceima,1.0,329
capital_humain,Nombre moyen d'années d'études dans l'enseignement général,Rural,Région TTA,Masculin,3.4,tanger tetouan al hoceima,1.0,329
capital_humain,Nombre moyen d'années d'études dans l'enseignement général,Rural,Région TTA,Féminin,1.9,tanger tetouan al hoceima,1.0,329
capital_humain,Nombre moyen d'années d'études dans l'enseignement général,Rural,Région TTA,Ensemble,2.7,tanger tetouan al hoceima,1.0,329
capital_humain,Nombre moyen d'années d'études dans l'enseignement général,Ensemble,Région TTA,Masculin,6.5,tanger tetouan al hoceima,1.0,329
capital_humain,Nombre moyen d'années d'études dans l'enseignement général,Ensemble,Région TTA,Féminin,5.0,tanger tetouan al hoceima,1.0,329
capital_humain,Nombre moyen d'années d'études dans l'enseignement général,Ensemble,Région TTA,Ensemble,5.8,tanger tetouan al hoceima,1.0,329
capital_humain,Population de 10 ans et plus,Urbain,Région TTA,Masculin,1086131.0,tanger tetouan al hoceima,1.0,331
capital_humain,Population de 10 ans et plus,Urbain,Région TTA,Féminin,1092344.0,tanger tetouan al hoceima,1.0,331
capital_humain,Population de 10 ans et plus,Urbain,Région TTA,Ensemble,2178475.0,tanger tetouan al hoceima,1.0,331
