territoire_id,indicateur,valeur,indicateur_id
1,Population municipale - Pop_municipale,4008655.0,450
1,Ménages - Ménages population,1048860.0,451
1,Taille moyenne des ménages - Taille moyenne,3.8,452
1,Ménages sédentaires,1047295.0,453
1,Type de logement (%) - Villa / Étage de villa,0.9,454
1,Type de logement (%) - Appartement,16.1,455
1,Type de logement (%) - Maison marocaine,66.3,456
1,Type de logement (%) - Maison sommaire / Bidonville,1.0,457
1,Type de logement (%) - Logement rural,15.0,458
1,Type de logement (%) - Autre,0.7,459
1,Nombre moyen de personnes par pièce d'habitation,1.5,460
1,Statut d'occupation du logement (%) - Propriétaire,62.8,461
1,Statut d'occupation du logement (%) - Locataire,25.1,462
1,Statut d'occupation du logement (%) - Autre,12.0,463
1,Âge du logement (%) - Moins de 10 ans,22.0,464
1,Âge du logement (%) - 10-19 ans,33.6,465
1,Âge du logement (%) - 20-49 ans,34.7,466
1,Âge du logement (%) - 50 ans ou plus,9.7,467
1,Disponibilité des éléments essentiels de confort (%) - Cuisine,97.4,468
1,Disponibilité des éléments essentiels de confort (%) - W.-C.,98.4,469
1,Disponibilité des éléments essentiels de confort (%) - Pièce d'eau,61.4,470
1,Disponibilité des éléments essentiels de confort (%) - Électricité,97.4,471
1,Disponibilité des éléments essentiels de confort (%) - Eau courante,75.7,472
1,Mode d’évacuation des eaux usées (%) - Réseau public d'assainissement,70.0,473
1,Mode d’évacuation des eaux usées (%) - Fosse septique,15.7,474
1,Mode d’évacuation des eaux usées (%) - Autre,14.3,475
1,Mode d’évacuation des déchets ménagers (%) - Bac à ordures de la commune,65.6,476
1,Mode d’évacuation des déchets ménagers (%) - Camion de la commune / Camion privé,6.5,477
1,Mode d’évacuation des déchets ménagers (%) - Dans la nature,25.7,478
1,Mode d’évacuation des déchets ménagers (%) - Autre,2.2,479
1,Combustible de cuisson utilisé (%) - Gaz,97.7,480
1,Combustible de cuisson utilisé (%) - Électricité,0.4,481
1,Combustible de cuisson utilisé (%) - Charbon,0.3,482
1,Combustible de cuisson utilisé (%) - Bois énergie,1.4,483
1,Combustible de cuisson utilisé (%) - Autre,0.1,484
1,Distance moyenne des logements à la route goudronnée (Km),2.3,485
2,Population municipale - Pop_municipale,1487236.0,450
2,Ménages - Ménages population,418844.0,451
2,Taille moyenne des ménages - Taille moyenne,3.6,452
2,Ménages sédentaires,418108.0,453
2,Type de logement (%) - Villa / Étage de villa,1.4,454
2,Type de logement (%) - Appartement,25.1,455
2,Type de logement (%) - Maison marocaine,70.2,456
2,Type de logement (%) - Maison sommaire / Bidonville,0.7,457
2,Type de logement (%) - Logement rural,1.9,458
2,Type de logement (%) - Autre,0.7,459
2,Nombre moyen de personnes par pièce d'habitation,1.4,460
2,Statut d'occupation du logement (%) - Propriétaire,49.4,461
2,Statut d'occupation du logement (%) - Locataire,40.5,462
2,Statut d'occupation du logement (%) - Autre,10.1,463
2,Âge du logement (%) - Moins de 10 ans,28.4,464
2,Âge du logement (%) - 10-19 ans,34.1,465
2,Âge du logement (%) - 20-49 ans,32.7,466
2,Âge du logement (%) - 50 ans ou plus,4.8,467
2,Disponibilité des éléments essentiels de confort (%) - Cuisine,98.6,468
2,Disponibilité des éléments essentiels de confort (%) - W.-C.,99.7,469
2,Disponibilité des éléments essentiels de confort (%) - Pièce d'eau,72.8,470
2,Disponibilité des éléments essentiels de confort (%) - Électricité,98.7,471
2,Disponibilité des éléments essentiels de confort (%) - Eau courante,96.8,472
2,Mode d’évacuation des eaux usées (%) - Réseau public d'assainissement,94.8,473
2,Mode d’évacuation des eaux usées (%) - Fosse septique,3.5,474
2,Mode d’évacuation des eaux usées (%) - Autre,1.6,475
2,Mode d’évacuation des déchets ménagers (%) - Bac à ordures de la commune,86.7,476
2,Mode d’évacuation des déchets ménagers (%) - Camion de la commune / Camion privé,9.0,477
2,Mode d’évacuation des déchets ménagers (%) - Dans la nature,3.4,478
2,Mode d’évacuation des déchets ménagers (%) - Autre,0.9,479
2,Combustible de cuisson utilisé (%) - Gaz,99.3,480
2,Combustible de cuisson utilisé (%) - Électricité,0.5,481
2,Combustible de cuisson utilisé (%) - Charbon,0.0,482
2,Combustible de cuisson utilisé (%) - Bois énergie,0.1,483
2,Combustible de cuisson utilisé (%) - Autre,0.1,484
2,Distance moyenne des logements à la route goudronnée (Km),0.8,485
3,Population municipale - Pop_municipale,252283.0,450
3,Ménages - Ménages population,67797.0,451
3,Taille moyenne des ménages - Taille moyenne,3.7,452
3,Ménages sédentaires,67713.0,453
3,Type de logement (%) - Villa / Étage de villa,0.8,454
3,Type de logement (%) - Appartement,25.8,455
3,Type de logement (%) - Maison marocaine,71.9,456
3,Type de logement (%) - Maison sommaire / Bidonville,0.3,457
3,Type de logement (%) - Logement rural,0.8,458
3,Type de logement (%) - Autre,0.5,459
3,Nombre moyen de personnes par pièce d'habitation,1.6,460
3,Statut d'occupation du logement (%) - Propriétaire,57.3,461
3,Statut d'occupation du logement (%) - Locataire,30.4,462
3,Statut d'occupation du logement (%) - Autre,12.3,463
3,Âge du logement (%) - Moins de 10 ans,23.9,464
3,Âge du logement (%) - 10-19 ans,49.9,465
