territoire,type_territoire,annee,indicateur,valeur,fk_territoire,territoire_id,indicateur_id
Tanger-Assilah,Préfecture,2024,ordinateur_personnel_pct_5ansplus,9.6,tanger assilah,2,368
Tanger-Assilah,Préfecture,2024,internet_utilisation_pct_5ansplus,73.7,tanger assilah,2,367
Tétouan,Province,2024,ordinateur_personnel_pct_5ansplus,7.6,tetouan,4,368
Tétouan,Province,2024,internet_utilisation_pct_5ansplus,70.7,tetouan,4,367
M'diq-Fnideq,Préfecture/Province,2024,ordinateur_personnel_pct_5ansplus,6.5,m'diq fnideq,3,368
M'diq-Fnideq,Préfecture/Province,2024,internet_utilisation_pct_5ansplus,73.0,m'diq fnideq,3,367
Larache,Province,2024,ordinateur_personnel_pct_5ansplus,4.6,larache,6,368
Larache,Province,2024,internet_utilisation_pct_5ansplus,44.7,larache,6,367
Larache,Province,2024,telephone_mobile_pct_5ansplus,64.1,larache,6,369
Al Hoceima,Province,2024,ordinateur_personnel_pct_5ansplus,4.1,al hoceima,7,368
Al Hoceima,Province,2024,internet_utilisation_pct_5ansplus,56.0,al hoceima,7,367
Al Hoceima,Province,2024,telephone_mobile_pct_5ansplus,65.5,al hoceima,7,369
Ouezzane,Province,2024,ordinateur_personnel_pct_5ansplus,3.0,ouezzane,9,368
Ouezzane,Province,2024,internet_utilisation_pct_5ansplus,32.7,ouezzane,9,367
Ouezzane,Province,2024,telephone_mobile_pct_5ansplus,63.4,ouezzane,9,369
Chefchaouen,Province,2024,ordinateur_personnel_pct_5ansplus,2.2,chefchaouen,8,368
Chefchaouen,Province,2024,internet_utilisation_pct_5ansplus,37.9,chefchaouen,8,367
Chefchaouen,Province,2024,telephone_mobile_pct_5ansplus,60.8,chefchaouen,8,369
Fahs-Anjra,Province,2024,ordinateur_personnel_pct_5ansplus,2.1,fahs anjra,5,368
Fahs-Anjra,Province,2024,internet_utilisation_pct_5ansplus,50.4,fahs anjra,5,367
Fahs-Anjra,Province,2024,telephone_mobile_pct_5ansplus,67.4,fahs anjra,5,369
