code_geo,collectivite,sexe,indicateur,valeur,fk_territoire,territoire_id,indicateur_id
1.0,Région de Tanger-Tétouan-Al Hoceima,Ensemble,Taux de prévalence du handicap (%),4.9,tanger tetouan al hoceima,1.0,394
1.0,Région de Tanger-Tétouan-Al Hoceima,Ensemble,Langues locales utilisées (non exclusives) (%) - Darija,96.4,tanger tetouan al hoceima,1.0,376
1.0,Région de Tanger-Tétouan-Al Hoceima,Ensemble,Langues locales utilisées (non exclusives) (%) - Tachelhit,1.5,tanger tetouan al hoceima,1.0,378
1.0,Région de Tanger-Tétouan-Al Hoceima,Ensemble,Langues locales utilisées (non exclusives) (%) - Tamazight,1.0,tanger tetouan al hoceima,1.0,379
1.0,Région de Tanger-Tétouan-Al Hoceima,Ensemble,Langues locales utilisées (non exclusives) (%) - Tarifit,7.8,tanger tetouan al hoceima,1.0,380
1.0,Région de Tanger-Tétouan-Al Hoceima,Ensemble,Langues locales utilisées (non exclusives) (%) - Hassania,0.1,tanger tetouan al hoceima,1.0,377
1.0,Région de Tanger-Tétouan-Al Hoceima,Ensemble,Population active de 15 ans et plus,1349130.0,tanger tetouan al hoceima,1.0,381
1.0,Région de Tanger-Tétouan-Al Hoceima,Ensemble,Population inactive de 15 ans et plus,1569806.0,tanger tetouan al hoceima,1.0,383
1.0,Région de Tanger-Tétouan-Al Hoceima,Ensemble,Taux d'activité des 15 ans et plus (%),46.2,tanger tetouan al hoceima,1.0,392
1.0,Région de Tanger-Tétouan-Al Hoceima,Ensemble,Taux de chômage (%),19.6,tanger tetouan al hoceima,1.0,393
1.0,Région de Tanger-Tétouan-Al Hoceima,Ensemble,Population active occupée de 15 ans et plus,1084743.0,tanger tetouan al hoceima,1.0,382
1.0,Région de Tanger-Tétouan-Al Hoceima,Ensemble,Statut professionnel des actifs occupés de 15 ans et plus (%) - Employeur,2.4,tanger tetouan al hoceima,1.0,388
1.0,Région de Tanger-Tétouan-Al Hoceima,Ensemble,Statut professionnel des actifs occupés de 15 ans et plus (%) - Indépendant,26.8,tanger tetouan al hoceima,1.0,389
