territoire_id,indicateur,valeur,indicateur_id
2,Population sédentaire active occupée (15+),478322.0,500
2,Mode de transport (%) - À pieds,26.2,501
2,Mode de transport (%) - Motocycle/ Bicyclette,2.7,502
2,Mode de transport (%) - Voiture privée,12.3,503
2,Mode de transport (%) - Bus,7.9,504
2,Mode de transport (%) - Taxi,11.1,505
2,Mode de transport (%) - Transport de l'employeur / Etablissement,33.3,506
2,Mode de transport (%) - Train,0.1,507
2,Mode de transport (%) - Tram,0.0,508
2,Mode de transport (%) - Transport informel,1.1,509
2,Mode de transport (%) - Animaux,0.1,510
2,Mode de transport (%) - Autre,0.5,511
2,Mode de transport (%) - Ne se déplace pas,4.6,512
3,Population sédentaire active occupée (15+),58919.0,500
3,Mode de transport (%) - À pieds,54.8,501
3,Mode de transport (%) - Motocycle/ Bicyclette,6.4,502
3,Mode de transport (%) - Voiture privée,10.8,503
3,Mode de transport (%) - Bus,2.6,504
3,Mode de transport (%) - Taxi,12.0,505
3,Mode de transport (%) - Transport de l'employeur / Etablissement,7.2,506
3,Mode de transport (%) - Train,0.1,507
3,Mode de transport (%) - Tram,0.0,508
3,Mode de transport (%) - Transport informel,0.8,509
3,Mode de transport (%) - Animaux,0.1,510
3,Mode de transport (%) - Autre,0.3,511
3,Mode de transport (%) - Ne se déplace pas,5.0,512
4,Population sédentaire active occupée (15+),162334.0,500
4,Mode de transport (%) - À pieds,47.9,501
4,Mode de transport (%) - Motocycle/ Bicyclette,2.8,502
4,Mode de transport (%) - Voiture privée,11.6,503
4,Mode de transport (%) - Bus,8.4,504
4,Mode de transport (%) - Taxi,11.6,505
4,Mode de transport (%) - Transport de l'employeur / Etablissement,7.1,506
4,Mode de transport (%) - Train,0.1,507
4,Mode de transport (%) - Tram,0.0,508
4,Mode de transport (%) - Transport informel,2.1,509
4,Mode de transport (%) - Animaux,0.8,510
4,Mode de transport (%) - Autre,0.4,511
4,Mode de transport (%) - Ne se déplace pas,7.3,512
5,Population sédentaire active occupée (15+),27370.0,500
5,Mode de transport (%) - À pieds,35.5,501
5,Mode de transport (%) - Motocycle/ Bicyclette,5.3,502
5,Mode de transport (%) - Voiture privée,7.9,503
5,Mode de transport (%) - Bus,6.3,504
5,Mode de transport (%) - Taxi,6.7,505
5,Mode de transport (%) - Transport de l'employeur / Etablissement,15.2,506
5,Mode de transport (%) - Train,0.0,507
5,Mode de transport (%) - Tram,0.0,508
5,Mode de transport (%) - Transport informel,8.9,509
5,Mode de transport (%) - Animaux,0.1,510
5,Mode de transport (%) - Autre,0.5,511
5,Mode de transport (%) - Ne se déplace pas,13.7,512
6,Population sédentaire active occupée (15+),122590.0,500
6,Mode de transport (%) - À pieds,51.1,501
6,Mode de transport (%) - Motocycle/ Bicyclette,8.1,502
6,Mode de transport (%) - Voiture privée,7.5,503
6,Mode de transport (%) - Bus,2.3,504
6,Mode de transport (%) - Taxi,7.4,505
6,Mode de transport (%) - Transport de l'employeur / Etablissement,12.0,506
6,Mode de transport (%) - Train,0.2,507
6,Mode de transport (%) - Tram,0.0,508
6,Mode de transport (%) - Transport informel,2.4,509
6,Mode de transport (%) - Animaux,2.3,510
6,Mode de transport (%) - Autre,0.8,511
6,Mode de transport (%) - Ne se déplace pas,5.9,512
7,Population sédentaire active occupée (15+),77232.0,500
7,Mode de transport (%) - À pieds,59.9,501
7,Mode de transport (%) - Motocycle/ Bicyclette,3.7,502
7,Mode de transport (%) - Voiture privée,11.4,503
7,Mode de transport (%) - Bus,0.9,504
7,Mode de transport (%) - Taxi,8.1,505
7,Mode de transport (%) - Transport de l'employeur / Etablissement,2.4,506
7,Mode de transport (%) - Train,0.0,507
7,Mode de transport (%) - Tram,0.0,508
7,Mode de transport (%) - Transport informel,2.7,509
7,Mode de transport (%) - Animaux,1.9,510
7,Mode de transport (%) - Autre,0.5,511
7,Mode de transport (%) - Ne se déplace pas,8.5,512
8,Population sédentaire active occupée (15+),108732.0,500
8,Mode de transport (%) - À pieds,71.8,501
8,Mode de transport (%) - Motocycle/ Bicyclette,0.9,502
8,Mode de transport (%) - Voiture privée,3.4,503
8,Mode de transport (%) - Bus,0.8,504
8,Mode de transport (%) - Taxi,3.1,505
8,Mode de transport (%) - Transport de l'employeur / Etablissement,1.1,506
8,Mode de transport (%) - Train,0.0,507
8,Mode de transport (%) - Tram,0.0,508
8,Mode de transport (%) - Transport informel,3.8,509
8,Mode de transport (%) - Animaux,4.6,510
8,Mode de transport (%) - Autre,0.2,511
8,Mode de transport (%) - Ne se déplace pas,10.4,512
9,Population sédentaire active occupée (15+),49239.0,500
9,Mode de transport (%) - À pieds,61.6,501
9,Mode de transport (%) - Motocycle/ Bicyclette,1.5,502
9,Mode de transport (%) - Voiture privée,6.5,503
9,Mode de transport (%) - Bus,1.5,504
9,Mode de transport (%) - Taxi,5.0,505
9,Mode de transport (%) - Transport de l'employeur / Etablissement,3.1,506
9,Mode de transport (%) - Train,0.0,507
9,Mode de transport (%) - Tram,0.0,508
9,Mode de transport (%) - Transport informel,4.8,509
9,Mode de transport (%) - Animaux,6.7,510
9,Mode de transport (%) - Autre,0.9,511
9,Mode de transport (%) - Ne se déplace pas,8.1,512
1,Population sédentaire active occupée (15+),1084739.0,500
1,Mode de transport (%) - À pieds,42.6,501
1,Mode de transport (%) - Motocycle/ Bicyclette,3.4,502
1,Mode de transport (%) - Voiture privée,10.3,503
1,Mode de transport (%) - Bus,5.5,504
1,Mode de transport (%) - Taxi,9.4,505
1,Mode de transport (%) - Transport de l'employeur / Etablissement,18.3,506
1,Mode de transport (%) - Train,0.1,507
1,Mode de transport (%) - Tram,0.0,508
1,Mode de transport (%) - Transport informel,2.2,509
1,Mode de transport (%) - Animaux,1.3,510
1,Mode de transport (%) - Autre,0.5,511
1,Mode de transport (%) - Ne se déplace pas,6.4,512
34,Population sédentaire active occupée (15+),414399.0,500
34,Mode de transport (%) - À pieds,25.6,501
34,Mode de transport (%) - Motocycle/ Bicyclette,2.5,502
34,Mode de transport (%) - Voiture privée,12.8,503
34,Mode de transport (%) - Bus,7.7,504
34,Mode de transport (%) - Taxi,11.8,505
34,Mode de transport (%) - Transport de l'employeur / Etablissement,34.3,506
34,Mode de transport (%) - Train,0.1,507
34,Mode de transport (%) - Tram,0.0,508
34,Mode de transport (%) - Transport informel,0.8,509
34,Mode de transport (%) - Animaux,0.1,510
34,Mode de transport (%) - Autre,0.4,511
34,Mode de transport (%) - Ne se déplace pas,3.9,512
35,Population sédentaire active occupée (15+),9134.0,500
35,Mode de transport (%) - À pieds,58.7,501
35,Mode de transport (%) - Motocycle/ Bicyclette,7.1,502
35,Mode de transport (%) - Voiture privée,9.8,503
35,Mode de transport (%) - Bus,5.2,504
35,Mode de transport (%) - Taxi,4.7,505
35,Mode de transport (%) - Transport de l'employeur / Etablissement,5.2,506
35,Mode de transport (%) - Train,0.1,507
35,Mode de transport (%) - Tram,0.0,508
35,Mode de transport (%) - Transport informel,1.2,509
35,Mode de transport (%) - Animaux,0.2,510
35,Mode de transport (%) - Autre,0.6,511
35,Mode de transport (%) - Ne se déplace pas,7.3,512
36,Population sédentaire active occupée (15+),29055.0,500
36,Mode de transport (%) - À pieds,18.6,501
36,Mode de transport (%) - Motocycle/ Bicyclette,3.4,502
36,Mode de transport (%) - Voiture privée,12.0,503
36,Mode de transport (%) - Bus,11.1,504
36,Mode de transport (%) - Taxi,7.0,505
36,Mode de transport (%) - Transport de l'employeur / Etablissement,41.4,506
36,Mode de transport (%) - Train,0.1,507
36,Mode de transport (%) - Tram,0.0,508
36,Mode de transport (%) - Transport informel,1.5,509
36,Mode de transport (%) - Animaux,0.1,510
36,Mode de transport (%) - Autre,0.8,511
36,Mode de transport (%) - Ne se déplace pas,4.0,512
37,Population sédentaire active occupée (15+),6584.0,500
37,Mode de transport (%) - À pieds,23.1,501
37,Mode de transport (%) - Motocycle/ Bicyclette,6.8,502
37,Mode de transport (%) - Voiture privée,5.4,503
37,Mode de transport (%) - Bus,11.6,504
37,Mode de transport (%) - Taxi,3.5,505
37,Mode de transport (%) - Transport de l'employeur / Etablissement,33.7,506
37,Mode de transport (%) - Train,0.0,507
37,Mode de transport (%) - Tram,0.0,508
37,Mode de transport (%) - Transport informel,7.9,509
37,Mode de transport (%) - Animaux,0.2,510
37,Mode de transport (%) - Autre,1.1,511
37,Mode de transport (%) - Ne se déplace pas,6.7,512
38,Population sédentaire active occupée (15+),1020.0,500
38,Mode de transport (%) - À pieds,35.8,501
38,Mode de transport (%) - Motocycle/ Bicyclette,2.1,502
38,Mode de transport (%) - Voiture privée,3.7,503
38,Mode de transport (%) - Bus,13.2,504
38,Mode de transport (%) - Taxi,1.5,505
38,Mode de transport (%) - Transport de l'employeur / Etablissement,7.7,506
38,Mode de transport (%) - Train,0.0,507
38,Mode de transport (%) - Tram,0.0,508
38,Mode de transport (%) - Transport informel,12.7,509
38,Mode de transport (%) - Animaux,0.4,510
38,Mode de transport (%) - Autre,0.0,511
38,Mode de transport (%) - Ne se déplace pas,22.8,512
39,Population sédentaire active occupée (15+),674.0,500
