localite,code,niveau,annee,MPI,taux_pauvrete_H,intensite_A,vulnerabilite,priv_mortalite_infantile,priv_handicap,priv_scolarisation,priv_annees_scolarite,priv_electricite,priv_eau,priv_assainissement,priv_logement,priv_cuisson,priv_communication,contrib_sante,contrib_education,contrib_conditions_vie
Commune de Zaouiat Sidi Kacem,15710525,commune,2024.0,0.167051330208778,38.2460975646973,43.6780052185059,21.8210182189941,0.0813447753898799,29.9187541007996,16.5657162666321,40.6405389308929,4.6506516635418,68.4851050376892,27.1055668592453,37.0186418294907,24.6873900294304,23.5302075743675,19.139684677124,39.5616226196289,41.2986907958984
Commune de Chakrane,10511311,commune,2024.0,0.136100977659225,32.390510559082,42.0187797546387,31.2043800354004,0.212895381264389,22.0498785376549,6.53892979025841,42.4574196338654,3.16301696002483,70.9854006767273,91.8187320232391,39.5072996616364,25.3953784704208,6.41727522015572,19.6275615692139,36.3500938415527,44.022346496582
Commune de Bni Bouchibet,10510909,commune,2024.0,0.135356262326241,33.6289138793945,40.2499656677246,25.4910755157471,0.0,28.3309012651443,13.0317658185959,26.0410815477371,3.36738117039204,70.6252098083496,38.0065113306046,55.427098274231,65.3271973133087,2.60410811752081,22.9291439056397,35.0916786193848,41.979175567627
Commune de Brikcha,14050905,commune,2024.0,0.122044317424297,29.6344557803241,41.1832502759106,18.654332358599,0.0,27.3529300703151,3.36542938015438,29.9089129983604,8.61069313626324,48.5466329317168,42.0621082933286,79.5992865669254,36.1190129619948,5.13348900069637,24.805326461792,31.6997299194336,43.4949417114258
Commune d'Oulad Ali Mansour,15710519,commune,2024.0,0.121790319681168,28.5775318145752,42.6175079345703,33.383171081543,0.0854335725307465,30.777445435524,19.5215716958046,34.0666383504868,5.65997436642647,81.4822733402252,16.7449802160263,56.3861608505249,10.9995730221272,1.45237082615495,24.4933757781982,44.8363189697266,30.6703033447266
Commune d'Ouaouzgane,11510919,commune,2024.0,0.118324220180511,30.078929901123,39.3379096984863,25.8869743347168,0.127615116070956,36.9605392217636,7.40026906132698,35.0138157606125,5.81687279045582,68.8846826553345,41.9223159551621,37.6415312290192,10.609669983387,2.71015744656324,27.7056465148926,38.6567192077637,33.637638092041
Commune de Zarkt,10510727,commune,2024.0,0.109383694827557,27.0014305114746,40.5103340148926,23.338098526001,0.214438885450363,29.7176539897919,7.13009312748909,27.894926071167,1.53681198135018,69.4960713386536,51.7869889736176,39.1172260046005,12.4553255736828,5.8077197521925,28.0722465515137,32.4287528991699,39.4990043640137
Commune de Bni Garfett,13310905,commune,2024.0,0.106317766010761,26.5470485687256,40.0488090515137,23.1732177734375,0.0,19.7541460394859,5.92518150806427,35.3887587785721,11.9032077491283,56.3986241817474,47.2194701433182,87.2302830219269,0.410575745627284,3.75423021614552,19.2270393371582,39.6363220214844,41.1366348266602
Commune de Souk L'qolla,13310711,commune,2024.0,0.102938093245029,25.0212001800537,41.1403503417969,24.0494613647461,0.0,22.0269650220871,8.023851364851,27.3038595914841,1.04664480313659,73.5216915607452,49.7998803853989,84.47185754776,16.4245411753654,3.32120321691036,22.8604412078857,35.6580963134766,41.4814643859863
Commune de Zaaroura,13310915,commune,2024.0,0.100200027227402,25.1916370391846,39.7751159667969,26.6318225860596,0.127758423332125,23.6933797597885,6.99186995625496,32.2996526956558,2.65969801694155,48.79210293293,42.9616719484329,92.5087094306946,14.8664340376854,3.77468056976795,23.1051597595215,38.4248809814453,38.4699554443359
