id,theme,nom,prov,taux
6,demography,indice_entrees (%),8,True
7,demography,indice_sortie (%),8,True
13,demography,indice_entrees (%),8,True
14,demography,indice_sortie (%),8,True
20,demography,indice_entrees (%),8,True
21,demography,indice_sortie (%),8,True
35,demography,Descendance finale des femmes,8,True
36,demography,Indicateur conjoncturel de fécondité,8,True
42,demography,Sexe (%) - Féminin,8,True
43,demography,Sexe (%) - Masculin,8,True
44,demography,Âge moyen singulier au mariage,8,True
45,demography,Âge quinquennal (%) - 0-4 ans,8,True
46,demography,Âge quinquennal (%) - 10-14 ans,8,True
47,demography,Âge quinquennal (%) - 15-19 ans,8,True
48,demography,Âge quinquennal (%) - 20-24 ans,8,True
49,demography,Âge quinquennal (%) - 25-29 ans,8,True
50,demography,Âge quinquennal (%) - 30-34 ans,8,True
51,demography,Âge quinquennal (%) - 35-39 ans,8,True
52,demography,Âge quinquennal (%) - 40-44 ans,8,True
53,demography,Âge quinquennal (%) - 45-49 ans,8,True
54,demography,Âge quinquennal (%) - 5-9 ans,8,True
55,demography,Âge quinquennal (%) - 50-54 ans,8,True
56,demography,Âge quinquennal (%) - 55-59 ans,8,True
57,demography,Âge quinquennal (%) - 60-64 ans,8,True
58,demography,Âge quinquennal (%) - 65-69 ans,8,True
59,demography,Âge quinquennal (%) - 70-74 ans,8,True
60,demography,Âge quinquennal (%) - 75 ans ou plus,8,True
61,demography,État matrimonial des 15 ans et plus (%) - Célibataire,8,True
62,demography,État matrimonial des 15 ans et plus (%) - Divorcé.e,8,True
63,demography,État matrimonial des 15 ans et plus (%) - Marié.e,8,True
64,demography,État matrimonial des 15 ans et plus (%) - Veuf.ve,8,True
69,demography,taux_accroissement_menages_pct,8,True
70,demography,taux_accroissement_pop_pct,8,True
102,education,Langues lues et écrites par les alphabètes de 10 ans et plus (non exclusives) (%) - Amazigh (Tifinagh),8,True
103,education,Langues lues et écrites par les alphabètes de 10 ans et plus (non exclusives) (%) - Anglais,8,True
104,education,Langues lues et écrites par les alphabètes de 10 ans et plus (non exclusives) (%) - Arabe,8,True
105,education,Langues lues et écrites par les alphabètes de 10 ans et plus (non exclusives) (%) - Français,8,True
106,education,Niveau d'études dans l'enseignement général (%) - Aucun niveau d'études,8,True
107,education,Niveau d'études dans l'enseignement général (%) - Primaire,8,True
108,education,Niveau d'études dans l'enseignement général (%) - Préscolaire,8,True
109,education,Niveau d'études dans l'enseignement général (%) - Secondaire collégial,8,True
110,education,Niveau d'études dans l'enseignement général (%) - Secondaire qualifiant,8,True
111,education,Niveau d'études dans l'enseignement général (%) - Supérieur,8,True
113,education,Taux d'analphabétisme des 10 ans et plus (%),8,True
114,education,Taux d'analphabétisme des 15 ans et plus (%),8,True
115,education,Taux de scolarisation des 6-11 ans en 2023/2024 (%),8,True
116,education,Nombre d'établissements collegial,8,True
118,education,Nombre d'établissements qualifiant,8,True
119,education,Nombre d'établissements collegial,8,True
121,education,Nombre d'établissements qualifiant,8,True
122,health,Cliniques privées par province (ou préfecture) : Privé,8,True
