id,nom,theme,couv,zeros,taux,vmin,vmax
1,humidite,climate,0,0,%,,
2,temp_max,climate,0,0,,,
3,temp_min,climate,0,0,,,
4,temp_moyenne,climate,0,0,,,
5,entrees,demography,146,0,,131.0,631052.0
6,indice_entrees (%),demography,146,0,%,2.6,74.0
7,indice_sortie (%),demography,146,0,%,9.4,73.1
8,natifs,demography,146,0,,2915.0,697554.0
9,natifs_residents_non_migrants,demography,146,0,,1968.0,625585.0
10,population_sedentaire,demography,146,0,,2099.0,1271880.0
11,sorties,demography,146,0,,388.0,71969.0
12,entrees,demography,146,0,,30.0,560670.0
13,indice_entrees (%),demography,146,0,%,0.7,48.1
14,indice_sortie (%),demography,146,0,%,2.5,42.2
15,natifs_residents_non_migrants,demography,146,0,,1851.0,963573.0
16,population_sedentaire_5ans_plus,demography,146,0,,1896.0,1166386.0
17,residents_recents_5ans,demography,146,0,,2006.0,1019938.0
18,sorties,demography,146,0,,105.0,126127.0
19,entrees,demography,146,0,,62.0,541217.0
20,indice_entrees (%),demography,146,0,%,1.6,70.1
21,indice_sortie (%),demography,146,0,%,4.4,55.8
22,natifs_residents_non_migrants,demography,146,0,,1616.0,741358.0
23,population_sedentaire,demography,146,0,,1694.0,1049236.0
24,residents_recents_10ans,demography,146,0,,1910.0,816257.0
25,sorties,demography,146,0,,166.0,114580.0
26,effectif_migrants_internationaux,demography,146,7,,0.0,31860.0
27,Descendance finale des femmes,demography,0,0,,,
28,Indice Synthétique de fécondité,demography,0,0,,,
29,Population de 15 ans et plus,demography,0,0,,,
30,Taux de couverture médicale (%),demography,0,0,%,,
31,Taux de prévalence du handicap (%),demography,0,0,%,,
32,Taux de prévalence du handicap par groupes d'âges (%,demography,0,0,%,,
33,Âge moyen au premier mariage,demography,0,0,,,
34,État matrimonial des 15 ans et plus (%),demography,0,0,%,,
35,Descendance finale des femmes,demography,146,0,,1.9,5.5
36,Indicateur conjoncturel de fécondité,demography,146,0,,1.3,4.5
37,Population de 10 ans et plus,demography,146,0,,1694.0,1050049.0
38,Population de 15 ans et plus,demography,146,0,,1499.0,940063.0
39,Population de 7-12 ans,demography,146,0,,240.0,137926.0
40,Population légale,demography,146,0,,2099.0,1275428.0
41,Population municipale,demography,146,0,,2099.0,1272718.0
42,Sexe (%) - Féminin,demography,146,0,%,44.7,53.3
43,Sexe (%) - Masculin,demography,146,0,%,46.7,55.3
44,Âge moyen singulier au mariage,demography,146,0,,25.2,33.9
45,Âge quinquennal (%) - 0-4 ans,demography,146,0,%,6.1,11.1
46,Âge quinquennal (%) - 10-14 ans,demography,146,0,%,7.8,12.6
47,Âge quinquennal (%) - 15-19 ans,demography,146,0,%,6.2,10.9
48,Âge quinquennal (%) - 20-24 ans,demography,146,0,%,5.2,10.1
49,Âge quinquennal (%) - 25-29 ans,demography,146,0,%,4.0,9.6
50,Âge quinquennal (%) - 30-34 ans,demography,146,0,%,5.3,9.9
51,Âge quinquennal (%) - 35-39 ans,demography,146,0,%,5.7,9.7
52,Âge quinquennal (%) - 40-44 ans,demography,146,0,%,5.0,7.8
53,Âge quinquennal (%) - 45-49 ans,demography,146,0,%,3.9,7.4
54,Âge quinquennal (%) - 5-9 ans,demography,146,0,%,7.4,12.6
55,Âge quinquennal (%) - 50-54 ans,demography,146,0,%,3.4,6.9
56,Âge quinquennal (%) - 55-59 ans,demography,146,0,%,2.4,6.2
57,Âge quinquennal (%) - 60-64 ans,demography,146,0,%,2.3,6.4
58,Âge quinquennal (%) - 65-69 ans,demography,146,0,%,1.5,5.0
59,Âge quinquennal (%) - 70-74 ans,demography,146,0,%,0.9,4.0
60,Âge quinquennal (%) - 75 ans ou plus,demography,146,0,%,0.9,6.1
61,État matrimonial des 15 ans et plus (%) - Célibatair,demography,146,0,%,27.2,49.2
62,État matrimonial des 15 ans et plus (%) - Divorcé.e,demography,146,0,%,0.4,4.2
63,État matrimonial des 15 ans et plus (%) - Marié.e,demography,146,0,%,46.2,66.9
64,État matrimonial des 15 ans et plus (%) - Veuf.ve,demography,146,0,%,2.4,8.1
65,menages_2014,demography,0,0,,,
66,menages_2024,demography,0,0,,,
67,population_legale_2014,demography,0,0,,,
68,population_legale_2024,demography,0,0,,,
69,taux_accroissement_menages_pct,demography,0,0,%,,
70,taux_accroissement_pop_pct,demography,0,0,%,,
71,menages,demography,146,0,,509.0,362062.0
72,population,demography,146,0,,2099.0,1275428.0
73,distance_centre_sante_km,demography,0,0,,,
74,distance_college_km,demography,0,0,,,
75,distance_ecole_primaire_km,demography,0,0,,,
76,distance_lycee_km,demography,0,0,,,
77,distance_route_carrossable_km,demography,0,0,,,
78,distance_route_goudronnee_km,demography,0,0,,,
79,nombre_menages,demography,0,0,,,
80,pct_15_59ans,demography,0,0,%,,
81,pct_60ans_plus,demography,0,0,%,,
82,pct_celibataire,demography,0,0,%,,
83,pct_divorce,demography,0,0,%,,
84,pct_enregistrement_etat_civil,demography,0,0,%,,
85,pct_logement_appartement,demography,0,0,%,,
