id,nom,theme,couv,zeros,taux,vmin,vmax
1,humidite,climate,4,0,%,63.0,77.0
2,temp_max,climate,4,0,,22.9,25.0
3,temp_min,climate,4,0,,14.0,16.2
4,temp_moyenne,climate,4,0,,18.5,20.5
5,entrees,demography,8,0,,19016.0,681859.0
6,indice_entrees (%),demography,8,0,%,4.9,52.6
7,indice_sortie (%),demography,8,0,%,6.9,39.5
8,natifs,demography,8,0,,101437.0,846710.0
9,natifs_residents_non_migrants,demography,8,0,,76658.0,788501.0
10,population_sedentaire,demography,8,0,,99399.0,1486320.0
11,sorties,demography,8,0,,14896.0,203043.0
12,entrees,demography,8,0,,6115.0,213672.0
13,indice_entrees (%),demography,8,0,%,1.9,15.7
14,indice_sortie (%),demography,8,0,%,3.0,12.6
15,natifs_residents_non_migrants,demography,8,0,,79170.0,1136970.0
16,population_sedentaire_5ans_plus,demography,8,0,,89512.0,1359740.0
17,residents_recents_5ans,demography,8,0,,84099.0,1171899.0
18,sorties,demography,8,0,,4929.0,53014.0
19,entrees,demography,8,0,,8803.0,323799.0
20,indice_entrees (%),demography,8,0,%,3.1,26.6
21,indice_sortie (%),demography,8,0,%,5.2,21.1
22,natifs_residents_non_migrants,demography,8,0,,65064.0,884323.0
23,population_sedentaire,demography,8,0,,79121.0,1219442.0
24,residents_recents_10ans,demography,8,0,,73233.0,932612.0
25,sorties,demography,8,0,,8169.0,86387.0
26,effectif_migrants_internationaux,demography,8,0,,515.0,34556.0
27,Descendance finale des femmes,demography,0,0,,,
28,Indice Synthétique de fécondité,demography,0,0,,,
29,Population de 15 ans et plus,demography,0,0,,,
30,Taux de couverture médicale (%),demography,0,0,%,,
31,Taux de prévalence du handicap (%),demography,0,0,%,,
32,Taux de prévalence du handicap par groupes d'âges ,demography,0,0,%,,
33,Âge moyen au premier mariage,demography,0,0,,,
34,État matrimonial des 15 ans et plus (%),demography,0,0,%,,
35,Descendance finale des femmes,demography,8,0,,2.7,4.0
36,Indicateur conjoncturel de fécondité,demography,8,0,,1.8,2.7
37,Population de 10 ans et plus,demography,8,0,,79123.0,1220333.0
38,Population de 15 ans et plus,demography,8,0,,69491.0,1089488.0
39,Population de 7-12 ans,demography,8,0,,12049.0,164700.0
40,Population légale,demography,8,0,,100789.0,1494413.0
