province_prefecture,commune_rurale,nb_douars,acces_sante_km,acces_sante_med,acces_route_goudronnee_km,acces_ecole_primaire_km,acces_college_km,pct_douars_sante_plus5km,territoire_id
 الحسيمة  Al Hoceima,Tifarouine تيفروين,9,31.2,25.1,0.6,1.5,7.4,88.9,110.0
Tétouan تطوان,Sahtryine السحتريين,21,19.1,19.6,1.4,1.1,14.0,76.2,60.0
Tétouan تطوان,Zinat الزينات,14,16.3,16.5,0.9,4.3,15.7,64.3,68.0
 الحسيمة  Al Hoceima,Bni Bouchibet بني بوشيبت,23,15.4,17.4,10.3,1.5,15.0,69.6,132.0
العرائش Larache,Souk L'Qolla سوق القلة,63,14.5,10.8,1.1,0.7,11.5,65.1,87.0
 الحسيمة  Al Hoceima,Abdelghaya Souahel عبد الغاية السواحل,34,14.2,14.0,6.8,2.7,14.3,85.3,134.0
 الحسيمة  Al Hoceima,Moulay Ahmed Cherif مولاي احمد الشريف,18,13.7,13.2,2.6,2.5,9.9,83.3,130.0
العرائش Larache,Laouamra العوامرة,20,13.6,11.6,1.2,1.1,8.6,85.0,82.0
شفشاون Chefchaouen,M'tioua متيوة,35,13.0,10.3,2.9,0.8,13.0,51.4,140.0
شفشاون Chefchaouen,Tamorot تمروت,28,12.8,8.4,6.5,2.2,16.3,78.6,138.0
 الحسيمة  Al Hoceima,Chakrane شقران,14,12.0,10.0,4.2,3.8,12.0,92.9,108.0
شفشاون Chefchaouen,Bni Bouzra بني بوزرة,40,12.0,7.8,7.2,1.6,11.0,62.5,158.0
وزان Ouazzane,Asjen اسجن,25,12.0,14.2,0.9,0.8,14.1,68.0,175.0
 الحسيمة  Al Hoceima,Nekkour النكور,5,12.0,9.1,1.2,1.6,11.5,60.0,111.0
شفشاون Chefchaouen,Ouaouzgane ووزكان,33,11.8,9.3,5.9,2.5,11.8,81.8,141.0
العرائش Larache,Sahel الساحل,18,11.4,10.1,2.1,1.1,11.3,88.9,93.0
فحص - انجرة Fahs-Anjra,Taghramt تغرامت,20,11.4,11.4,2.9,1.3,11.5,75.0,78.0
فحص - انجرة Fahs-Anjra,Ksar Sghir القصر الصغير,18,11.2,9.2,0.3,1.0,11.2,77.8,75.0
شفشاون Chefchaouen,Bni Mansourبني منصور,33,10.9,10.0,2.7,1.7,10.8,78.8,157.0
العرائش Larache,Bou Jedyane بوجديان,28,10.8,5.8,1.5,0.9,14.2,67.9,85.0
 الحسيمة  Al Hoceima,Arbaa Taourirt اربعاء تاوريرت,12,10.7,12.0,6.5,1.8,10.5,75.0,109.0
وزان Ouazzane,Zoumi زومي,67,10.5,9.0,3.3,1.6,8.4,76.1,179.0
شفشاون Chefchaouen,Steha اسطيحة,34,10.5,10.7,4.4,0.8,10.5,64.7,159.0
شفشاون Chefchaouen,Bni Darkoul بني دركول,31,10.4,5.3,1.4,1.3,7.8,51.6,150.0
 الحسيمة  Al Hoceima,Ketama كتامة,21,10.2,10.4,5.6,3.8,10.3,71.4,129.0
 الحسيمة  Al Hoceima,Zarqt زرقت,19,10.2,8.3,0.8,1.3,10.2,68.4,124.0
شفشاون Chefchaouen,Iounane اونان,24,10.0,7.8,5.3,2.7,10.4,70.8,137.0
Tétouan تطوان,Bni Leit بني ليت,7,9.9,5.9,4.3,1.2,7.1,71.4,63.0
Tétouan تطوان,Al Oued الواد,28,9.8,8.6,2.8,1.1,9.9,64.3,65.0
العرائش Larache,Tatoft تطفت,25,9.7,11.7,2.2,1.2,9.7,72.0,86.0
Tanger-Assilah طنجة - أصيلة ,Dar Chaoui دار الشاوي,10,9.3,7.3,0.3,0.6,9.2,60.0,38.0
فحص - انجرة Fahs-Anjra,Ksar El Majaz القصر المجاز,23,9.3,8.1,2.2,1.7,9.2,73.9,79.0
M'diq Fnideq المضيق - الفنيدق,Allyene عليين,13,9.2,7.9,3.2,1.6,9.2,69.2,49.0
شفشاون Chefchaouen,Bni Smih بني سميح,43,9.2,7.4,7.6,1.3,9.3,62.8,143.0
شفشاون Chefchaouen,Bni Rzine بني رزين,30,9.2,7.6,4.2,1.7,9.2,63.3,142.0
شفشاون Chefchaouen,Oued Malha واد ملحة,26,9.1,9.6,2.2,1.7,9.3,73.1,146.0
شفشاون Chefchaouen,باب برد Bab Berred,30,8.7,8.2,4.0,1.4,9.1,66.7,136.0
 الحسيمة  Al Hoceima,Bni Ammart بني عمارت,18,8.7,7.5,1.6,1.8,8.7,66.7,122.0
وزان Ouazzane,Brikcha ابريكشة,26,8.7,6.8,1.3,0.8,9.9,61.5,174.0
وزان Ouazzane,Bni Quolla بني كلة,51,8.6,8.8,1.3,1.7,7.3,68.6,167.0
Tétouan تطوان,Azla أزلا,18,8.6,8.0,0.9,1.5,7.1,72.2,69.0
 الحسيمة  Al Hoceima,Bni Ahmed Imoukzan بني احمد اموكزان,17,8.2,8.1,3.8,2.0,8.2,70.6,127.0
شفشاون Chefchaouen,Derdara الدردارة,36,8.2,9.8,4.0,1.2,8.4,63.9,153.0
شفشاون Chefchaouen,Bni Faghloum بني فغلوم,12,8.1,8.7,3.5,1.6,8.1,66.7,151.0
العرائش Larache,Bni Garfett بني كرفط,23,8.0,7.5,1.3,1.7,7.7,52.2,91.0
وزان Ouazzane,Moqrisset مقريصات,39,8.0,6.6,0.9,1.3,8.0,51.3,176.0
شفشاون Chefchaouen,Bni Ahmed Gharbia بني احمد الغربية,22,7.9,8.8,2.5,1.4,6.1,63.6,145.0
Tanger-Assilah طنجة - أصيلة ,HJAR ENNHAL حجر النحل,8,7.9,8.1,0.8,1.9,7.0,87.5,37.0
 الحسيمة  Al Hoceima,Sidi Boutmim سيدي بوتميم,15,7.9,6.7,2.2,1.5,7.5,60.0,123.0
 الحسيمة  Al Hoceima,Taghzout تاغزوت,10,7.8,4.0,2.8,1.4,5.3,20.0,133.0
 الحسيمة  Al Hoceima,Bni Abdallah بني عبد الله,12,7.8,6.0,3.1,1.7,8.1,58.3,117.0
 الحسيمة  Al Hoceima,Tamsaout تامساوت,20,7.6,7.0,5.5,1.5,7.8,65.0,128.0
شفشاون Chefchaouen,Mansoura المنصورة,27,7.5,6.2,4.9,2.0,7.5,74.1,147.0
Tétouan تطوان,Oulad Ali Mansourأولاد علي منصور,13,7.5,4.8,3.0,0.9,6.9,46.2,66.0
Tanger-Assilah طنجة - أصيلة ,Aquouass Briech اقواس برييش,11,7.5,8.9,1.0,1.5,8.6,72.7,42.0
فحص - انجرة Fahs-Anjra,Malloussa ملوسة,17,7.5,7.9,1.1,1.6,6.8,70.6,73.0
العرائش Larache,Zaaroura زعرورة,19,7.4,8.0,1.2,0.8,7.4,73.7,92.0
شفشاون Chefchaouen,باب تازة Bab Taza,20,7.3,6.1,1.7,1.4,7.6,55.0,148.0
وزان Ouazzane,Teroual تروال,29,7.3,6.9,0.7,2.0,7.5,69.0,168.0
العرائش Larache,Souaken السواكن,20,7.2,6.1,1.0,0.9,6.7,60.0,97.0
وزان Ouazzane,Zghira ازغيرة,30,7.2,6.3,0.8,2.1,6.9,73.3,169.0
شفشاون Chefchaouen,Amtar امتار ,28,7.1,0.8,1.3,0.5,7.1,46.4,139.0
Tétouan تطوان,Saddina صدينة,13,7.1,5.0,0.2,5.8,6.5,46.2,59.0
 الحسيمة  Al Hoceima,Zaouiat Sidi Abdelkaderزاوية سيدي عبد القادر,15,7.1,5.0,2.1,1.9,7.0,46.7,115.0
 الحسيمة  Al Hoceima,Imrabten امرابطن,14,7.0,4.4,2.1,1.9,7.0,42.9,114.0
شفشاون Chefchaouen,Tassift تاسيفت,20,7.0,2.1,3.4,0.6,7.3,40.0,161.0
وزان Ouazzane,Ain Beida عين بيضاء,35,7.0,4.6,2.6,1.4,7.5,48.6,177.0
Tétouan تطوان,Bghaghza بغاغزة,25,7.0,7.0,0.6,0.6,6.6,56.0,62.0
وزان Ouazzane,Kalaat Bouqorra قلعة بوقرة,25,6.8,6.5,1.5,2.0,6.7,52.0,178.0
 الحسيمة  Al Hoceima,Bni Boufrah بني بوفراح,25,6.7,4.8,1.5,2.7,6.5,48.0,104.0
Tétouan تطوان,AL Kharroub الخروب,10,6.6,5.4,0.5,1.2,6.6,50.0,57.0
شفشاون Chefchaouen,Tanaqoub تنقوب,41,6.6,4.3,2.1,0.8,6.8,46.3,154.0
وزان Ouazzane,Mzefroune امزفرون,17,6.6,6.0,1.1,0.7,6.1,64.7,164.0
 الحسيمة  Al Hoceima,Bni Hadifa بني حذيفة,7,6.5,5.8,1.2,1.6,6.7,57.1,116.0
وزان Ouazzane,Lamjaara لمجاعرة,31,6.5,6.2,1.0,1.8,6.8,54.8,171.0
شفشاون Chefchaouen,Bni Salah بني صالح,18,6.5,5.0,1.3,1.8,5.0,50.0,149.0
