territoire_id,indicateur,valeur
134,acces_sante_km,14.2
134,acces_route_goudronnee_km,6.8
134,acces_ecole_primaire_km,2.7
134,acces_college_km,14.3
134,pct_douars_sante_plus5km,85.3
119,acces_sante_km,4.7
119,acces_route_goudronnee_km,1.7
119,acces_ecole_primaire_km,1.8
119,acces_college_km,5.2
119,pct_douars_sante_plus5km,45.5
112,acces_sante_km,4.3
112,acces_route_goudronnee_km,1.3
112,acces_ecole_primaire_km,2.2
112,acces_college_km,3.5
112,pct_douars_sante_plus5km,40.0
109,acces_sante_km,10.7
109,acces_route_goudronnee_km,6.5
109,acces_ecole_primaire_km,1.8
109,acces_college_km,10.5
109,pct_douars_sante_plus5km,75.0
107,acces_sante_km,3.5
107,acces_route_goudronnee_km,0.7
107,acces_ecole_primaire_km,0.7
107,acces_college_km,4.0
107,pct_douars_sante_plus5km,27.0
117,acces_sante_km,7.8
117,acces_route_goudronnee_km,3.1
117,acces_ecole_primaire_km,1.7
117,acces_college_km,8.1
117,pct_douars_sante_plus5km,58.3
127,acces_sante_km,8.2
127,acces_route_goudronnee_km,3.8
127,acces_ecole_primaire_km,2.0
127,acces_college_km,8.2
127,pct_douars_sante_plus5km,70.6
122,acces_sante_km,8.7
122,acces_route_goudronnee_km,1.6
122,acces_ecole_primaire_km,1.8
122,acces_college_km,8.7
122,pct_douars_sante_plus5km,66.7
125,acces_sante_km,5.9
125,acces_route_goudronnee_km,3.8
125,acces_ecole_primaire_km,1.0
125,acces_college_km,5.8
125,pct_douars_sante_plus5km,59.1
132,acces_sante_km,15.4
132,acces_route_goudronnee_km,10.3
132,acces_ecole_primaire_km,1.5
132,acces_college_km,15.0
132,pct_douars_sante_plus5km,69.6
104,acces_sante_km,6.7
104,acces_route_goudronnee_km,1.5
104,acces_ecole_primaire_km,2.7
104,acces_college_km,6.5
104,pct_douars_sante_plus5km,48.0
126,acces_sante_km,6.1
126,acces_route_goudronnee_km,2.0
126,acces_ecole_primaire_km,1.5
126,acces_college_km,5.0
126,pct_douars_sante_plus5km,36.4
106,acces_sante_km,5.7
106,acces_route_goudronnee_km,1.6
106,acces_ecole_primaire_km,1.1
106,acces_college_km,5.7
106,pct_douars_sante_plus5km,41.4
116,acces_sante_km,6.5
116,acces_route_goudronnee_km,1.2
116,acces_ecole_primaire_km,1.6
116,acces_college_km,6.7
116,pct_douars_sante_plus5km,57.1
108,acces_sante_km,12.0
108,acces_route_goudronnee_km,4.2
108,acces_ecole_primaire_km,3.8
108,acces_college_km,12.0
108,pct_douars_sante_plus5km,92.9
114,acces_sante_km,7.0
114,acces_route_goudronnee_km,2.1
114,acces_ecole_primaire_km,1.9
114,acces_college_km,7.0
114,pct_douars_sante_plus5km,42.9
131,acces_sante_km,5.6
131,acces_route_goudronnee_km,3.0
131,acces_ecole_primaire_km,2.8
131,acces_college_km,6.1
131,pct_douars_sante_plus5km,54.8
118,acces_sante_km,2.8
118,acces_route_goudronnee_km,0.6
118,acces_ecole_primaire_km,1.9
118,acces_college_km,2.9
118,pct_douars_sante_plus5km,0.0
129,acces_sante_km,10.2
129,acces_route_goudronnee_km,5.6
129,acces_ecole_primaire_km,3.8
129,acces_college_km,10.3
129,pct_douars_sante_plus5km,71.4
113,acces_sante_km,3.5
113,acces_route_goudronnee_km,0.9
113,acces_ecole_primaire_km,1.6
113,acces_college_km,3.0
113,pct_douars_sante_plus5km,0.0
130,acces_sante_km,13.7
130,acces_route_goudronnee_km,2.6
130,acces_ecole_primaire_km,2.5
130,acces_college_km,9.9
130,pct_douars_sante_plus5km,83.3
111,acces_sante_km,12.0
111,acces_route_goudronnee_km,1.2
111,acces_ecole_primaire_km,1.6
111,acces_college_km,11.5
111,pct_douars_sante_plus5km,60.0
120,acces_sante_km,4.5
120,acces_route_goudronnee_km,1.0
120,acces_ecole_primaire_km,2.6
120,acces_college_km,4.6
120,pct_douars_sante_plus5km,40.9
105,acces_sante_km,5.6
105,acces_route_goudronnee_km,1.5
105,acces_ecole_primaire_km,1.7
105,acces_college_km,6.3
105,pct_douars_sante_plus5km,51.6
123,acces_sante_km,7.9
123,acces_route_goudronnee_km,2.2
123,acces_ecole_primaire_km,1.5
123,acces_college_km,7.5
123,pct_douars_sante_plus5km,60.0
121,acces_sante_km,3.0
121,acces_route_goudronnee_km,1.5
121,acces_ecole_primaire_km,1.2
121,acces_college_km,3.0
121,pct_douars_sante_plus5km,25.0
133,acces_sante_km,7.8
133,acces_route_goudronnee_km,2.8
133,acces_ecole_primaire_km,1.4
133,acces_college_km,5.3
133,pct_douars_sante_plus5km,20.0
128,acces_sante_km,7.6
128,acces_route_goudronnee_km,5.5
128,acces_ecole_primaire_km,1.5
128,acces_college_km,7.8
128,pct_douars_sante_plus5km,65.0
110,acces_sante_km,31.2
110,acces_route_goudronnee_km,0.6
110,acces_ecole_primaire_km,1.5
110,acces_college_km,7.4
110,pct_douars_sante_plus5km,88.9
115,acces_sante_km,7.1
115,acces_route_goudronnee_km,2.1
115,acces_ecole_primaire_km,1.9
115,acces_college_km,7.0
115,pct_douars_sante_plus5km,46.7
124,acces_sante_km,10.2
124,acces_route_goudronnee_km,0.8
124,acces_ecole_primaire_km,1.3
124,acces_college_km,10.2
124,pct_douars_sante_plus5km,68.4
49,acces_sante_km,9.2
49,acces_route_goudronnee_km,3.2
49,acces_ecole_primaire_km,1.6
49,acces_college_km,9.2
49,pct_douars_sante_plus5km,69.2
50,acces_sante_km,4.3
50,acces_route_goudronnee_km,1.3
50,acces_ecole_primaire_km,2.5
50,acces_college_km,3.7
50,pct_douars_sante_plus5km,40.0
39,acces_sante_km,3.8
39,acces_route_goudronnee_km,0.5
39,acces_ecole_primaire_km,0.6
39,acces_college_km,4.8
39,pct_douars_sante_plus5km,26.3
42,acces_sante_km,7.5
42,acces_route_goudronnee_km,1.0
42,acces_ecole_primaire_km,1.5
42,acces_college_km,8.6
42,pct_douars_sante_plus5km,72.7
38,acces_sante_km,9.3
38,acces_route_goudronnee_km,0.3
38,acces_ecole_primaire_km,0.6
38,acces_college_km,9.2
38,pct_douars_sante_plus5km,60.0
37,acces_sante_km,7.9
37,acces_route_goudronnee_km,0.8
37,acces_ecole_primaire_km,1.9
37,acces_college_km,7.0
37,pct_douars_sante_plus5km,87.5
43,acces_sante_km,4.4
43,acces_route_goudronnee_km,0.8
43,acces_ecole_primaire_km,1.3
43,acces_college_km,4.5
43,pct_douars_sante_plus5km,46.3
40,acces_sante_km,5.0
40,acces_route_goudronnee_km,0.5
40,acces_ecole_primaire_km,1.2
40,acces_college_km,3.4
40,pct_douars_sante_plus5km,55.6
44,acces_sante_km,5.1
44,acces_route_goudronnee_km,0.9
44,acces_ecole_primaire_km,1.6
44,acces_college_km,5.0
44,pct_douars_sante_plus5km,53.8
41,acces_sante_km,4.0
41,acces_route_goudronnee_km,1.0
41,acces_ecole_primaire_km,1.3
41,acces_college_km,4.0
41,pct_douars_sante_plus5km,35.3
45,acces_sante_km,3.9
45,acces_route_goudronnee_km,0.8
45,acces_ecole_primaire_km,2.2
45,acces_college_km,3.8
45,pct_douars_sante_plus5km,28.6
57,acces_sante_km,6.6
57,acces_route_goudronnee_km,0.5
57,acces_ecole_primaire_km,1.2
57,acces_college_km,6.6
57,pct_douars_sante_plus5km,50.0
53,acces_sante_km,5.5
53,acces_route_goudronnee_km,1.0
53,acces_ecole_primaire_km,1.7
53,acces_college_km,5.5
53,pct_douars_sante_plus5km,46.7
64,acces_sante_km,4.9
64,acces_route_goudronnee_km,1.6
64,acces_ecole_primaire_km,2.0
64,acces_college_km,4.9
64,pct_douars_sante_plus5km,26.7
65,acces_sante_km,9.8
65,acces_route_goudronnee_km,2.8
65,acces_ecole_primaire_km,1.1
65,acces_college_km,9.9
65,pct_douars_sante_plus5km,64.3
69,acces_sante_km,8.6
69,acces_route_goudronnee_km,0.9
69,acces_ecole_primaire_km,1.5
69,acces_college_km,7.1
69,pct_douars_sante_plus5km,72.2
62,acces_sante_km,7.0
62,acces_route_goudronnee_km,0.6
62,acces_ecole_primaire_km,0.6
62,acces_college_km,6.6
62,pct_douars_sante_plus5km,56.0
56,acces_sante_km,6.2
56,acces_route_goudronnee_km,1.1
56,acces_ecole_primaire_km,0.9
56,acces_college_km,6.5
56,pct_douars_sante_plus5km,40.9
61,acces_sante_km,3.5
61,acces_route_goudronnee_km,0.9
61,acces_ecole_primaire_km,0.7
61,acces_college_km,3.5
61,pct_douars_sante_plus5km,22.2
63,acces_sante_km,9.9
63,acces_route_goudronnee_km,4.3
63,acces_ecole_primaire_km,1.2
63,acces_college_km,7.1
63,pct_douars_sante_plus5km,71.4
71,acces_sante_km,4.0
71,acces_route_goudronnee_km,1.7
71,acces_ecole_primaire_km,0.6
71,acces_college_km,4.1
71,pct_douars_sante_plus5km,25.7
67,acces_sante_km,3.7
67,acces_route_goudronnee_km,0.0
67,acces_ecole_primaire_km,1.8
67,acces_college_km,3.0
67,pct_douars_sante_plus5km,25.0
55,acces_sante_km,3.8
55,acces_route_goudronnee_km,0.9
55,acces_ecole_primaire_km,1.6
55,acces_college_km,3.8
55,pct_douars_sante_plus5km,28.6
58,acces_sante_km,5.4
58,acces_route_goudronnee_km,3.3
58,acces_ecole_primaire_km,1.6
58,acces_college_km,5.3
58,pct_douars_sante_plus5km,60.0
66,acces_sante_km,7.5
66,acces_route_goudronnee_km,3.0
66,acces_ecole_primaire_km,0.9
66,acces_college_km,6.9
66,pct_douars_sante_plus5km,46.2
59,acces_sante_km,7.1
59,acces_route_goudronnee_km,0.2
59,acces_ecole_primaire_km,5.8
59,acces_college_km,6.5
59,pct_douars_sante_plus5km,46.2
60,acces_sante_km,19.1
60,acces_route_goudronnee_km,1.4
60,acces_ecole_primaire_km,1.1
60,acces_college_km,14.0
60,pct_douars_sante_plus5km,76.2
54,acces_sante_km,4.4
54,acces_route_goudronnee_km,0.6
54,acces_ecole_primaire_km,1.2
54,acces_college_km,4.4
54,pct_douars_sante_plus5km,42.9
70,acces_sante_km,3.8
