indicateur_id,nom_indicateur,nom_origine,theme,definition,unite,source,annee,statut,table_pg,mode_stockage,colonne_valeur,filtre_indicateur,colonne_territoire,libelle_court,secteur
1,Climat region tta — humidite,humidite,climate,"Climat region tta — humidite. Thème : climate. [Traçabilité : vérifié : Al Hoceïma 2020-2021 = 19,2 °C, identique à l'Annuaire.]",%,"Annuaire Statistique du Maroc (HCP). https://www.hcp.ma/downloads/Annuaire-Statistique-du-Maroc-format-Excel_t22392.html Chapitre 23 — Environnement, tableaux 23-5, 23-6 et 23-7 (stations de la Direction de la Météorologie Nationale).",2020-2024,actif,climate_cleaned_climat_region_tta,long,valeur,humidite,territoire_id,Humidité relative moyenne,Conditions de vie
2,Climat region tta — temp_max,temp_max,climate,"Climat region tta — temp_max. Thème : climate. [Traçabilité : vérifié : Al Hoceïma 2020-2021 = 19,2 °C, identique à l'Annuaire.]",°C,"Annuaire Statistique du Maroc (HCP). https://www.hcp.ma/downloads/Annuaire-Statistique-du-Maroc-format-Excel_t22392.html Chapitre 23 — Environnement, tableaux 23-5, 23-6 et 23-7 (stations de la Direction de la Météorologie Nationale).",2020-2024,actif,climate_cleaned_climat_region_tta,long,valeur,temp_max,territoire_id,Température maximale moyenne,Conditions de vie
3,Climat region tta — temp_min,temp_min,climate,"Climat region tta — temp_min. Thème : climate. [Traçabilité : vérifié : Al Hoceïma 2020-2021 = 19,2 °C, identique à l'Annuaire.]",°C,"Annuaire Statistique du Maroc (HCP). https://www.hcp.ma/downloads/Annuaire-Statistique-du-Maroc-format-Excel_t22392.html Chapitre 23 — Environnement, tableaux 23-5, 23-6 et 23-7 (stations de la Direction de la Météorologie Nationale).",2020-2024,actif,climate_cleaned_climat_region_tta,long,valeur,temp_min,territoire_id,Température minimale moyenne,Conditions de vie
4,temp_moyenne,temp_moyenne,climate,"temp_moyenne. Thème : climate. [Traçabilité : vérifié : Al Hoceïma 2020-2021 = 19,2 °C, identique à l'Annuaire.]",°C,"Annuaire Statistique du Maroc (HCP). https://www.hcp.ma/downloads/Annuaire-Statistique-du-Maroc-format-Excel_t22392.html Chapitre 23 — Environnement, tableaux 23-5, 23-6 et 23-7 (stations de la Direction de la Météorologie Nationale).",2020-2024,actif,climate_cleaned_climat_region_tta,long,valeur,temp_moyenne,territoire_id,Température moyenne,Conditions de vie
5,La base de donn es excel de la migration — entrees,entrees,demography,"La base de donn es excel de la migration — entrees. Thème : demography. [Traçabilité : source RGPH 2024, publication d'octobre 2025.]",nombre,"RGPH 2024 — Base de données de la migration interne, Octobre 2025 (HCP). Méthodologie : document de métadonnées HCP.",2024,actif,demography_cleaned_la_base_de_donn_es_excel_de_la_migration_,long,valeur,entrees,territoire_id,Entrées migratoires (durée de vie),Démographie
6,La base de donn es excel de la migration — indice_entrees (%),indice_entrees (%),demography,"La base de donn es excel de la migration — indice_entrees (%). Thème : demography. [Traçabilité : source RGPH 2024, publication d'octobre 2025.]",%,"RGPH 2024 — Base de données de la migration interne, Octobre 2025 (HCP). Méthodologie : document de métadonnées HCP.",2024,actif,demography_cleaned_la_base_de_donn_es_excel_de_la_migration_,long,valeur,indice_entrees (%),territoire_id,Indice d'entrées migratoires (durée de vie),Démographie
7,La base de donn es excel de la migration — indice_sortie (%),indice_sortie (%),demography,"La base de donn es excel de la migration — indice_sortie (%). Thème : demography. [Traçabilité : source RGPH 2024, publication d'octobre 2025.]",%,"RGPH 2024 — Base de données de la migration interne, Octobre 2025 (HCP). Méthodologie : document de métadonnées HCP.",2024,actif,demography_cleaned_la_base_de_donn_es_excel_de_la_migration_,long,valeur,indice_sortie (%),territoire_id,Indice de sorties migratoires (durée de vie),Démographie
8,La base de donn es excel de la migration — natifs,natifs,demography,"La base de donn es excel de la migration — natifs. Thème : demography. [Traçabilité : source RGPH 2024, publication d'octobre 2025.]",hab,"RGPH 2024 — Base de données de la migration interne, Octobre 2025 (HCP). Méthodologie : document de métadonnées HCP.",2024,actif,demography_cleaned_la_base_de_donn_es_excel_de_la_migration_,long,valeur,natifs,territoire_id,Natifs du territoire,Démographie
9,La base de donn es excel de la migration — natifs_residents_non_migrants,natifs_residents_non_migrants,demography,"La base de donn es excel de la migration — natifs_residents_non_migrants. Thème : demography. [Traçabilité : source RGPH 2024, publication d'octobre 2025.]",hab,"RGPH 2024 — Base de données de la migration interne, Octobre 2025 (HCP). Méthodologie : document de métadonnées HCP.",2024,actif,demography_cleaned_la_base_de_donn_es_excel_de_la_migration_,long,valeur,natifs_residents_non_migrants,territoire_id,Natifs résidant dans leur territoire de naissance,Démographie
10,La base de donn es excel de la migration — population_sedentaire,population_sedentaire,demography,"La base de donn es excel de la migration — population_sedentaire. Thème : demography. [Traçabilité : source RGPH 2024, publication d'octobre 2025.]",hab,"RGPH 2024 — Base de données de la migration interne, Octobre 2025 (HCP). Méthodologie : document de métadonnées HCP.",2024,actif,demography_cleaned_la_base_de_donn_es_excel_de_la_migration_,long,valeur,population_sedentaire,territoire_id,Population sédentaire,Démographie
