province_prefecture,indicateur,valeur,fk_territoire,theme,fichier_source,territoire_id
Tanger - Tétouan - Al Hoceima,Infirmier polyvalent,2005,tanger tetouan al hoceima,sante,cleaned_sante_14__Personnel_paramédical_par_province__ou_préfecture___public.csv,1
Al Hoceima,Infirmier polyvalent,346,al hoceima,sante,cleaned_sante_14__Personnel_paramédical_par_province__ou_préfecture___public.csv,7
Chefchaouen,Infirmier polyvalent,188,chefchaouen,sante,cleaned_sante_14__Personnel_paramédical_par_province__ou_préfecture___public.csv,8
Fahs-Anjra,Infirmier polyvalent,38,fahs anjra,sante,cleaned_sante_14__Personnel_paramédical_par_province__ou_préfecture___public.csv,5
Larache,Infirmier polyvalent,220,larache,sante,cleaned_sante_14__Personnel_paramédical_par_province__ou_préfecture___public.csv,6
Mdiq-Fnideq,Infirmier polyvalent,147,m'diq fnideq,sante,cleaned_sante_14__Personnel_paramédical_par_province__ou_préfecture___public.csv,3
Ouezzane,Infirmier polyvalent,136,ouezzane,sante,cleaned_sante_14__Personnel_paramédical_par_province__ou_préfecture___public.csv,9
Tanger Assilah,Infirmier polyvalent,669,tanger assilah,sante,cleaned_sante_14__Personnel_paramédical_par_province__ou_préfecture___public.csv,2
Tetouan,Infirmier polyvalent,261,tetouan,sante,cleaned_sante_14__Personnel_paramédical_par_province__ou_préfecture___public.csv,4
Tanger - Tétouan - Al Hoceima,Sage femme,794,tanger tetouan al hoceima,sante,cleaned_sante_14__Personnel_paramédical_par_province__ou_préfecture___public.csv,1
Al Hoceima,Sage femme,146,al hoceima,sante,cleaned_sante_14__Personnel_paramédical_par_province__ou_préfecture___public.csv,7
Chefchaouen,Sage femme,79,chefchaouen,sante,cleaned_sante_14__Personnel_paramédical_par_province__ou_préfecture___public.csv,8
Fahs-Anjra,Sage femme,20,fahs anjra,sante,cleaned_sante_14__Personnel_paramédical_par_province__ou_préfecture___public.csv,5
Larache,Sage femme,117,larache,sante,cleaned_sante_14__Personnel_paramédical_par_province__ou_préfecture___public.csv,6
Mdiq-Fnideq,Sage femme,63,m'diq fnideq,sante,cleaned_sante_14__Personnel_paramédical_par_province__ou_préfecture___public.csv,3
Ouezzane,Sage femme,68,ouezzane,sante,cleaned_sante_14__Personnel_paramédical_par_province__ou_préfecture___public.csv,9
Tanger Assilah,Sage femme,215,tanger assilah,sante,cleaned_sante_14__Personnel_paramédical_par_province__ou_préfecture___public.csv,2
Tetouan,Sage femme,86,tetouan,sante,cleaned_sante_14__Personnel_paramédical_par_province__ou_préfecture___public.csv,4
Tanger - Tétouan - Al Hoceima,Autre,1404,tanger tetouan al hoceima,sante,cleaned_sante_14__Personnel_paramédical_par_province__ou_préfecture___public.csv,1
Al Hoceima,Autre,204,al hoceima,sante,cleaned_sante_14__Personnel_paramédical_par_province__ou_préfecture___public.csv,7
Chefchaouen,Autre,93,chefchaouen,sante,cleaned_sante_14__Personnel_paramédical_par_province__ou_préfecture___public.csv,8
Fahs-Anjra,Autre,7,fahs anjra,sante,cleaned_sante_14__Personnel_paramédical_par_province__ou_préfecture___public.csv,5
Larache,Autre,147,larache,sante,cleaned_sante_14__Personnel_paramédical_par_province__ou_préfecture___public.csv,6
Mdiq-Fnideq,Autre,118,m'diq fnideq,sante,cleaned_sante_14__Personnel_paramédical_par_province__ou_préfecture___public.csv,3
Ouezzane,Autre,51,ouezzane,sante,cleaned_sante_14__Personnel_paramédical_par_province__ou_préfecture___public.csv,9
Tanger Assilah,Autre,569,tanger assilah,sante,cleaned_sante_14__Personnel_paramédical_par_province__ou_préfecture___public.csv,2
Tetouan,Autre,215,tetouan,sante,cleaned_sante_14__Personnel_paramédical_par_province__ou_préfecture___public.csv,4
Tanger - Tétouan - Al Hoceima,Total Paramédical,4203,tanger tetouan al hoceima,sante,cleaned_sante_14__Personnel_paramédical_par_province__ou_préfecture___public.csv,1
Al Hoceima,Total Paramédical,696,al hoceima,sante,cleaned_sante_14__Personnel_paramédical_par_province__ou_préfecture___public.csv,7
Chefchaouen,Total Paramédical,360,chefchaouen,sante,cleaned_sante_14__Personnel_paramédical_par_province__ou_préfecture___public.csv,8
Fahs-Anjra,Total Paramédical,65,fahs anjra,sante,cleaned_sante_14__Personnel_paramédical_par_province__ou_préfecture___public.csv,5
Larache,Total Paramédical,484,larache,sante,cleaned_sante_14__Personnel_paramédical_par_province__ou_préfecture___public.csv,6
Mdiq-Fnideq,Total Paramédical,328,m'diq fnideq,sante,cleaned_sante_14__Personnel_paramédical_par_province__ou_préfecture___public.csv,3
Ouezzane,Total Paramédical,255,ouezzane,sante,cleaned_sante_14__Personnel_paramédical_par_province__ou_préfecture___public.csv,9
Tanger Assilah,Total Paramédical,1453,tanger assilah,sante,cleaned_sante_14__Personnel_paramédical_par_province__ou_préfecture___public.csv,2
Tetouan,Total Paramédical,562,tetouan,sante,cleaned_sante_14__Personnel_paramédical_par_province__ou_préfecture___public.csv,4
