province_prefecture,indicateur,valeur,fk_territoire,theme,fichier_source,territoire_id
Tanger - Tétouan - Al Hoceima,Mères décédées,14,tanger tetouan al hoceima,sante,cleaned_sante_18__Accouchements_au_sein_des_formations_sanitaires_publiques_selon_la_province__ou_préfecture_.csv,1
Al Hoceima,Mères décédées,0,al hoceima,sante,cleaned_sante_18__Accouchements_au_sein_des_formations_sanitaires_publiques_selon_la_province__ou_préfecture_.csv,7
Chefchaouen,Mères décédées,1,chefchaouen,sante,cleaned_sante_18__Accouchements_au_sein_des_formations_sanitaires_publiques_selon_la_province__ou_préfecture_.csv,8
Fahs-Anjra,Mères décédées,0,fahs anjra,sante,cleaned_sante_18__Accouchements_au_sein_des_formations_sanitaires_publiques_selon_la_province__ou_préfecture_.csv,5
Larache,Mères décédées,0,larache,sante,cleaned_sante_18__Accouchements_au_sein_des_formations_sanitaires_publiques_selon_la_province__ou_préfecture_.csv,6
Ouezzane,Mères décédées,1,ouezzane,sante,cleaned_sante_18__Accouchements_au_sein_des_formations_sanitaires_publiques_selon_la_province__ou_préfecture_.csv,9
Tanger-Assilah,Mères décédées,10,tanger assilah,sante,cleaned_sante_18__Accouchements_au_sein_des_formations_sanitaires_publiques_selon_la_province__ou_préfecture_.csv,2
Tétouan,Mères décédées,1,tetouan,sante,cleaned_sante_18__Accouchements_au_sein_des_formations_sanitaires_publiques_selon_la_province__ou_préfecture_.csv,4
M'Diq-Fnideq,Mères décédées,1,m'diq fnideq,sante,cleaned_sante_18__Accouchements_au_sein_des_formations_sanitaires_publiques_selon_la_province__ou_préfecture_.csv,3
Tanger - Tétouan - Al Hoceima,Mort-nés,702,tanger tetouan al hoceima,sante,cleaned_sante_18__Accouchements_au_sein_des_formations_sanitaires_publiques_selon_la_province__ou_préfecture_.csv,1
Al Hoceima,Mort-nés,87,al hoceima,sante,cleaned_sante_18__Accouchements_au_sein_des_formations_sanitaires_publiques_selon_la_province__ou_préfecture_.csv,7
Chefchaouen,Mort-nés,82,chefchaouen,sante,cleaned_sante_18__Accouchements_au_sein_des_formations_sanitaires_publiques_selon_la_province__ou_préfecture_.csv,8
Fahs-Anjra,Mort-nés,3,fahs anjra,sante,cleaned_sante_18__Accouchements_au_sein_des_formations_sanitaires_publiques_selon_la_province__ou_préfecture_.csv,5
Larache,Mort-nés,51,larache,sante,cleaned_sante_18__Accouchements_au_sein_des_formations_sanitaires_publiques_selon_la_province__ou_préfecture_.csv,6
Ouezzane,Mort-nés,50,ouezzane,sante,cleaned_sante_18__Accouchements_au_sein_des_formations_sanitaires_publiques_selon_la_province__ou_préfecture_.csv,9
Tanger-Assilah,Mort-nés,257,tanger assilah,sante,cleaned_sante_18__Accouchements_au_sein_des_formations_sanitaires_publiques_selon_la_province__ou_préfecture_.csv,2
Tétouan,Mort-nés,163,tetouan,sante,cleaned_sante_18__Accouchements_au_sein_des_formations_sanitaires_publiques_selon_la_province__ou_préfecture_.csv,4
M'Diq-Fnideq,Mort-nés,9,m'diq fnideq,sante,cleaned_sante_18__Accouchements_au_sein_des_formations_sanitaires_publiques_selon_la_province__ou_préfecture_.csv,3
Tanger - Tétouan - Al Hoceima,Nés vivants,38199,tanger tetouan al hoceima,sante,cleaned_sante_18__Accouchements_au_sein_des_formations_sanitaires_publiques_selon_la_province__ou_préfecture_.csv,1
Al Hoceima,Nés vivants,5113,al hoceima,sante,cleaned_sante_18__Accouchements_au_sein_des_formations_sanitaires_publiques_selon_la_province__ou_préfecture_.csv,7
Chefchaouen,Nés vivants,4453,chefchaouen,sante,cleaned_sante_18__Accouchements_au_sein_des_formations_sanitaires_publiques_selon_la_province__ou_préfecture_.csv,8
Fahs-Anjra,Nés vivants,431,fahs anjra,sante,cleaned_sante_18__Accouchements_au_sein_des_formations_sanitaires_publiques_selon_la_province__ou_préfecture_.csv,5
Larache,Nés vivants,4527,larache,sante,cleaned_sante_18__Accouchements_au_sein_des_formations_sanitaires_publiques_selon_la_province__ou_préfecture_.csv,6
Ouezzane,Nés vivants,3601,ouezzane,sante,cleaned_sante_18__Accouchements_au_sein_des_formations_sanitaires_publiques_selon_la_province__ou_préfecture_.csv,9
Tanger-Assilah,Nés vivants,12489,tanger assilah,sante,cleaned_sante_18__Accouchements_au_sein_des_formations_sanitaires_publiques_selon_la_province__ou_préfecture_.csv,2
Tétouan,Nés vivants,5898,tetouan,sante,cleaned_sante_18__Accouchements_au_sein_des_formations_sanitaires_publiques_selon_la_province__ou_préfecture_.csv,4
M'Diq-Fnideq,Nés vivants,1687,m'diq fnideq,sante,cleaned_sante_18__Accouchements_au_sein_des_formations_sanitaires_publiques_selon_la_province__ou_préfecture_.csv,3
Tanger - Tétouan - Al Hoceima,Césarienne,5204,tanger tetouan al hoceima,sante,cleaned_sante_18__Accouchements_au_sein_des_formations_sanitaires_publiques_selon_la_province__ou_préfecture_.csv,1
Al Hoceima,Césarienne,971,al hoceima,sante,cleaned_sante_18__Accouchements_au_sein_des_formations_sanitaires_publiques_selon_la_province__ou_préfecture_.csv,7
