territoire_brut,fk_territoire,theme,indicateur,valeur,fichier_source,territoire_id
Tanger -Tétouan- Al Hoceima,tanger tetouan al hoceima,sante,Population totale - Urbain,2484032,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,1
Tanger -Tétouan- Al Hoceima,tanger tetouan al hoceima,sante,Population totale - Rural,1520067,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,1
Tanger -Tétouan- Al Hoceima,tanger tetouan al hoceima,sante,Population totale - Ensemble,4004099,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,1
Tanger -Tétouan- Al Hoceima,tanger tetouan al hoceima,sante,Naissances attendues - Urbain,44410,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,1
Tanger -Tétouan- Al Hoceima,tanger tetouan al hoceima,sante,Naissances attendues - Rural,28623,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,1
Tanger -Tétouan- Al Hoceima,tanger tetouan al hoceima,sante,Naissances attendues - Ensemble,73033,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,1
Tanger -Tétouan- Al Hoceima,tanger tetouan al hoceima,sante,Enfants de moins d'un an - Urbain,43668,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,1
Tanger -Tétouan- Al Hoceima,tanger tetouan al hoceima,sante,Enfants de moins d'un an - Rural,28114,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,1
Tanger -Tétouan- Al Hoceima,tanger tetouan al hoceima,sante,Enfants de moins d'un an - Ensemble,71782,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,1
Tanger -Tétouan- Al Hoceima,tanger tetouan al hoceima,sante,Enfants de 12 à 23 mois - Urbain,43305,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,1
Tanger -Tétouan- Al Hoceima,tanger tetouan al hoceima,sante,Enfants de 12 à 23 mois - Rural,27921,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,1
Tanger -Tétouan- Al Hoceima,tanger tetouan al hoceima,sante,Enfants de 12 à 23 mois - Ensemble,71226,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,1
Tanger -Tétouan- Al Hoceima,tanger tetouan al hoceima,sante,Enfants de moins de 5 ans - Urbain,212269,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,1
Tanger -Tétouan- Al Hoceima,tanger tetouan al hoceima,sante,Enfants de moins de 5 ans - Rural,139145,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,1
Tanger -Tétouan- Al Hoceima,tanger tetouan al hoceima,sante,Enfants de moins de 5 ans - Ensemble,351414,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,1
Al Hoceima,al hoceima,sante,Population totale - Urbain,137504,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,7
Al Hoceima,al hoceima,sante,Population totale - Rural,257193,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,7
Al Hoceima,al hoceima,sante,Population totale - Ensemble,394697,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,7
Al Hoceima,al hoceima,sante,Naissances attendues - Urbain,2490,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,7
Al Hoceima,al hoceima,sante,Naissances attendues - Rural,5010,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,7
Al Hoceima,al hoceima,sante,Naissances attendues - Ensemble,7500,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,7
Al Hoceima,al hoceima,sante,Enfants de moins d'un an - Urbain,2447,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,7
Al Hoceima,al hoceima,sante,Enfants de moins d'un an - Rural,4922,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,7
Al Hoceima,al hoceima,sante,Enfants de moins d'un an - Ensemble,7369,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,7
Al Hoceima,al hoceima,sante,Enfants de 12 à 23 mois - Urbain,2427,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,7
Al Hoceima,al hoceima,sante,Enfants de 12 à 23 mois - Rural,4889,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,7
Al Hoceima,al hoceima,sante,Enfants de 12 à 23 mois - Ensemble,7316,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,7
Al Hoceima,al hoceima,sante,Enfants de moins de 5 ans - Urbain,12287,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,7
Al Hoceima,al hoceima,sante,Enfants de moins de 5 ans - Rural,24569,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,7
Al Hoceima,al hoceima,sante,Enfants de moins de 5 ans - Ensemble,36856,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,7
Chefchaouen,chefchaouen,sante,Population totale - Urbain,57310,sante_1_populations_cibles_des_programmes_de_santé_par_milieu__par_province_et_préfecture.xlsx,8
