province_prefecture,indicateur,valeur,fk_territoire,theme,fichier_source,territoire_id
Tanger - Tétouan - Al Hoceima,Journées d'hospitalisation,541478,tanger tetouan al hoceima,sante,cleaned_sante_23__Mouvements_des_malades_dans_les_hôpitaux_publics_selon_la_province__ou_la_préfecture_.csv,1
Al Hoceima,Journées d'hospitalisation,65290,al hoceima,sante,cleaned_sante_23__Mouvements_des_malades_dans_les_hôpitaux_publics_selon_la_province__ou_la_préfecture_.csv,7
Chefchaouen,Journées d'hospitalisation,29208,chefchaouen,sante,cleaned_sante_23__Mouvements_des_malades_dans_les_hôpitaux_publics_selon_la_province__ou_la_préfecture_.csv,8
Larache,Journées d'hospitalisation,24322,larache,sante,cleaned_sante_23__Mouvements_des_malades_dans_les_hôpitaux_publics_selon_la_province__ou_la_préfecture_.csv,6
M'Diq-Fnideq,Journées d'hospitalisation,13165,m'diq fnideq,sante,cleaned_sante_23__Mouvements_des_malades_dans_les_hôpitaux_publics_selon_la_province__ou_la_préfecture_.csv,3
Ouezzane,Journées d'hospitalisation,21210,ouezzane,sante,cleaned_sante_23__Mouvements_des_malades_dans_les_hôpitaux_publics_selon_la_province__ou_la_préfecture_.csv,9
Tanger-Assilah,Journées d'hospitalisation,258705,tanger assilah,sante,cleaned_sante_23__Mouvements_des_malades_dans_les_hôpitaux_publics_selon_la_province__ou_la_préfecture_.csv,2
Tétouan,Journées d'hospitalisation,129578,tetouan,sante,cleaned_sante_23__Mouvements_des_malades_dans_les_hôpitaux_publics_selon_la_province__ou_la_préfecture_.csv,4
Tanger - Tétouan - Al Hoceima,Admissions*,150694,tanger tetouan al hoceima,sante,cleaned_sante_23__Mouvements_des_malades_dans_les_hôpitaux_publics_selon_la_province__ou_la_préfecture_.csv,1
Al Hoceima,Admissions*,17394,al hoceima,sante,cleaned_sante_23__Mouvements_des_malades_dans_les_hôpitaux_publics_selon_la_province__ou_la_préfecture_.csv,7
Chefchaouen,Admissions*,8730,chefchaouen,sante,cleaned_sante_23__Mouvements_des_malades_dans_les_hôpitaux_publics_selon_la_province__ou_la_préfecture_.csv,8
Larache,Admissions*,13255,larache,sante,cleaned_sante_23__Mouvements_des_malades_dans_les_hôpitaux_publics_selon_la_province__ou_la_préfecture_.csv,6
M'Diq-Fnideq,Admissions*,4275,m'diq fnideq,sante,cleaned_sante_23__Mouvements_des_malades_dans_les_hôpitaux_publics_selon_la_province__ou_la_préfecture_.csv,3
Ouezzane,Admissions*,7012,ouezzane,sante,cleaned_sante_23__Mouvements_des_malades_dans_les_hôpitaux_publics_selon_la_province__ou_la_préfecture_.csv,9
