province_prefecture,indicateur,valeur,fk_territoire,theme,fichier_source,territoire_id
Tanger - Tétouan - Al Hoceima,Intervalle de rotation (jour),1.0,tanger tetouan al hoceima,sante,cleaned_sante_24__Statistiques_d_occupation_des_lits_des_hôpitaux_publics_par_province__ou_préfecture_.csv,1
Al Hoceima,Intervalle de rotation (jour),2.9,al hoceima,sante,cleaned_sante_24__Statistiques_d_occupation_des_lits_des_hôpitaux_publics_par_province__ou_préfecture_.csv,7
Chefchaouen,Intervalle de rotation (jour),2.2,chefchaouen,sante,cleaned_sante_24__Statistiques_d_occupation_des_lits_des_hôpitaux_publics_par_province__ou_préfecture_.csv,8
Larache,Intervalle de rotation (jour),2.9,larache,sante,cleaned_sante_24__Statistiques_d_occupation_des_lits_des_hôpitaux_publics_par_province__ou_préfecture_.csv,6
M'Diq-Fnideq,Intervalle de rotation (jour),3.0,m'diq fnideq,sante,cleaned_sante_24__Statistiques_d_occupation_des_lits_des_hôpitaux_publics_par_province__ou_préfecture_.csv,3
Ouezzane,Intervalle de rotation (jour),2.9,ouezzane,sante,cleaned_sante_24__Statistiques_d_occupation_des_lits_des_hôpitaux_publics_par_province__ou_préfecture_.csv,9
Tanger-Assilah,Intervalle de rotation (jour),0.0,tanger assilah,sante,cleaned_sante_24__Statistiques_d_occupation_des_lits_des_hôpitaux_publics_par_province__ou_préfecture_.csv,2
Tétouan,Intervalle de rotation (jour),1.1,tetouan,sante,cleaned_sante_24__Statistiques_d_occupation_des_lits_des_hôpitaux_publics_par_province__ou_préfecture_.csv,4
Tanger - Tétouan - Al Hoceima,Taux de rotation des lits (1),51.3,tanger tetouan al hoceima,sante,cleaned_sante_24__Statistiques_d_occupation_des_lits_des_hôpitaux_publics_par_province__ou_préfecture_.csv,1
Al Hoceima,Taux de rotation des lits (1),51.0,al hoceima,sante,cleaned_sante_24__Statistiques_d_occupation_des_lits_des_hôpitaux_publics_par_province__ou_préfecture_.csv,7
Chefchaouen,Taux de rotation des lits (1),65.6,chefchaouen,sante,cleaned_sante_24__Statistiques_d_occupation_des_lits_des_hôpitaux_publics_par_province__ou_préfecture_.csv,8
Larache,Taux de rotation des lits (1),65.3,larache,sante,cleaned_sante_24__Statistiques_d_occupation_des_lits_des_hôpitaux_publics_par_province__ou_préfecture_.csv,6
M'Diq-Fnideq,Taux de rotation des lits (1),57.0,m'diq fnideq,sante,cleaned_sante_24__Statistiques_d_occupation_des_lits_des_hôpitaux_publics_par_province__ou_préfecture_.csv,3
Ouezzane,Taux de rotation des lits (1),62.1,ouezzane,sante,cleaned_sante_24__Statistiques_d_occupation_des_lits_des_hôpitaux_publics_par_province__ou_préfecture_.csv,9
Tanger-Assilah,Taux de rotation des lits (1),50.7,tanger assilah,sante,cleaned_sante_24__Statistiques_d_occupation_des_lits_des_hôpitaux_publics_par_province__ou_préfecture_.csv,2
Tétouan,Taux de rotation des lits (1),40.8,tetouan,sante,cleaned_sante_24__Statistiques_d_occupation_des_lits_des_hôpitaux_publics_par_province__ou_préfecture_.csv,4
