territoire_brut,fk_territoire,theme,indicateur,valeur,fichier_source,territoire_id
Al Hoceima,al hoceima,sante,essp_csr1,12,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,7.0
Al Hoceima,al hoceima,sante,essp_csr2,19,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,7.0
Al Hoceima,al hoceima,sante,essp_dr,17,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,7.0
Al Hoceima,al hoceima,sante,essp_total,48,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,7.0
Al Hoceima,al hoceima,sante,essp_csu1,10,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,7.0
Al Hoceima,al hoceima,sante,essp_csu2,3,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,7.0
Al Hoceima,al hoceima,sante,essp_urbain_total,13,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,7.0
Al Hoceima,al hoceima,sante,essp_total_global,61,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,7.0
Al Hoceima,al hoceima,sante,cdtmr_total,1,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,7.0
Al Hoceima,al hoceima,sante,crsr_total,1,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,7.0
Al Hoceima,al hoceima,sante,lsp_total,1,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,7.0
Al Hoceima,al hoceima,sante,structures_appui_total,3,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,7.0
Al Hoceima,al hoceima,sante,total_general,64,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,7.0
Chefchaouen,chefchaouen,sante,essp_csr1,12,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,8.0
Chefchaouen,chefchaouen,sante,essp_csr2,15,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,8.0
Chefchaouen,chefchaouen,sante,essp_dr,22,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,8.0
Chefchaouen,chefchaouen,sante,essp_total,49,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,8.0
Chefchaouen,chefchaouen,sante,essp_csu1,4,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,8.0
Chefchaouen,chefchaouen,sante,essp_csu2,0,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,8.0
Chefchaouen,chefchaouen,sante,essp_urbain_total,4,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,8.0
Chefchaouen,chefchaouen,sante,essp_total_global,53,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,8.0
Chefchaouen,chefchaouen,sante,cdtmr_total,1,sante_3__Répartition_des_ESSP_par_région__par_provincepréfecture__par_milieu_et_par_catégorie__année_2023.xlsx,8.0
