territoire_brut,fk_territoire,theme,indicateur,valeur,fichier_source,territoire_id
Al Hoceima,al hoceima,sante,centres_addictologie,0,sante_5__Répartition_des_structures_de_REMS_par_région_et_par_provincepréfecture__année_2023.xlsx,7.0
Al Hoceima,al hoceima,sante,centres_reeducation,1,sante_5__Répartition_des_structures_de_REMS_par_région_et_par_provincepréfecture__année_2023.xlsx,7.0
Al Hoceima,al hoceima,sante,centres_appareillage,1,sante_5__Répartition_des_structures_de_REMS_par_région_et_par_provincepréfecture__année_2023.xlsx,7.0
Al Hoceima,al hoceima,sante,centres_medico_universitaires,0,sante_5__Répartition_des_structures_de_REMS_par_région_et_par_provincepréfecture__année_2023.xlsx,7.0
Al Hoceima,al hoceima,sante,espace_sante_jeunes,3,sante_5__Répartition_des_structures_de_REMS_par_région_et_par_provincepréfecture__année_2023.xlsx,7.0
Al Hoceima,al hoceima,sante,total_general,5,sante_5__Répartition_des_structures_de_REMS_par_région_et_par_provincepréfecture__année_2023.xlsx,7.0
Chefchaouen,chefchaouen,sante,centres_addictologie,0,sante_5__Répartition_des_structures_de_REMS_par_région_et_par_provincepréfecture__année_2023.xlsx,8.0
Chefchaouen,chefchaouen,sante,centres_reeducation,0,sante_5__Répartition_des_structures_de_REMS_par_région_et_par_provincepréfecture__année_2023.xlsx,8.0
Chefchaouen,chefchaouen,sante,centres_appareillage,0,sante_5__Répartition_des_structures_de_REMS_par_région_et_par_provincepréfecture__année_2023.xlsx,8.0
Chefchaouen,chefchaouen,sante,centres_medico_universitaires,0,sante_5__Répartition_des_structures_de_REMS_par_région_et_par_provincepréfecture__année_2023.xlsx,8.0
Chefchaouen,chefchaouen,sante,espace_sante_jeunes,0,sante_5__Répartition_des_structures_de_REMS_par_région_et_par_provincepréfecture__année_2023.xlsx,8.0
Chefchaouen,chefchaouen,sante,total_general,0,sante_5__Répartition_des_structures_de_REMS_par_région_et_par_provincepréfecture__année_2023.xlsx,8.0
Fahs-Anjra,fahs anjra,sante,centres_addictologie,0,sante_5__Répartition_des_structures_de_REMS_par_région_et_par_provincepréfecture__année_2023.xlsx,5.0
Fahs-Anjra,fahs anjra,sante,centres_reeducation,0,sante_5__Répartition_des_structures_de_REMS_par_région_et_par_provincepréfecture__année_2023.xlsx,5.0
Fahs-Anjra,fahs anjra,sante,centres_appareillage,0,sante_5__Répartition_des_structures_de_REMS_par_région_et_par_provincepréfecture__année_2023.xlsx,5.0
Fahs-Anjra,fahs anjra,sante,centres_medico_universitaires,0,sante_5__Répartition_des_structures_de_REMS_par_région_et_par_provincepréfecture__année_2023.xlsx,5.0
Fahs-Anjra,fahs anjra,sante,espace_sante_jeunes,0,sante_5__Répartition_des_structures_de_REMS_par_région_et_par_provincepréfecture__année_2023.xlsx,5.0
Fahs-Anjra,fahs anjra,sante,total_general,0,sante_5__Répartition_des_structures_de_REMS_par_région_et_par_provincepréfecture__année_2023.xlsx,5.0
Larache,larache,sante,centres_addictologie,0,sante_5__Répartition_des_structures_de_REMS_par_région_et_par_provincepréfecture__année_2023.xlsx,6.0
Larache,larache,sante,centres_reeducation,0,sante_5__Répartition_des_structures_de_REMS_par_région_et_par_provincepréfecture__année_2023.xlsx,6.0
Larache,larache,sante,centres_appareillage,0,sante_5__Répartition_des_structures_de_REMS_par_région_et_par_provincepréfecture__année_2023.xlsx,6.0
Larache,larache,sante,centres_medico_universitaires,1,sante_5__Répartition_des_structures_de_REMS_par_région_et_par_provincepréfecture__année_2023.xlsx,6.0
Larache,larache,sante,espace_sante_jeunes,0,sante_5__Répartition_des_structures_de_REMS_par_région_et_par_provincepréfecture__année_2023.xlsx,6.0
Larache,larache,sante,total_general,1,sante_5__Répartition_des_structures_de_REMS_par_région_et_par_provincepréfecture__année_2023.xlsx,6.0
