territoire_brut,fk_territoire,theme,indicateur,valeur,fichier_source,territoire_id
Al Hoceima,al hoceima,sante,nombre_samu,0,sante_6__Répartition_des_structures_de_RISUM_par_région__par_provincepréfecture_et_par_catégorie__année_2023.xlsx,7
Al Hoceima,al hoceima,sante,ump_mtsb,1,sante_6__Répartition_des_structures_de_RISUM_par_région__par_provincepréfecture_et_par_catégorie__année_2023.xlsx,7
Al Hoceima,al hoceima,sante,ump_smur,26,sante_6__Répartition_des_structures_de_RISUM_par_région__par_provincepréfecture_et_par_catégorie__année_2023.xlsx,7
Al Hoceima,al hoceima,sante,ump_total,28,sante_6__Répartition_des_structures_de_RISUM_par_région__par_provincepréfecture_et_par_catégorie__année_2023.xlsx,7
Chefchaouen,chefchaouen,sante,nombre_samu,0,sante_6__Répartition_des_structures_de_RISUM_par_région__par_provincepréfecture_et_par_catégorie__année_2023.xlsx,8
Chefchaouen,chefchaouen,sante,ump_mtsb,5,sante_6__Répartition_des_structures_de_RISUM_par_région__par_provincepréfecture_et_par_catégorie__année_2023.xlsx,8
Chefchaouen,chefchaouen,sante,ump_smur,15,sante_6__Répartition_des_structures_de_RISUM_par_région__par_provincepréfecture_et_par_catégorie__année_2023.xlsx,8
Chefchaouen,chefchaouen,sante,ump_total,15,sante_6__Répartition_des_structures_de_RISUM_par_région__par_provincepréfecture_et_par_catégorie__année_2023.xlsx,8
Fahs-Anjra,fahs anjra,sante,nombre_samu,0,sante_6__Répartition_des_structures_de_RISUM_par_région__par_provincepréfecture_et_par_catégorie__année_2023.xlsx,5
Fahs-Anjra,fahs anjra,sante,ump_mtsb,1,sante_6__Répartition_des_structures_de_RISUM_par_région__par_provincepréfecture_et_par_catégorie__année_2023.xlsx,5
Fahs-Anjra,fahs anjra,sante,ump_smur,8,sante_6__Répartition_des_structures_de_RISUM_par_région__par_provincepréfecture_et_par_catégorie__année_2023.xlsx,5
Fahs-Anjra,fahs anjra,sante,ump_total,8,sante_6__Répartition_des_structures_de_RISUM_par_région__par_provincepréfecture_et_par_catégorie__année_2023.xlsx,5
Larache,larache,sante,nombre_samu,0,sante_6__Répartition_des_structures_de_RISUM_par_région__par_provincepréfecture_et_par_catégorie__année_2023.xlsx,6
Larache,larache,sante,ump_mtsb,0,sante_6__Répartition_des_structures_de_RISUM_par_région__par_provincepréfecture_et_par_catégorie__année_2023.xlsx,6
Larache,larache,sante,ump_smur,7,sante_6__Répartition_des_structures_de_RISUM_par_région__par_provincepréfecture_et_par_catégorie__année_2023.xlsx,6
Larache,larache,sante,ump_total,7,sante_6__Répartition_des_structures_de_RISUM_par_région__par_provincepréfecture_et_par_catégorie__année_2023.xlsx,6
Ouezzane,ouezzane,sante,nombre_samu,0,sante_6__Répartition_des_structures_de_RISUM_par_région__par_provincepréfecture_et_par_catégorie__année_2023.xlsx,9
Ouezzane,ouezzane,sante,ump_mtsb,1,sante_6__Répartition_des_structures_de_RISUM_par_région__par_provincepréfecture_et_par_catégorie__année_2023.xlsx,9
Ouezzane,ouezzane,sante,ump_smur,18,sante_6__Répartition_des_structures_de_RISUM_par_région__par_provincepréfecture_et_par_catégorie__année_2023.xlsx,9
Ouezzane,ouezzane,sante,ump_total,18,sante_6__Répartition_des_structures_de_RISUM_par_région__par_provincepréfecture_et_par_catégorie__année_2023.xlsx,9
Tanger-Assilah,tanger assilah,sante,nombre_samu,1,sante_6__Répartition_des_structures_de_RISUM_par_région__par_provincepréfecture_et_par_catégorie__année_2023.xlsx,2
Tanger-Assilah,tanger assilah,sante,ump_mtsb,0,sante_6__Répartition_des_structures_de_RISUM_par_région__par_provincepréfecture_et_par_catégorie__année_2023.xlsx,2
Tanger-Assilah,tanger assilah,sante,ump_smur,11,sante_6__Répartition_des_structures_de_RISUM_par_région__par_provincepréfecture_et_par_catégorie__année_2023.xlsx,2
Tanger-Assilah,tanger assilah,sante,ump_total,17,sante_6__Répartition_des_structures_de_RISUM_par_région__par_provincepréfecture_et_par_catégorie__année_2023.xlsx,2
Tétouan,tetouan,sante,nombre_samu,0,sante_6__Répartition_des_structures_de_RISUM_par_région__par_provincepréfecture_et_par_catégorie__année_2023.xlsx,4
Tétouan,tetouan,sante,ump_mtsb,4,sante_6__Répartition_des_structures_de_RISUM_par_région__par_provincepréfecture_et_par_catégorie__année_2023.xlsx,4
Tétouan,tetouan,sante,ump_smur,20,sante_6__Répartition_des_structures_de_RISUM_par_région__par_provincepréfecture_et_par_catégorie__année_2023.xlsx,4
Tétouan,tetouan,sante,ump_total,22,sante_6__Répartition_des_structures_de_RISUM_par_région__par_provincepréfecture_et_par_catégorie__année_2023.xlsx,4
M'Diq-Fnideq,m'diq fnideq,sante,nombre_samu,0,sante_6__Répartition_des_structures_de_RISUM_par_région__par_provincepréfecture_et_par_catégorie__année_2023.xlsx,3
M'Diq-Fnideq,m'diq fnideq,sante,ump_mtsb,0,sante_6__Répartition_des_structures_de_RISUM_par_région__par_provincepréfecture_et_par_catégorie__année_2023.xlsx,3
M'Diq-Fnideq,m'diq fnideq,sante,ump_smur,10,sante_6__Répartition_des_structures_de_RISUM_par_région__par_provincepréfecture_et_par_catégorie__année_2023.xlsx,3
M'Diq-Fnideq,m'diq fnideq,sante,ump_total,11,sante_6__Répartition_des_structures_de_RISUM_par_région__par_provincepréfecture_et_par_catégorie__année_2023.xlsx,3
Tanger-Tétouan-Al Hoceima,tanger tetouan al hoceima,sante,nombre_samu,1,sante_6__Répartition_des_structures_de_RISUM_par_région__par_provincepréfecture_et_par_catégorie__année_2023.xlsx,1
Tanger-Tétouan-Al Hoceima,tanger tetouan al hoceima,sante,ump_mtsb,12,sante_6__Répartition_des_structures_de_RISUM_par_région__par_provincepréfecture_et_par_catégorie__année_2023.xlsx,1
Tanger-Tétouan-Al Hoceima,tanger tetouan al hoceima,sante,ump_smur,115,sante_6__Répartition_des_structures_de_RISUM_par_région__par_provincepréfecture_et_par_catégorie__année_2023.xlsx,1
Tanger-Tétouan-Al Hoceima,tanger tetouan al hoceima,sante,ump_total,126,sante_6__Répartition_des_structures_de_RISUM_par_région__par_provincepréfecture_et_par_catégorie__année_2023.xlsx,1
