territoire_brut,fk_territoire,theme,indicateur,valeur,fichier_source,territoire_id
Al Hoceima,al hoceima,sante,Cliniques Privées à but lucratif - Nombre de lits,36,sante_7_Répartition_des_types_de_cliniques_privées_par_région_et_par_provincepréfecture__année_2023.xlsx,7
Al Hoceima,al hoceima,sante,Cliniques Privées à but lucratif - Nombre de cliniques,2,sante_7_Répartition_des_types_de_cliniques_privées_par_région_et_par_provincepréfecture__année_2023.xlsx,7
Al Hoceima,al hoceima,sante,Cliniques Privées à but non lucratif - Nombre de lits,0,sante_7_Répartition_des_types_de_cliniques_privées_par_région_et_par_provincepréfecture__année_2023.xlsx,7
Al Hoceima,al hoceima,sante,Cliniques Privées à but non lucratif - Nombre de cliniques,0,sante_7_Répartition_des_types_de_cliniques_privées_par_région_et_par_provincepréfecture__année_2023.xlsx,7
Al Hoceima,al hoceima,sante,Total - Nombre de lits,36,sante_7_Répartition_des_types_de_cliniques_privées_par_région_et_par_provincepréfecture__année_2023.xlsx,7
Al Hoceima,al hoceima,sante,Total - Nombre de cliniques,2,sante_7_Répartition_des_types_de_cliniques_privées_par_région_et_par_provincepréfecture__année_2023.xlsx,7
Chefchaouen,chefchaouen,sante,Cliniques Privées à but lucratif - Nombre de lits,0,sante_7_Répartition_des_types_de_cliniques_privées_par_région_et_par_provincepréfecture__année_2023.xlsx,8
Chefchaouen,chefchaouen,sante,Cliniques Privées à but lucratif - Nombre de cliniques,0,sante_7_Répartition_des_types_de_cliniques_privées_par_région_et_par_provincepréfecture__année_2023.xlsx,8
Chefchaouen,chefchaouen,sante,Cliniques Privées à but non lucratif - Nombre de lits,0,sante_7_Répartition_des_types_de_cliniques_privées_par_région_et_par_provincepréfecture__année_2023.xlsx,8
Chefchaouen,chefchaouen,sante,Cliniques Privées à but non lucratif - Nombre de cliniques,0,sante_7_Répartition_des_types_de_cliniques_privées_par_région_et_par_provincepréfecture__année_2023.xlsx,8
Chefchaouen,chefchaouen,sante,Total - Nombre de lits,0,sante_7_Répartition_des_types_de_cliniques_privées_par_région_et_par_provincepréfecture__année_2023.xlsx,8
Chefchaouen,chefchaouen,sante,Total - Nombre de cliniques,0,sante_7_Répartition_des_types_de_cliniques_privées_par_région_et_par_provincepréfecture__année_2023.xlsx,8
Fahs-Anjra,fahs anjra,sante,Cliniques Privées à but lucratif - Nombre de lits,0,sante_7_Répartition_des_types_de_cliniques_privées_par_région_et_par_provincepréfecture__année_2023.xlsx,5
Fahs-Anjra,fahs anjra,sante,Cliniques Privées à but lucratif - Nombre de cliniques,0,sante_7_Répartition_des_types_de_cliniques_privées_par_région_et_par_provincepréfecture__année_2023.xlsx,5
Fahs-Anjra,fahs anjra,sante,Cliniques Privées à but non lucratif - Nombre de lits,0,sante_7_Répartition_des_types_de_cliniques_privées_par_région_et_par_provincepréfecture__année_2023.xlsx,5
Fahs-Anjra,fahs anjra,sante,Cliniques Privées à but non lucratif - Nombre de cliniques,0,sante_7_Répartition_des_types_de_cliniques_privées_par_région_et_par_provincepréfecture__année_2023.xlsx,5
Fahs-Anjra,fahs anjra,sante,Total - Nombre de lits,0,sante_7_Répartition_des_types_de_cliniques_privées_par_région_et_par_provincepréfecture__année_2023.xlsx,5
Fahs-Anjra,fahs anjra,sante,Total - Nombre de cliniques,0,sante_7_Répartition_des_types_de_cliniques_privées_par_région_et_par_provincepréfecture__année_2023.xlsx,5
Larache,larache,sante,Cliniques Privées à but lucratif - Nombre de lits,98,sante_7_Répartition_des_types_de_cliniques_privées_par_région_et_par_provincepréfecture__année_2023.xlsx,6
Larache,larache,sante,Cliniques Privées à but lucratif - Nombre de cliniques,6,sante_7_Répartition_des_types_de_cliniques_privées_par_région_et_par_provincepréfecture__année_2023.xlsx,6
Larache,larache,sante,Cliniques Privées à but non lucratif - Nombre de lits,0,sante_7_Répartition_des_types_de_cliniques_privées_par_région_et_par_provincepréfecture__année_2023.xlsx,6
Larache,larache,sante,Cliniques Privées à but non lucratif - Nombre de cliniques,0,sante_7_Répartition_des_types_de_cliniques_privées_par_région_et_par_provincepréfecture__année_2023.xlsx,6
Larache,larache,sante,Total - Nombre de lits,98,sante_7_Répartition_des_types_de_cliniques_privées_par_région_et_par_provincepréfecture__année_2023.xlsx,6
Larache,larache,sante,Total - Nombre de cliniques,6,sante_7_Répartition_des_types_de_cliniques_privées_par_région_et_par_provincepréfecture__année_2023.xlsx,6
Ouezzane,ouezzane,sante,Cliniques Privées à but lucratif - Nombre de lits,0,sante_7_Répartition_des_types_de_cliniques_privées_par_région_et_par_provincepréfecture__année_2023.xlsx,9
Ouezzane,ouezzane,sante,Cliniques Privées à but lucratif - Nombre de cliniques,0,sante_7_Répartition_des_types_de_cliniques_privées_par_région_et_par_provincepréfecture__année_2023.xlsx,9
Ouezzane,ouezzane,sante,Cliniques Privées à but non lucratif - Nombre de lits,0,sante_7_Répartition_des_types_de_cliniques_privées_par_région_et_par_provincepréfecture__année_2023.xlsx,9
Ouezzane,ouezzane,sante,Cliniques Privées à but non lucratif - Nombre de cliniques,0,sante_7_Répartition_des_types_de_cliniques_privées_par_région_et_par_provincepréfecture__année_2023.xlsx,9
Ouezzane,ouezzane,sante,Total - Nombre de lits,0,sante_7_Répartition_des_types_de_cliniques_privées_par_région_et_par_provincepréfecture__année_2023.xlsx,9
Ouezzane,ouezzane,sante,Total - Nombre de cliniques,0,sante_7_Répartition_des_types_de_cliniques_privées_par_région_et_par_provincepréfecture__année_2023.xlsx,9
Tanger-Assilah,tanger assilah,sante,Cliniques Privées à but lucratif - Nombre de lits,1096,sante_7_Répartition_des_types_de_cliniques_privées_par_région_et_par_provincepréfecture__année_2023.xlsx,2
Tanger-Assilah,tanger assilah,sante,Cliniques Privées à but lucratif - Nombre de cliniques,25,sante_7_Répartition_des_types_de_cliniques_privées_par_région_et_par_provincepréfecture__année_2023.xlsx,2
Tanger-Assilah,tanger assilah,sante,Cliniques Privées à but non lucratif - Nombre de lits,141,sante_7_Répartition_des_types_de_cliniques_privées_par_région_et_par_provincepréfecture__année_2023.xlsx,2
Tanger-Assilah,tanger assilah,sante,Cliniques Privées à but non lucratif - Nombre de cliniques,4,sante_7_Répartition_des_types_de_cliniques_privées_par_région_et_par_provincepréfecture__année_2023.xlsx,2
Tanger-Assilah,tanger assilah,sante,Total - Nombre de lits,1237,sante_7_Répartition_des_types_de_cliniques_privées_par_région_et_par_provincepréfecture__année_2023.xlsx,2
Tanger-Assilah,tanger assilah,sante,Total - Nombre de cliniques,29,sante_7_Répartition_des_types_de_cliniques_privées_par_région_et_par_provincepréfecture__année_2023.xlsx,2
Tétouan,tetouan,sante,Cliniques Privées à but lucratif - Nombre de lits,306,sante_7_Répartition_des_types_de_cliniques_privées_par_région_et_par_provincepréfecture__année_2023.xlsx,4
Tétouan,tetouan,sante,Cliniques Privées à but lucratif - Nombre de cliniques,6,sante_7_Répartition_des_types_de_cliniques_privées_par_région_et_par_provincepréfecture__année_2023.xlsx,4
Tétouan,tetouan,sante,Cliniques Privées à but non lucratif - Nombre de lits,0,sante_7_Répartition_des_types_de_cliniques_privées_par_région_et_par_provincepréfecture__année_2023.xlsx,4
