territoire_id,indicateur,valeur
134,acces_sante_km,15.0
134,acces_route_goudronnee_km,6.8
134,acces_ecole_primaire_km,2.6
134,acces_college_km,15.0
134,pct_douars_sante_plus5km,85.3
119,acces_sante_km,4.9
119,acces_route_goudronnee_km,1.7
119,acces_ecole_primaire_km,2.0
119,acces_college_km,5.7
119,pct_douars_sante_plus5km,45.5
112,acces_sante_km,4.5
112,acces_route_goudronnee_km,1.3
112,acces_ecole_primaire_km,2.5
112,acces_college_km,4.1
112,pct_douars_sante_plus5km,40.0
109,acces_sante_km,10.5
109,acces_route_goudronnee_km,6.4
109,acces_ecole_primaire_km,1.8
109,acces_college_km,10.1
109,pct_douars_sante_plus5km,75.0
107,acces_sante_km,5.3
107,acces_route_goudronnee_km,1.1
107,acces_ecole_primaire_km,1.0
107,acces_college_km,6.1
107,pct_douars_sante_plus5km,27.0
117,acces_sante_km,6.0
117,acces_route_goudronnee_km,2.0
117,acces_ecole_primaire_km,1.7
117,acces_college_km,6.4
117,pct_douars_sante_plus5km,58.3
127,acces_sante_km,9.9
127,acces_route_goudronnee_km,5.5
127,acces_ecole_primaire_km,2.2
127,acces_college_km,9.9
127,pct_douars_sante_plus5km,70.6
122,acces_sante_km,8.3
122,acces_route_goudronnee_km,1.4
122,acces_ecole_primaire_km,1.7
122,acces_college_km,8.3
122,pct_douars_sante_plus5km,66.7
125,acces_sante_km,7.8
125,acces_route_goudronnee_km,5.2
125,acces_ecole_primaire_km,1.5
125,acces_college_km,7.8
125,pct_douars_sante_plus5km,59.1
132,acces_sante_km,17.3
132,acces_route_goudronnee_km,10.1
132,acces_ecole_primaire_km,1.9
132,acces_college_km,16.3
132,pct_douars_sante_plus5km,69.6
104,acces_sante_km,7.4
104,acces_route_goudronnee_km,1.8
104,acces_ecole_primaire_km,3.0
104,acces_college_km,7.2
104,pct_douars_sante_plus5km,48.0
126,acces_sante_km,8.6
126,acces_route_goudronnee_km,2.8
126,acces_ecole_primaire_km,2.0
126,acces_college_km,8.0
126,pct_douars_sante_plus5km,36.4
106,acces_sante_km,6.2
106,acces_route_goudronnee_km,2.0
106,acces_ecole_primaire_km,1.4
106,acces_college_km,6.3
106,pct_douars_sante_plus5km,41.4
116,acces_sante_km,7.3
116,acces_route_goudronnee_km,1.1
116,acces_ecole_primaire_km,1.5
116,acces_college_km,7.5
116,pct_douars_sante_plus5km,57.1
108,acces_sante_km,12.1
108,acces_route_goudronnee_km,4.2
108,acces_ecole_primaire_km,3.7
108,acces_college_km,12.1
108,pct_douars_sante_plus5km,92.9
114,acces_sante_km,6.1
114,acces_route_goudronnee_km,2.1
114,acces_ecole_primaire_km,2.1
114,acces_college_km,6.2
114,pct_douars_sante_plus5km,42.9
131,acces_sante_km,7.8
131,acces_route_goudronnee_km,4.4
131,acces_ecole_primaire_km,3.0
131,acces_college_km,8.0
131,pct_douars_sante_plus5km,54.8
118,acces_sante_km,2.5
118,acces_route_goudronnee_km,0.6
118,acces_ecole_primaire_km,1.5
118,acces_college_km,2.4
118,pct_douars_sante_plus5km,0.0
129,acces_sante_km,13.6
129,acces_route_goudronnee_km,5.1
129,acces_ecole_primaire_km,3.4
129,acces_college_km,11.3
129,pct_douars_sante_plus5km,71.4
113,acces_sante_km,3.2
113,acces_route_goudronnee_km,0.9
113,acces_ecole_primaire_km,1.5
113,acces_college_km,2.9
113,pct_douars_sante_plus5km,0.0
130,acces_sante_km,12.6
130,acces_route_goudronnee_km,1.8
130,acces_ecole_primaire_km,3.0
130,acces_college_km,9.4
130,pct_douars_sante_plus5km,83.3
111,acces_sante_km,9.7
111,acces_route_goudronnee_km,0.8
111,acces_ecole_primaire_km,1.4
111,acces_college_km,9.5
111,pct_douars_sante_plus5km,60.0
120,acces_sante_km,4.6
120,acces_route_goudronnee_km,1.1
120,acces_ecole_primaire_km,2.8
120,acces_college_km,4.9
120,pct_douars_sante_plus5km,40.9
105,acces_sante_km,6.5
105,acces_route_goudronnee_km,1.8
105,acces_ecole_primaire_km,2.0
105,acces_college_km,7.3
105,pct_douars_sante_plus5km,51.6
123,acces_sante_km,6.2
123,acces_route_goudronnee_km,2.0
123,acces_ecole_primaire_km,1.4
123,acces_college_km,6.0
123,pct_douars_sante_plus5km,60.0
121,acces_sante_km,4.4
121,acces_route_goudronnee_km,1.9
121,acces_ecole_primaire_km,1.8
121,acces_college_km,4.4
121,pct_douars_sante_plus5km,25.0
133,acces_sante_km,14.8
133,acces_route_goudronnee_km,3.3
133,acces_ecole_primaire_km,1.4
133,acces_college_km,5.8
133,pct_douars_sante_plus5km,20.0
128,acces_sante_km,7.2
128,acces_route_goudronnee_km,3.6
128,acces_ecole_primaire_km,1.6
128,acces_college_km,7.4
128,pct_douars_sante_plus5km,65.0
110,acces_sante_km,26.0
110,acces_route_goudronnee_km,0.5
110,acces_ecole_primaire_km,1.8
110,acces_college_km,9.2
110,pct_douars_sante_plus5km,88.9
115,acces_sante_km,6.6
115,acces_route_goudronnee_km,2.0
115,acces_ecole_primaire_km,2.0
115,acces_college_km,6.5
115,pct_douars_sante_plus5km,46.7
124,acces_sante_km,10.8
124,acces_route_goudronnee_km,0.8
124,acces_ecole_primaire_km,1.6
124,acces_college_km,10.8
124,pct_douars_sante_plus5km,68.4
49,acces_sante_km,7.7
49,acces_route_goudronnee_km,2.7
49,acces_ecole_primaire_km,1.7
49,acces_college_km,7.6
49,pct_douars_sante_plus5km,69.2
50,acces_sante_km,3.1
50,acces_route_goudronnee_km,1.1
50,acces_ecole_primaire_km,1.6
50,acces_college_km,2.3
50,pct_douars_sante_plus5km,40.0
39,acces_sante_km,10.7
39,acces_route_goudronnee_km,1.0
39,acces_ecole_primaire_km,1.1
39,acces_college_km,10.4
39,pct_douars_sante_plus5km,26.3
42,acces_sante_km,6.3
42,acces_route_goudronnee_km,1.0
42,acces_ecole_primaire_km,1.7
42,acces_college_km,8.8
42,pct_douars_sante_plus5km,72.7
38,acces_sante_km,13.6
38,acces_route_goudronnee_km,0.5
38,acces_ecole_primaire_km,0.9
38,acces_college_km,13.5
38,pct_douars_sante_plus5km,60.0
37,acces_sante_km,9.3
37,acces_route_goudronnee_km,1.1
37,acces_ecole_primaire_km,2.0
37,acces_college_km,8.4
37,pct_douars_sante_plus5km,87.5
43,acces_sante_km,4.8
43,acces_route_goudronnee_km,0.9
43,acces_ecole_primaire_km,1.4
43,acces_college_km,4.9
43,pct_douars_sante_plus5km,46.3
40,acces_sante_km,5.7
40,acces_route_goudronnee_km,0.6
40,acces_ecole_primaire_km,1.3
40,acces_college_km,3.5
40,pct_douars_sante_plus5km,55.6
44,acces_sante_km,5.2
44,acces_route_goudronnee_km,0.9
44,acces_ecole_primaire_km,1.6
44,acces_college_km,5.1
44,pct_douars_sante_plus5km,53.8
41,acces_sante_km,4.6
41,acces_route_goudronnee_km,1.0
41,acces_ecole_primaire_km,1.6
41,acces_college_km,4.6
41,pct_douars_sante_plus5km,35.3
45,acces_sante_km,4.5
45,acces_route_goudronnee_km,0.8
45,acces_ecole_primaire_km,1.8
45,acces_college_km,4.4
45,pct_douars_sante_plus5km,28.6
57,acces_sante_km,7.2
57,acces_route_goudronnee_km,0.5
57,acces_ecole_primaire_km,1.5
57,acces_college_km,7.2
57,pct_douars_sante_plus5km,50.0
53,acces_sante_km,7.4
53,acces_route_goudronnee_km,0.9
53,acces_ecole_primaire_km,2.0
53,acces_college_km,6.5
53,pct_douars_sante_plus5km,46.7
64,acces_sante_km,6.1
64,acces_route_goudronnee_km,1.4
64,acces_ecole_primaire_km,2.4
64,acces_college_km,6.3
64,pct_douars_sante_plus5km,26.7
65,acces_sante_km,10.5
65,acces_route_goudronnee_km,3.1
65,acces_ecole_primaire_km,1.1
65,acces_college_km,10.5
65,pct_douars_sante_plus5km,64.3
69,acces_sante_km,8.2
69,acces_route_goudronnee_km,0.6
69,acces_ecole_primaire_km,1.2
69,acces_college_km,5.4
69,pct_douars_sante_plus5km,72.2
62,acces_sante_km,7.7
62,acces_route_goudronnee_km,0.6
62,acces_ecole_primaire_km,0.7
62,acces_college_km,7.4
62,pct_douars_sante_plus5km,56.0
56,acces_sante_km,8.0
56,acces_route_goudronnee_km,1.5
56,acces_ecole_primaire_km,1.2
56,acces_college_km,8.4
56,pct_douars_sante_plus5km,40.9
61,acces_sante_km,5.1
61,acces_route_goudronnee_km,1.3
61,acces_ecole_primaire_km,0.9
61,acces_college_km,5.1
61,pct_douars_sante_plus5km,22.2
63,acces_sante_km,8.7
63,acces_route_goudronnee_km,3.6
63,acces_ecole_primaire_km,1.4
63,acces_college_km,6.3
63,pct_douars_sante_plus5km,71.4
71,acces_sante_km,3.5
71,acces_route_goudronnee_km,1.3
71,acces_ecole_primaire_km,0.9
71,acces_college_km,3.5
71,pct_douars_sante_plus5km,25.7
67,acces_sante_km,4.0
67,acces_route_goudronnee_km,0.0
67,acces_ecole_primaire_km,1.6
67,acces_college_km,3.2
67,pct_douars_sante_plus5km,25.0
55,acces_sante_km,4.0
55,acces_route_goudronnee_km,1.1
55,acces_ecole_primaire_km,2.0
55,acces_college_km,3.9
55,pct_douars_sante_plus5km,28.6
58,acces_sante_km,7.1
58,acces_route_goudronnee_km,2.6
58,acces_ecole_primaire_km,1.9
58,acces_college_km,5.0
58,pct_douars_sante_plus5km,60.0
66,acces_sante_km,10.3
66,acces_route_goudronnee_km,4.1
66,acces_ecole_primaire_km,1.3
66,acces_college_km,8.7
66,pct_douars_sante_plus5km,46.2
59,acces_sante_km,7.2
59,acces_route_goudronnee_km,0.2
59,acces_ecole_primaire_km,5.1
59,acces_college_km,6.6
59,pct_douars_sante_plus5km,46.2
60,acces_sante_km,13.5
60,acces_route_goudronnee_km,1.4
60,acces_ecole_primaire_km,1.4
60,acces_college_km,10.9
60,pct_douars_sante_plus5km,76.2
54,acces_sante_km,5.1
54,acces_route_goudronnee_km,0.8
54,acces_ecole_primaire_km,1.5
54,acces_college_km,5.1
54,pct_douars_sante_plus5km,42.9
70,acces_sante_km,3.1
70,acces_route_goudronnee_km,0.3
70,acces_ecole_primaire_km,1.1
70,acces_college_km,3.3
70,pct_douars_sante_plus5km,29.4
72,acces_sante_km,7.1
72,acces_route_goudronnee_km,2.7
72,acces_ecole_primaire_km,1.7
72,acces_college_km,7.1
72,pct_douars_sante_plus5km,27.3
68,acces_sante_km,15.8
68,acces_route_goudronnee_km,1.1
68,acces_ecole_primaire_km,3.6
68,acces_college_km,14.4
68,pct_douars_sante_plus5km,64.3
90,acces_sante_km,7.0
90,acces_route_goudronnee_km,2.2
90,acces_ecole_primaire_km,1.6
90,acces_college_km,7.3
90,pct_douars_sante_plus5km,31.7
88,acces_sante_km,6.0
88,acces_route_goudronnee_km,1.4
88,acces_ecole_primaire_km,1.0
88,acces_college_km,5.7
88,pct_douars_sante_plus5km,51.9
91,acces_sante_km,8.0
91,acces_route_goudronnee_km,1.7
91,acces_ecole_primaire_km,1.7
91,acces_college_km,7.9
91,pct_douars_sante_plus5km,52.2
85,acces_sante_km,11.5
85,acces_route_goudronnee_km,1.2
85,acces_ecole_primaire_km,0.8
85,acces_college_km,15.5
85,pct_douars_sante_plus5km,67.9
84,acces_sante_km,4.9
84,acces_route_goudronnee_km,0.7
84,acces_ecole_primaire_km,1.0
84,acces_college_km,3.9
84,pct_douars_sante_plus5km,44.0
82,acces_sante_km,12.2
82,acces_route_goudronnee_km,1.1
82,acces_ecole_primaire_km,1.0
82,acces_college_km,7.6
82,pct_douars_sante_plus5km,85.0
96,acces_sante_km,5.3
96,acces_route_goudronnee_km,1.0
96,acces_ecole_primaire_km,0.7
96,acces_college_km,6.4
96,pct_douars_sante_plus5km,43.8
94,acces_sante_km,7.9
94,acces_route_goudronnee_km,1.9
94,acces_ecole_primaire_km,1.7
94,acces_college_km,8.0
94,pct_douars_sante_plus5km,47.8
95,acces_sante_km,8.2
95,acces_route_goudronnee_km,3.0
95,acces_ecole_primaire_km,1.5
95,acces_college_km,8.2
95,pct_douars_sante_plus5km,53.3
93,acces_sante_km,9.5
93,acces_route_goudronnee_km,1.8
93,acces_ecole_primaire_km,1.0
93,acces_college_km,9.5
93,pct_douars_sante_plus5km,88.9
97,acces_sante_km,6.5
97,acces_route_goudronnee_km,0.9
97,acces_ecole_primaire_km,0.9
97,acces_college_km,5.5
97,pct_douars_sante_plus5km,60.0
87,acces_sante_km,16.9
87,acces_route_goudronnee_km,1.3
87,acces_ecole_primaire_km,0.9
87,acces_college_km,14.5
87,pct_douars_sante_plus5km,65.1
98,acces_sante_km,8.0
98,acces_route_goudronnee_km,0.7
98,acces_ecole_primaire_km,0.9
98,acces_college_km,6.0
98,pct_douars_sante_plus5km,40.0
86,acces_sante_km,10.6
86,acces_route_goudronnee_km,2.6
86,acces_ecole_primaire_km,1.2
86,acces_college_km,10.6
86,pct_douars_sante_plus5km,72.0
89,acces_sante_km,6.7
89,acces_route_goudronnee_km,2.1
89,acces_ecole_primaire_km,0.7
89,acces_college_km,7.1
89,pct_douars_sante_plus5km,48.0
92,acces_sante_km,7.6
92,acces_route_goudronnee_km,1.4
92,acces_ecole_primaire_km,0.9
92,acces_college_km,7.6
92,pct_douars_sante_plus5km,73.7
83,acces_sante_km,6.7
83,acces_route_goudronnee_km,1.5
83,acces_ecole_primaire_km,1.4
83,acces_college_km,6.7
83,pct_douars_sante_plus5km,69.2
139,acces_sante_km,8.0
139,acces_route_goudronnee_km,1.4
139,acces_ecole_primaire_km,0.5
139,acces_college_km,8.0
139,pct_douars_sante_plus5km,46.4
144,acces_sante_km,5.7
144,acces_route_goudronnee_km,2.8
144,acces_ecole_primaire_km,1.1
144,acces_college_km,5.7
144,pct_douars_sante_plus5km,50.0
145,acces_sante_km,8.3
145,acces_route_goudronnee_km,1.9
145,acces_ecole_primaire_km,1.4
145,acces_college_km,6.1
145,pct_douars_sante_plus5km,63.6
158,acces_sante_km,10.5
158,acces_route_goudronnee_km,5.0
158,acces_ecole_primaire_km,1.4
158,acces_college_km,9.5
158,pct_douars_sante_plus5km,62.5
150,acces_sante_km,11.1
150,acces_route_goudronnee_km,1.8
150,acces_ecole_primaire_km,1.3
150,acces_college_km,8.5
150,pct_douars_sante_plus5km,51.6
151,acces_sante_km,8.0
151,acces_route_goudronnee_km,3.7
151,acces_ecole_primaire_km,1.8
151,acces_college_km,8.0
151,pct_douars_sante_plus5km,66.7
157,acces_sante_km,11.6
157,acces_route_goudronnee_km,3.2
157,acces_ecole_primaire_km,1.8
157,acces_college_km,11.5
157,pct_douars_sante_plus5km,78.8
142,acces_sante_km,9.6
142,acces_route_goudronnee_km,4.7
142,acces_ecole_primaire_km,1.9
142,acces_college_km,9.6
142,pct_douars_sante_plus5km,63.3
149,acces_sante_km,6.4
149,acces_route_goudronnee_km,1.4
149,acces_ecole_primaire_km,1.9
149,acces_college_km,5.3
149,pct_douars_sante_plus5km,50.0
156,acces_sante_km,6.8
156,acces_route_goudronnee_km,1.7
156,acces_ecole_primaire_km,1.3
156,acces_college_km,11.8
156,pct_douars_sante_plus5km,49.1
143,acces_sante_km,11.9
143,acces_route_goudronnee_km,9.5
143,acces_ecole_primaire_km,1.6
143,acces_college_km,12.0
143,pct_douars_sante_plus5km,62.8
153,acces_sante_km,10.1
153,acces_route_goudronnee_km,5.0
153,acces_ecole_primaire_km,1.2
153,acces_college_km,10.4
153,pct_douars_sante_plus5km,63.9
152,acces_sante_km,7.1
152,acces_route_goudronnee_km,3.0
152,acces_ecole_primaire_km,1.8
152,acces_college_km,7.0
152,pct_douars_sante_plus5km,65.0
137,acces_sante_km,9.5
137,acces_route_goudronnee_km,5.3
137,acces_ecole_primaire_km,2.4
137,acces_college_km,10.1
137,pct_douars_sante_plus5km,70.8
155,acces_sante_km,6.2
155,acces_route_goudronnee_km,4.1
155,acces_ecole_primaire_km,1.1
155,acces_college_km,8.6
155,pct_douars_sante_plus5km,41.7
140,acces_sante_km,17.7
