territoire_id,indicateur,valeur
1,pop_urbain,2638815.0
1,pop_rural,1391407.0
1,taux_urbanisation,65.48
2,pop_urbain,1402668.0
2,pop_rural,91745.0
2,taux_urbanisation,93.86
3,pop_urbain,240745.0
3,pop_rural,13319.0
3,taux_urbanisation,94.76
4,pop_urbain,440054.0
4,pop_rural,171874.0
4,taux_urbanisation,71.91
5,pop_urbain,3763.0
5,pop_rural,97026.0
5,taux_urbanisation,3.73
6,pop_urbain,275450.0
6,pop_rural,234761.0
6,taux_urbanisation,53.99
7,pop_urbain,138977.0
7,pop_rural,232550.0
7,taux_urbanisation,37.41
8,pop_urbain,62632.0
8,pop_rural,350081.0
8,taux_urbanisation,15.18
9,pop_urbain,74526.0
9,pop_rural,200051.0
9,taux_urbanisation,27.14
