cg,collectivite,fk_territoire,indicateur,valeur,territoire_id
01,Région de Tanger-Tétouan-Al Hoceima,tanger tetouan al hoceima,population_sedentaire,3295450.0,1
01,Région de Tanger-Tétouan-Al Hoceima,tanger tetouan al hoceima,natifs_residents_non_migrants,3017801.0,1
01,Région de Tanger-Tétouan-Al Hoceima,tanger tetouan al hoceima,residents_recents_10ans,3138577.0,1
01,Région de Tanger-Tétouan-Al Hoceima,tanger tetouan al hoceima,entrees,259662.0,1
01,Région de Tanger-Tétouan-Al Hoceima,tanger tetouan al hoceima,indice_entrees (%),7.88,1
01,Région de Tanger-Tétouan-Al Hoceima,tanger tetouan al hoceima,sorties,120775.0,1
01,Région de Tanger-Tétouan-Al Hoceima,tanger tetouan al hoceima,indice_sortie (%),3.85,1
01.511,Préfecture de Tanger-Assilah,tanger assilah,population_sedentaire,1219442.0,2
01.511,Préfecture de Tanger-Assilah,tanger assilah,natifs_residents_non_migrants,884323.0,2
01.511,Préfecture de Tanger-Assilah,tanger assilah,residents_recents_10ans,932612.0,2
01.511,Préfecture de Tanger-Assilah,tanger assilah,entrees,323799.0,2
01.511,Préfecture de Tanger-Assilah,tanger assilah,indice_entrees (%),26.55,2
01.511,Préfecture de Tanger-Assilah,tanger assilah,sorties,48288.0,2
01.511,Préfecture de Tanger-Assilah,tanger assilah,indice_sortie (%),5.18,2
01.511.01.0,Commune de Tanger,tanger assilah,population_sedentaire,1049236.0,34
01.511.01.0,Commune de Tanger,tanger assilah,natifs_residents_non_migrants,741358.0,34
01.511.01.0,Commune de Tanger,tanger assilah,residents_recents_10ans,816257.0,34
01.511.01.0,Commune de Tanger,tanger assilah,entrees,541217.0,34
01.511.01.0,Commune de Tanger,tanger assilah,indice_entrees (%),51.58,34
01.511.01.0,Commune de Tanger,tanger assilah,sorties,114580.0,34
01.511.01.0,Commune de Tanger,tanger assilah,indice_sortie (%),14.04,34
01.511.01.05,Arrondissement de Mghogha,tanger assilah,population_sedentaire,207987.0,180
