collectivite,cg,milieu,fk_territoire,indicateur,valeur,territoire_id
Région de Tanger-Tétouan-Al Hoceima,01,Ensemble,tanger tetouan al hoceima,population,4030222,1.0
Région de Tanger-Tétouan-Al Hoceima,01,Ensemble,tanger tetouan al hoceima,menages,1048860,1.0
Région de Tanger-Tétouan-Al Hoceima,01,Urbain,tanger tetouan al hoceima,population,2638815,1.0
Région de Tanger-Tétouan-Al Hoceima,01,Urbain,tanger tetouan al hoceima,menages,728766,1.0
Région de Tanger-Tétouan-Al Hoceima,01,Rural,tanger tetouan al hoceima,population,1391407,1.0
Région de Tanger-Tétouan-Al Hoceima,01,Rural,tanger tetouan al hoceima,menages,320094,1.0
Région de Tanger-Tétouan-Al Hoceima,01,Ensemble,tanger tetouan al hoceima,population,4030222,1.0
Région de Tanger-Tétouan-Al Hoceima,01,Ensemble,tanger tetouan al hoceima,menages,1048860,1.0
Préfecture de Tanger-Assilah,01.511,Ensemble,tanger assilah,population,1494413,2.0
Préfecture de Tanger-Assilah,01.511,Ensemble,tanger assilah,menages,418844,2.0
Préfecture de M'diq-Fnideq,01.573,Ensemble,m'diq fnideq,population,254064,3.0
Préfecture de M'diq-Fnideq,01.573,Ensemble,m'diq fnideq,menages,67797,3.0
Province de Tétouan,01.571,Ensemble,tetouan,population,611928,4.0
Province de Tétouan,01.571,Ensemble,tetouan,menages,157384,4.0
Province de Fahs-Anjra,01.227,Ensemble,fahs anjra,population,100789,5.0
Province de Fahs-Anjra,01.227,Ensemble,fahs anjra,menages,25160,5.0
Province de Larache,01.331,Ensemble,larache,population,510211,6.0
Province de Larache,01.331,Ensemble,larache,menages,124642,6.0
Province d'Al Hoceima,01.051,Ensemble,al hoceima,population,371527,7.0
Province d'Al Hoceima,01.051,Ensemble,al hoceima,menages,89181,7.0
Province de Chefchaouen,01.151,Ensemble,chefchaouen,population,412713,8.0
Province de Chefchaouen,01.151,Ensemble,chefchaouen,menages,90956,8.0
Province d'Ouezzane,01.405,Ensemble,ouezzane,population,274577,9.0
Province d'Ouezzane,01.405,Ensemble,ouezzane,menages,74896,9.0
Région de Tanger-Tétouan-Al Hoceima,01,Urbain,tanger tetouan al hoceima,population,2638815,1.0
Région de Tanger-Tétouan-Al Hoceima,01,Urbain,tanger tetouan al hoceima,menages,728766,1.0
Préfecture de Tanger-Assilah,01.511,Urbain,tanger assilah,population,1402668,2.0
Préfecture de Tanger-Assilah,01.511,Urbain,tanger assilah,menages,397526,2.0
Préfecture de M'diq-Fnideq,01.573,Urbain,m'diq fnideq,population,240745,3.0
Préfecture de M'diq-Fnideq,01.573,Urbain,m'diq fnideq,menages,64445,3.0
Province de Tétouan,01.571,Urbain,tetouan,population,440054,4.0
Province de Tétouan,01.571,Urbain,tetouan,menages,118489,4.0
Province de Fahs-Anjra,01.227,Urbain,fahs anjra,population,3763,5.0
Province de Fahs-Anjra,01.227,Urbain,fahs anjra,menages,899,5.0
Province de Larache,01.331,Urbain,larache,population,275450,6.0
Province de Larache,01.331,Urbain,larache,menages,72961,6.0
Province d'Al Hoceima,01.051,Urbain,al hoceima,population,138977,7.0
Province d'Al Hoceima,01.051,Urbain,al hoceima,menages,36783,7.0
Province de Chefchaouen,01.151,Urbain,chefchaouen,population,62632,8.0
Province de Chefchaouen,01.151,Urbain,chefchaouen,menages,16611,8.0
Province d'Ouezzane,01.405,Urbain,ouezzane,population,74526,9.0
Province d'Ouezzane,01.405,Urbain,ouezzane,menages,21052,9.0
Région de Tanger-Tétouan-Al Hoceima,01,Rural,tanger tetouan al hoceima,population,1391407,1.0
Région de Tanger-Tétouan-Al Hoceima,01,Rural,tanger tetouan al hoceima,menages,320094,1.0
Préfecture de Tanger-Assilah,01.511,Rural,tanger assilah,population,91745,2.0
Préfecture de Tanger-Assilah,01.511,Rural,tanger assilah,menages,21318,2.0
Préfecture de M'diq-Fnideq,01.573,Rural,m'diq fnideq,population,13319,3.0
Préfecture de M'diq-Fnideq,01.573,Rural,m'diq fnideq,menages,3352,3.0
Province de Tétouan,01.571,Rural,tetouan,population,171874,4.0
Province de Tétouan,01.571,Rural,tetouan,menages,38895,4.0
Province de Fahs-Anjra,01.227,Rural,fahs anjra,population,97026,5.0
Province de Fahs-Anjra,01.227,Rural,fahs anjra,menages,24261,5.0
Province de Larache,01.331,Rural,larache,population,234761,6.0
Province de Larache,01.331,Rural,larache,menages,51681,6.0
Province d'Al Hoceima,01.051,Rural,al hoceima,population,232550,7.0
Province d'Al Hoceima,01.051,Rural,al hoceima,menages,52398,7.0
Province de Chefchaouen,01.151,Rural,chefchaouen,population,350081,8.0
Province de Chefchaouen,01.151,Rural,chefchaouen,menages,74345,8.0
Province d'Ouezzane,01.405,Rural,ouezzane,population,200051,9.0
Province d'Ouezzane,01.405,Rural,ouezzane,menages,53844,9.0
Région de Tanger-Tétouan-Al Hoceima,01,Ensemble,tanger tetouan al hoceima,population,4030222,1.0
Région de Tanger-Tétouan-Al Hoceima,01,Ensemble,tanger tetouan al hoceima,menages,1048860,1.0
Préfecture de Tanger-Assilah,01.511,Ensemble,tanger assilah,population,1494413,2.0
Préfecture de Tanger-Assilah,01.511,Ensemble,tanger assilah,menages,418844,2.0
Commune de Tanger,01.511.01.0,Ensemble,tanger assilah,population,1275428,34.0
Commune de Tanger,01.511.01.0,Ensemble,tanger assilah,menages,362062,34.0
Arrondissement de Mghogha,01.511.01.05,Ensemble,tanger assilah,population,252656,180.0
Arrondissement de Mghogha,01.511.01.05,Ensemble,tanger assilah,menages,70679,180.0
Arrondissement de Souani,01.511.01.06,Ensemble,tanger assilah,population,111772,181.0
Arrondissement de Souani,01.511.01.06,Ensemble,tanger assilah,menages,33489,181.0
Arrondissement de Bni Makada,01.511.01.03,Ensemble,tanger assilah,population,567465,182.0
Arrondissement de Bni Makada,01.511.01.03,Ensemble,tanger assilah,menages,150816,182.0
Arrondissement de Médina,01.511.01.07,Ensemble,tanger assilah,population,343535,183.0
Arrondissement de Médina,01.511.01.07,Ensemble,tanger assilah,menages,107078,183.0
Commune d'Assilah,01.511.01.01,Ensemble,tanger assilah,population,36039,35.0
Commune d'Assilah,01.511.01.01,Ensemble,tanger assilah,menages,9745,35.0
Commune de Gueznaia,01.511.01.09,Ensemble,tanger assilah,population,88676,36.0
Commune de Gueznaia,01.511.01.09,Ensemble,tanger assilah,menages,25039,36.0
Cercle de Tanger,01.511.05,Ensemble,tanger assilah,population,60807,10.0
