code_geo,collectivite,sexe,indicateur,valeur,fk_territoire,territoire_id
1.0,Région de Tanger-Tétouan-Al Hoceima,Ensemble,Population légale,4030222.0,tanger tetouan al hoceima,1.0
1.0,Région de Tanger-Tétouan-Al Hoceima,Ensemble,Population municipale,4008655.0,tanger tetouan al hoceima,1.0
1.0,Région de Tanger-Tétouan-Al Hoceima,Ensemble,Sexe (%) - Masculin,50.8,tanger tetouan al hoceima,1.0
1.0,Région de Tanger-Tétouan-Al Hoceima,Ensemble,Sexe (%) - Féminin,49.2,tanger tetouan al hoceima,1.0
1.0,Région de Tanger-Tétouan-Al Hoceima,Ensemble,Âge quinquennal (%) - 0-4 ans,8.2,tanger tetouan al hoceima,1.0
1.0,Région de Tanger-Tétouan-Al Hoceima,Ensemble,Âge quinquennal (%) - 5-9 ans,9.6,tanger tetouan al hoceima,1.0
1.0,Région de Tanger-Tétouan-Al Hoceima,Ensemble,Âge quinquennal (%) - 10-14 ans,9.4,tanger tetouan al hoceima,1.0
1.0,Région de Tanger-Tétouan-Al Hoceima,Ensemble,Âge quinquennal (%) - 15-19 ans,7.9,tanger tetouan al hoceima,1.0
1.0,Région de Tanger-Tétouan-Al Hoceima,Ensemble,Âge quinquennal (%) - 20-24 ans,7.7,tanger tetouan al hoceima,1.0
1.0,Région de Tanger-Tétouan-Al Hoceima,Ensemble,Âge quinquennal (%) - 25-29 ans,7.7,tanger tetouan al hoceima,1.0
1.0,Région de Tanger-Tétouan-Al Hoceima,Ensemble,Âge quinquennal (%) - 30-34 ans,8.2,tanger tetouan al hoceima,1.0
1.0,Région de Tanger-Tétouan-Al Hoceima,Ensemble,Âge quinquennal (%) - 35-39 ans,7.8,tanger tetouan al hoceima,1.0
1.0,Région de Tanger-Tétouan-Al Hoceima,Ensemble,Âge quinquennal (%) - 40-44 ans,7.0,tanger tetouan al hoceima,1.0
1.0,Région de Tanger-Tétouan-Al Hoceima,Ensemble,Âge quinquennal (%) - 45-49 ans,5.7,tanger tetouan al hoceima,1.0
1.0,Région de Tanger-Tétouan-Al Hoceima,Ensemble,Âge quinquennal (%) - 50-54 ans,5.0,tanger tetouan al hoceima,1.0
1.0,Région de Tanger-Tétouan-Al Hoceima,Ensemble,Âge quinquennal (%) - 55-59 ans,4.1,tanger tetouan al hoceima,1.0
1.0,Région de Tanger-Tétouan-Al Hoceima,Ensemble,Âge quinquennal (%) - 60-64 ans,4.2,tanger tetouan al hoceima,1.0
1.0,Région de Tanger-Tétouan-Al Hoceima,Ensemble,Âge quinquennal (%) - 65-69 ans,2.9,tanger tetouan al hoceima,1.0
1.0,Région de Tanger-Tétouan-Al Hoceima,Ensemble,Âge quinquennal (%) - 70-74 ans,2.1,tanger tetouan al hoceima,1.0
1.0,Région de Tanger-Tétouan-Al Hoceima,Ensemble,Âge quinquennal (%) - 75 ans ou plus,2.6,tanger tetouan al hoceima,1.0
1.0,Région de Tanger-Tétouan-Al Hoceima,Ensemble,Population de 15 ans et plus,2920687.0,tanger tetouan al hoceima,1.0
1.0,Région de Tanger-Tétouan-Al Hoceima,Ensemble,État matrimonial des 15 ans et plus (%) - Célibataire,35.7,tanger tetouan al hoceima,1.0
1.0,Région de Tanger-Tétouan-Al Hoceima,Ensemble,État matrimonial des 15 ans et plus (%) - Marié.e,57.1,tanger tetouan al hoceima,1.0
1.0,Région de Tanger-Tétouan-Al Hoceima,Ensemble,État matrimonial des 15 ans et plus (%) - Divorcé.e,2.7,tanger tetouan al hoceima,1.0
1.0,Région de Tanger-Tétouan-Al Hoceima,Ensemble,État matrimonial des 15 ans et plus (%) - Veuf.ve,4.4,tanger tetouan al hoceima,1.0
1.0,Région de Tanger-Tétouan-Al Hoceima,Ensemble,Âge moyen singulier au mariage,29.0,tanger tetouan al hoceima,1.0
1.0,Région de Tanger-Tétouan-Al Hoceima,Ensemble,Indicateur conjoncturel de fécondité,2.01,tanger tetouan al hoceima,1.0
1.0,Région de Tanger-Tétouan-Al Hoceima,Ensemble,Descendance finale des femmes,2.9,tanger tetouan al hoceima,1.0
1.0,Région de Tanger-Tétouan-Al Hoceima,Ensemble,Population de 7-12 ans,463989.0,tanger tetouan al hoceima,1.0
1.0,Région de Tanger-Tétouan-Al Hoceima,Ensemble,Population de 10 ans et plus,3297227.0,tanger tetouan al hoceima,1.0
1.0,Région de Tanger-Tétouan-Al Hoceima,Ensemble,Population de 15 ans et plus,2920687.0,tanger tetouan al hoceima,1.0
1.0,Région de Tanger-Tétouan-Al Hoceima,Ensemble,Population de 15 ans et plus,2920687.0,tanger tetouan al hoceima,1.0
1.0,Région de Tanger-Tétouan-Al Hoceima,Masculin,Population municipale,2035494.0,tanger tetouan al hoceima,1.0
1.0,Région de Tanger-Tétouan-Al Hoceima,Masculin,Âge quinquennal (%) - 0-4 ans,8.4,tanger tetouan al hoceima,1.0
1.0,Région de Tanger-Tétouan-Al Hoceima,Masculin,Âge quinquennal (%) - 5-9 ans,9.7,tanger tetouan al hoceima,1.0
1.0,Région de Tanger-Tétouan-Al Hoceima,Masculin,Âge quinquennal (%) - 10-14 ans,9.5,tanger tetouan al hoceima,1.0
1.0,Région de Tanger-Tétouan-Al Hoceima,Masculin,Âge quinquennal (%) - 15-19 ans,8.0,tanger tetouan al hoceima,1.0
1.0,Région de Tanger-Tétouan-Al Hoceima,Masculin,Âge quinquennal (%) - 20-24 ans,7.6,tanger tetouan al hoceima,1.0
1.0,Région de Tanger-Tétouan-Al Hoceima,Masculin,Âge quinquennal (%) - 25-29 ans,7.6,tanger tetouan al hoceima,1.0
1.0,Région de Tanger-Tétouan-Al Hoceima,Masculin,Âge quinquennal (%) - 30-34 ans,8.2,tanger tetouan al hoceima,1.0
1.0,Région de Tanger-Tétouan-Al Hoceima,Masculin,Âge quinquennal (%) - 35-39 ans,7.9,tanger tetouan al hoceima,1.0
1.0,Région de Tanger-Tétouan-Al Hoceima,Masculin,Âge quinquennal (%) - 40-44 ans,7.0,tanger tetouan al hoceima,1.0
1.0,Région de Tanger-Tétouan-Al Hoceima,Masculin,Âge quinquennal (%) - 45-49 ans,5.7,tanger tetouan al hoceima,1.0
1.0,Région de Tanger-Tétouan-Al Hoceima,Masculin,Âge quinquennal (%) - 50-54 ans,5.0,tanger tetouan al hoceima,1.0
1.0,Région de Tanger-Tétouan-Al Hoceima,Masculin,Âge quinquennal (%) - 55-59 ans,4.0,tanger tetouan al hoceima,1.0
1.0,Région de Tanger-Tétouan-Al Hoceima,Masculin,Âge quinquennal (%) - 60-64 ans,4.0,tanger tetouan al hoceima,1.0
1.0,Région de Tanger-Tétouan-Al Hoceima,Masculin,Âge quinquennal (%) - 65-69 ans,3.0,tanger tetouan al hoceima,1.0
1.0,Région de Tanger-Tétouan-Al Hoceima,Masculin,Âge quinquennal (%) - 70-74 ans,2.1,tanger tetouan al hoceima,1.0
1.0,Région de Tanger-Tétouan-Al Hoceima,Masculin,Âge quinquennal (%) - 75 ans ou plus,2.4,tanger tetouan al hoceima,1.0
1.0,Région de Tanger-Tétouan-Al Hoceima,Masculin,Population de 15 ans et plus,1473134.0,tanger tetouan al hoceima,1.0
1.0,Région de Tanger-Tétouan-Al Hoceima,Masculin,État matrimonial des 15 ans et plus (%) - Célibataire,41.9,tanger tetouan al hoceima,1.0
1.0,Région de Tanger-Tétouan-Al Hoceima,Masculin,État matrimonial des 15 ans et plus (%) - Marié.e,55.5,tanger tetouan al hoceima,1.0
1.0,Région de Tanger-Tétouan-Al Hoceima,Masculin,État matrimonial des 15 ans et plus (%) - Divorcé.e,1.7,tanger tetouan al hoceima,1.0
1.0,Région de Tanger-Tétouan-Al Hoceima,Masculin,État matrimonial des 15 ans et plus (%) - Veuf.ve,0.9,tanger tetouan al hoceima,1.0
1.0,Région de Tanger-Tétouan-Al Hoceima,Masculin,Âge moyen singulier au mariage,32.6,tanger tetouan al hoceima,1.0
1.0,Région de Tanger-Tétouan-Al Hoceima,Masculin,Population de 7-12 ans,239440.0,tanger tetouan al hoceima,1.0
1.0,Région de Tanger-Tétouan-Al Hoceima,Masculin,Population de 10 ans et plus,1667350.0,tanger tetouan al hoceima,1.0
1.0,Région de Tanger-Tétouan-Al Hoceima,Masculin,Population de 15 ans et plus,1473134.0,tanger tetouan al hoceima,1.0
1.0,Région de Tanger-Tétouan-Al Hoceima,Masculin,Population de 15 ans et plus,1473134.0,tanger tetouan al hoceima,1.0
1.0,Région de Tanger-Tétouan-Al Hoceima,Féminin,Population municipale,1973161.0,tanger tetouan al hoceima,1.0
1.0,Région de Tanger-Tétouan-Al Hoceima,Féminin,Âge quinquennal (%) - 0-4 ans,8.0,tanger tetouan al hoceima,1.0
1.0,Région de Tanger-Tétouan-Al Hoceima,Féminin,Âge quinquennal (%) - 5-9 ans,9.4,tanger tetouan al hoceima,1.0
1.0,Région de Tanger-Tétouan-Al Hoceima,Féminin,Âge quinquennal (%) - 10-14 ans,9.2,tanger tetouan al hoceima,1.0
1.0,Région de Tanger-Tétouan-Al Hoceima,Féminin,Âge quinquennal (%) - 15-19 ans,7.9,tanger tetouan al hoceima,1.0
1.0,Région de Tanger-Tétouan-Al Hoceima,Féminin,Âge quinquennal (%) - 20-24 ans,7.8,tanger tetouan al hoceima,1.0
1.0,Région de Tanger-Tétouan-Al Hoceima,Féminin,Âge quinquennal (%) - 25-29 ans,7.8,tanger tetouan al hoceima,1.0
1.0,Région de Tanger-Tétouan-Al Hoceima,Féminin,Âge quinquennal (%) - 30-34 ans,8.1,tanger tetouan al hoceima,1.0
1.0,Région de Tanger-Tétouan-Al Hoceima,Féminin,Âge quinquennal (%) - 35-39 ans,7.8,tanger tetouan al hoceima,1.0
1.0,Région de Tanger-Tétouan-Al Hoceima,Féminin,Âge quinquennal (%) - 40-44 ans,6.9,tanger tetouan al hoceima,1.0
1.0,Région de Tanger-Tétouan-Al Hoceima,Féminin,Âge quinquennal (%) - 45-49 ans,5.8,tanger tetouan al hoceima,1.0
1.0,Région de Tanger-Tétouan-Al Hoceima,Féminin,Âge quinquennal (%) - 50-54 ans,5.1,tanger tetouan al hoceima,1.0
1.0,Région de Tanger-Tétouan-Al Hoceima,Féminin,Âge quinquennal (%) - 55-59 ans,4.3,tanger tetouan al hoceima,1.0
1.0,Région de Tanger-Tétouan-Al Hoceima,Féminin,Âge quinquennal (%) - 60-64 ans,4.3,tanger tetouan al hoceima,1.0
1.0,Région de Tanger-Tétouan-Al Hoceima,Féminin,Âge quinquennal (%) - 65-69 ans,2.9,tanger tetouan al hoceima,1.0
1.0,Région de Tanger-Tétouan-Al Hoceima,Féminin,Âge quinquennal (%) - 70-74 ans,2.1,tanger tetouan al hoceima,1.0
1.0,Région de Tanger-Tétouan-Al Hoceima,Féminin,Âge quinquennal (%) - 75 ans ou plus,2.7,tanger tetouan al hoceima,1.0
1.0,Région de Tanger-Tétouan-Al Hoceima,Féminin,Population de 15 ans et plus,1447553.0,tanger tetouan al hoceima,1.0
1.0,Région de Tanger-Tétouan-Al Hoceima,Féminin,État matrimonial des 15 ans et plus (%) - Célibataire,29.5,tanger tetouan al hoceima,1.0
1.0,Région de Tanger-Tétouan-Al Hoceima,Féminin,État matrimonial des 15 ans et plus (%) - Marié.e,58.8,tanger tetouan al hoceima,1.0
1.0,Région de Tanger-Tétouan-Al Hoceima,Féminin,État matrimonial des 15 ans et plus (%) - Divorcé.e,3.8,tanger tetouan al hoceima,1.0
1.0,Région de Tanger-Tétouan-Al Hoceima,Féminin,État matrimonial des 15 ans et plus (%) - Veuf.ve,7.9,tanger tetouan al hoceima,1.0
1.0,Région de Tanger-Tétouan-Al Hoceima,Féminin,Âge moyen singulier au mariage,25.3,tanger tetouan al hoceima,1.0
1.0,Région de Tanger-Tétouan-Al Hoceima,Féminin,Indicateur conjoncturel de fécondité,2.01,tanger tetouan al hoceima,1.0
1.0,Région de Tanger-Tétouan-Al Hoceima,Féminin,Descendance finale des femmes,2.9,tanger tetouan al hoceima,1.0
1.0,Région de Tanger-Tétouan-Al Hoceima,Féminin,Population de 7-12 ans,224549.0,tanger tetouan al hoceima,1.0
1.0,Région de Tanger-Tétouan-Al Hoceima,Féminin,Population de 10 ans et plus,1629877.0,tanger tetouan al hoceima,1.0
1.0,Région de Tanger-Tétouan-Al Hoceima,Féminin,Population de 15 ans et plus,1447553.0,tanger tetouan al hoceima,1.0
1.0,Région de Tanger-Tétouan-Al Hoceima,Féminin,Population de 15 ans et plus,1447553.0,tanger tetouan al hoceima,1.0
1511.0,Préfecture de Tanger-Assilah,Ensemble,Population légale,1494413.0,tanger assilah,2.0
1511.0,Préfecture de Tanger-Assilah,Ensemble,Population municipale,1487236.0,tanger assilah,2.0
1511.0,Préfecture de Tanger-Assilah,Ensemble,Sexe (%) - Masculin,50.8,tanger assilah,2.0
1511.0,Préfecture de Tanger-Assilah,Ensemble,Sexe (%) - Féminin,49.2,tanger assilah,2.0
1511.0,Préfecture de Tanger-Assilah,Ensemble,Âge quinquennal (%) - 0-4 ans,8.5,tanger assilah,2.0
1511.0,Préfecture de Tanger-Assilah,Ensemble,Âge quinquennal (%) - 5-9 ans,9.4,tanger assilah,2.0
1511.0,Préfecture de Tanger-Assilah,Ensemble,Âge quinquennal (%) - 10-14 ans,8.8,tanger assilah,2.0
1511.0,Préfecture de Tanger-Assilah,Ensemble,Âge quinquennal (%) - 15-19 ans,7.4,tanger assilah,2.0
1511.0,Préfecture de Tanger-Assilah,Ensemble,Âge quinquennal (%) - 20-24 ans,8.3,tanger assilah,2.0
1511.0,Préfecture de Tanger-Assilah,Ensemble,Âge quinquennal (%) - 25-29 ans,8.9,tanger assilah,2.0
1511.0,Préfecture de Tanger-Assilah,Ensemble,Âge quinquennal (%) - 30-34 ans,9.1,tanger assilah,2.0
1511.0,Préfecture de Tanger-Assilah,Ensemble,Âge quinquennal (%) - 35-39 ans,8.3,tanger assilah,2.0
1511.0,Préfecture de Tanger-Assilah,Ensemble,Âge quinquennal (%) - 40-44 ans,7.1,tanger assilah,2.0
1511.0,Préfecture de Tanger-Assilah,Ensemble,Âge quinquennal (%) - 45-49 ans,5.7,tanger assilah,2.0
1511.0,Préfecture de Tanger-Assilah,Ensemble,Âge quinquennal (%) - 50-54 ans,4.8,tanger assilah,2.0
1511.0,Préfecture de Tanger-Assilah,Ensemble,Âge quinquennal (%) - 55-59 ans,3.7,tanger assilah,2.0
1511.0,Préfecture de Tanger-Assilah,Ensemble,Âge quinquennal (%) - 60-64 ans,3.7,tanger assilah,2.0
1511.0,Préfecture de Tanger-Assilah,Ensemble,Âge quinquennal (%) - 65-69 ans,2.5,tanger assilah,2.0
1511.0,Préfecture de Tanger-Assilah,Ensemble,Âge quinquennal (%) - 70-74 ans,1.8,tanger assilah,2.0
1511.0,Préfecture de Tanger-Assilah,Ensemble,Âge quinquennal (%) - 75 ans ou plus,2.0,tanger assilah,2.0
1511.0,Préfecture de Tanger-Assilah,Ensemble,Population de 15 ans et plus,1089488.0,tanger assilah,2.0
1511.0,Préfecture de Tanger-Assilah,Ensemble,État matrimonial des 15 ans et plus (%) - Célibataire,36.2,tanger assilah,2.0
1511.0,Préfecture de Tanger-Assilah,Ensemble,État matrimonial des 15 ans et plus (%) - Marié.e,56.8,tanger assilah,2.0
1511.0,Préfecture de Tanger-Assilah,Ensemble,État matrimonial des 15 ans et plus (%) - Divorcé.e,3.3,tanger assilah,2.0
1511.0,Préfecture de Tanger-Assilah,Ensemble,État matrimonial des 15 ans et plus (%) - Veuf.ve,3.7,tanger assilah,2.0
1511.0,Préfecture de Tanger-Assilah,Ensemble,Âge moyen singulier au mariage,28.8,tanger assilah,2.0
1511.0,Préfecture de Tanger-Assilah,Ensemble,Indicateur conjoncturel de fécondité,1.94,tanger assilah,2.0
1511.0,Préfecture de Tanger-Assilah,Ensemble,Descendance finale des femmes,2.7,tanger assilah,2.0
1511.0,Préfecture de Tanger-Assilah,Ensemble,Population de 7-12 ans,164700.0,tanger assilah,2.0
1511.0,Préfecture de Tanger-Assilah,Ensemble,Population de 10 ans et plus,1220333.0,tanger assilah,2.0
1511.0,Préfecture de Tanger-Assilah,Ensemble,Population de 15 ans et plus,1089488.0,tanger assilah,2.0
1511.0,Préfecture de Tanger-Assilah,Ensemble,Population de 15 ans et plus,1089488.0,tanger assilah,2.0
1511.0,Préfecture de Tanger-Assilah,Masculin,Population municipale,755166.0,tanger assilah,2.0
1511.0,Préfecture de Tanger-Assilah,Masculin,Âge quinquennal (%) - 0-4 ans,8.7,tanger assilah,2.0
1511.0,Préfecture de Tanger-Assilah,Masculin,Âge quinquennal (%) - 5-9 ans,9.6,tanger assilah,2.0
1511.0,Préfecture de Tanger-Assilah,Masculin,Âge quinquennal (%) - 10-14 ans,8.9,tanger assilah,2.0
1511.0,Préfecture de Tanger-Assilah,Masculin,Âge quinquennal (%) - 15-19 ans,7.4,tanger assilah,2.0
1511.0,Préfecture de Tanger-Assilah,Masculin,Âge quinquennal (%) - 20-24 ans,8.1,tanger assilah,2.0
1511.0,Préfecture de Tanger-Assilah,Masculin,Âge quinquennal (%) - 25-29 ans,8.7,tanger assilah,2.0
1511.0,Préfecture de Tanger-Assilah,Masculin,Âge quinquennal (%) - 30-34 ans,9.1,tanger assilah,2.0
1511.0,Préfecture de Tanger-Assilah,Masculin,Âge quinquennal (%) - 35-39 ans,8.3,tanger assilah,2.0
1511.0,Préfecture de Tanger-Assilah,Masculin,Âge quinquennal (%) - 40-44 ans,7.2,tanger assilah,2.0
1511.0,Préfecture de Tanger-Assilah,Masculin,Âge quinquennal (%) - 45-49 ans,5.6,tanger assilah,2.0
1511.0,Préfecture de Tanger-Assilah,Masculin,Âge quinquennal (%) - 50-54 ans,4.8,tanger assilah,2.0
1511.0,Préfecture de Tanger-Assilah,Masculin,Âge quinquennal (%) - 55-59 ans,3.6,tanger assilah,2.0
1511.0,Préfecture de Tanger-Assilah,Masculin,Âge quinquennal (%) - 60-64 ans,3.5,tanger assilah,2.0
1511.0,Préfecture de Tanger-Assilah,Masculin,Âge quinquennal (%) - 65-69 ans,2.6,tanger assilah,2.0
1511.0,Préfecture de Tanger-Assilah,Masculin,Âge quinquennal (%) - 70-74 ans,1.8,tanger assilah,2.0
1511.0,Préfecture de Tanger-Assilah,Masculin,Âge quinquennal (%) - 75 ans ou plus,1.9,tanger assilah,2.0
1511.0,Préfecture de Tanger-Assilah,Masculin,Population de 15 ans et plus,549547.0,tanger assilah,2.0
1511.0,Préfecture de Tanger-Assilah,Masculin,État matrimonial des 15 ans et plus (%) - Célibataire,42.0,tanger assilah,2.0
