Code,C. sanitaire,Milieu,Province,Type infrastructure,Nombre,territoire_id
5101005,Al Hoceima,Urbain,Al Hoceima,CPBL,1,7
5101005,Al Hoceima,Urbain,Al Hoceima,CPBL,1,7
33101005,Ksar El Kebir,Urbain,Larache,CPBL,1,6
33101005,Ksar El Kebir,Urbain,Larache,CPBL,1,6
33101010,Larache,Urbain,Larache,CPBL,1,6
33101010,Larache,Urbain,Larache,CPBL,1,6
33101010,Larache,Urbain,Larache,CPBL,1,6
33101010,Larache,Urbain,Larache,CPBL,1,6
40501005,Ouezzane,Urbain,Ouezzane,CPBL,1,9
51101010,Bni Makada ,Urbain,Tanger Assilah,CPBL,1,2
51101015,Mghogha ,Urbain,Tanger Assilah,CPBL,1,2
51101015,Mghogha ,Urbain,Tanger Assilah,CPBL,1,2
51101020,Souani ,Urbain,Tanger Assilah,CPBNL,1,2
51101020,Souani ,Urbain,Tanger Assilah,CPBL,1,2
51101020,Souani ,Urbain,Tanger Assilah,CPBL,1,2
51101020,Souani ,Urbain,Tanger Assilah,CPBL,1,2
51101025,Al Madina ,Urbain,Tanger Assilah,CPBL,1,2
51101025,Al Madina ,Urbain,Tanger Assilah,CPBL,1,2
51101025,Al Madina ,Urbain,Tanger Assilah,CPBL,1,2
51101025,Al Madina ,Urbain,Tanger Assilah,CPBL,1,2
51101025,Al Madina ,Urbain,Tanger Assilah,CPBL,1,2
51101025,Al Madina ,Urbain,Tanger Assilah,CPBL,1,2
51101025,Al Madina ,Urbain,Tanger Assilah,CPBL,1,2
51101025,Al Madina ,Urbain,Tanger Assilah,CPBL,1,2
51101025,Al Madina ,Urbain,Tanger Assilah,CPBL,1,2
51101025,Al Madina ,Urbain,Tanger Assilah,CPBL,1,2
51101025,Al Madina ,Urbain,Tanger Assilah,CPBL,1,2
51101025,Al Madina ,Urbain,Tanger Assilah,CPBL,1,2
51101025,Al Madina ,Urbain,Tanger Assilah,CPBL,1,2
51101025,Al Madina ,Urbain,Tanger Assilah,CPBNL,1,2
51101025,Al Madina ,Urbain,Tanger Assilah,CPBNL,1,2
51101025,Al Madina ,Urbain,Tanger Assilah,CPBNL,1,2
51101025,Al Madina ,Urbain,Tanger Assilah,CPBL,1,2
51101025,Al Madina ,Urbain,Tanger Assilah,CPBL,1,2
51101025,Al Madina ,Urbain,Tanger Assilah,CPBL,1,2
51101025,Al Madina ,Urbain,Tanger Assilah,CPBL,1,2
51101025,Al Madina ,Urbain,Tanger Assilah,CPBNL,1,2
51101025,Al Madina ,Urbain,Tanger Assilah,CPBL,1,2
51101030,Gueznaia ,Urbain,Tanger Assilah,CPBL,1,2
57101010,Tetouan,Urbain,Tetouan,CPBL,1,4
57101010,Tetouan,Urbain,Tetouan,CPBL,1,4
57101010,Tetouan,Urbain,Tetouan,CPBL,1,4
57101010,Tetouan,Urbain,Tetouan,CPBL,1,4
57101010,Tetouan,Urbain,Tetouan,CPBL,1,4
57101010,Tetouan,Urbain,Tetouan,CPBL,1,4
57101010,Tetouan,Urbain,Tetouan,CPBL,1,4
