Province,Circ. sanitaire,Commune,Nom,Catégorie,Milieu,territoire_id
Al Hoceima,Arbaa Taourirt,Chakrane,Chakrane,CSR-2,Rural,108
Al Hoceima,Arbaa Taourirt,Arbaa Taourirt,Arbaa Taourirt,CSR-2,Rural,109
Al Hoceima,B.Gmil Mestassa,Bni Gmil Maksouline,Bni Gmil Maksouline,CSR-2,Rural,106
Al Hoceima,B.Gmil Mestassa,Bni Gmil,B. Gmil Mestassa,CSR-2,Rural,107
Al Hoceima,Bni Abdellah,Bni Abdallah,Bni Abdellah,CSR-2,Rural,117
Al Hoceima,Bni Ammart,Bni Ammart,Bni Ammart,CSR-2,Rural,122
Al Hoceima,Bni Bouayach,Bni Bouayach (Mun.),Bni Bouayach,CSU-2,Urbain,100
Al Hoceima,Bni Boufrah,Bni Boufrah,Bni Boufrah,CSR-2,Rural,104
Al Hoceima,Bni Bounsar,Bni Bounsar,Bni Bounsar,CSR-2,Rural,126
Al Hoceima,Bni Bounsar,Bni Ahmed Imoukzan,Bni Ahmed Imougzen (Admam),CSR-1,Rural,127
Al Hoceima,Bni Hadifa,Zaouiat Sidi Abdelkader,S.Abdelkader,CSR-2,Rural,115
Al Hoceima,Bni Hadifa,Bni Hadifa,Bni Hadifa,CSR-2,Rural,116
Al Hoceima,Ikaouen,Abdelghaya Souahel,Ikaouen,CSR-2,Rural,134
Al Hoceima,Imrabten,Imrabten,Tamassint,CSR-2,Rural,114
Al Hoceima,Issaguen,Issaguen,Issaguen,CSR-2,Rural,131
Al Hoceima,Izemmouren,Ait Kamra,Tazaghine,CSR-2,Rural,119
Al Hoceima,Izemmouren,Ait Kamra,Ait Kamra,CSR-2,Rural,119
Al Hoceima,Ketama,Ketama,Tlet Ketama,CSR-2,Rural,129
Al Hoceima,Nekkour,Tifarouine,Tifarouine (Ait Taa),CSR-2,Rural,110
Al Hoceima,Rouadi,Rouadi,Rouadi,CSR-2,Rural,120
Al Hoceima,Tabarrant,Taghzout,Taghzout,CSR-2,Rural,133
Al Hoceima,Tabarrant,Bni Bouchibet,Tabarrant,CSR-2,Rural,132
Chefchaouen,Assifane,Bni Selmane,Assifane,CSR-2,Rural,156
Chefchaouen,Bab Berred,Bab Berred,Bab Berred,CSR-2,Rural,136
Chefchaouen,Bab Taza,Bab Taza,Bab Taza,CSR-2,Rural,148
Chefchaouen,Bni Ahmed,Bni Ahmed Cherqia,Bni Ahmed,CSR-2,Rural,144
Chefchaouen,Bni Darkoul,Bni Darkoul,Bni Darkoul,CSR-2,Rural,150
Chefchaouen,Bni Mansour,Bni Mansour,Ain Lahjar,CSR-2,Rural,157
Chefchaouen,Bni Rzine,Bni Rzine,Bni Rzine,CSR-2,Rural,142
Chefchaouen,Bou Ahmed,Steha,Steha,CSR-2,Rural,159
Chefchaouen,Fifi,Fifi,Fifi,CSR-2,Rural,152
Chefchaouen,Fifi,Bni Faghloum,Doukala,CSR-2,Rural,151
Chefchaouen,Jebha,Ouaouzgane,Ouaouzgane,CSR-2,Rural,141
Chefchaouen,Jebha,M'tioua,Jabha,CSR-2,Rural,140
Chefchaouen,Kaa asrass,Tizgane,Kaa Assrass,CSR-2,Rural,160
Chefchaouen,Talambote,Talambote,Talambot,CSR-2,Rural,162
Chefchaouen,Tamorot,Tamorot,Tamorot,CSR-2,Rural,138
Chefchaouen,Tanaqoub,Tanaqoub,Tanaqoub,CSR-2,Rural,154
Fahs-Anjra,Anjra,Anjra,Khmiss Anjra,CSR-2,Rural,77
Fahs-Anjra,Jouamaa,Jouamaa,Hakkama,CSR-2,Rural,76
Fahs-Anjra,Ksar Sghir,Ksar Sghir,Ksar Sghir,CSR-2,Rural,75
Fahs-Anjra,Mellousa,Malloussa,Malloussa,CSR-2,Rural,73
Fahs-Anjra,Taghramt,Taghramt,Taghramt,CSR-2,Rural,78
Larache,Bni Arouss,Bni Arouss,Bni Arouss,CSR-2,Rural,88
Larache,Bni Garfett,Bni Garfett,Bni Garfett,CSR-2,Rural,91
Larache,Khemis Sahel,Sahel,Sahel,CSR-2,Rural,93
Larache,L'qolla,Souk L'Qolla,L'qolla,CSR-2,Rural,87
Larache,Laouamra,Laouamra,Laouamra,CSR-2,Rural,82
Larache,Rissana,Rissana Chamalia,Rissana Chamalia,CSR-2,Rural,94
Larache,Tatoft,Tatoft,Tatoft,CSR-2,Rural,86
Larache,Tazroute,Tazroute,Tazroute,CSR-2,Rural,89
Larache,Tolba,Souk Tolba,Oulad Lharti,CSR-2,Rural,98
Ouezzane,Brikcha,Brikcha,Brikcha,CSR-2,Rural,174
Ouezzane,Kalaat Bouqorra,Kalaat Bouqorra,Bouqorra,CSR-2,Rural,178
Ouezzane,Lamjaara,Lamjaara,Ain Dorrij,CSR-2,Rural,171
Ouezzane,Moqrissat,Moqrisset,Moqrissat,CSR-2,Rural,176
Ouezzane,Mzefroune,Masmouda,Masmouda,CSR-2,Rural,165
Ouezzane,Sidi Bousber,Sidi Bousber,Sidi Bousber,CSR-2,Rural,173
Ouezzane,Sidi Redouane,Sidi Redouane,Sidi Redouane,CSR-2,Rural,166
Ouezzane,Teroual,Zghira,Zghira,CSR-2,Rural,169
Ouezzane,Teroual,Teroual,Teroual,CSR-2,Rural,168
Ouezzane,Zoumi,Zoumi,Zoumi,CSR-2,Rural,179
Tanger Assilah,Bni Makada,Bni Makada (Arrond.),El mers Aouma,CSU-1,Urbain,34
Tanger Assilah,Dar Chaoui,Dar Chaoui,Dar Chaoui,CSR-2,Rural,38
Tanger Assilah,Gharbia,Had Al Gharbia,Had Gharbia,CSR-2,Rural,43
Tanger Assilah,Gueznaia,Gueznaia (Mun.),Gzenaya,CSU-2,Urbain,36
Tanger Assilah,Sidi Lyamani,Sidi Lyamani,Sidi Lyamani,CSR-2,Rural,45
Tetouan,Bni Hassan,Al Hamra,Beni Hassan,CSR-2,Rural,64
Tetouan,Jbel Lahbib,Jbel Lahbib,Jbel Hbib,CSR-2,Rural,55
Tetouan,Oued Laou,Oued Laou (Mun.),Oued Laou,CSU-2,Urbain,52
