Nom,Catégorie,Réseau,CS,Province,territoire_id
Bir Chifa,CAD,REMS,Bni Makada,Tanger Assilah,2
Bir Chifa,CHD,RH,Bni Makada,Tanger Assilah,2
Beni Makada (CMP),CJ,RH,Bni Makada,Tanger Assilah,2
9 Juillet,CSU-1,RESSP,Ouezzane,Ouezzane,9
Hôpital des spécialité Mohamed VI,HIR,RH,Gueznaia,Tanger Assilah,2
Oulad Hmid,CSU-1,RESSP,Ksar El Kebir,Larache,6
CALABONITA,CSU-1,RESSP,Al Hoceima,Al Hoceima,7
Hôpital psychiatrique Mohamed VI,CPU,RH,Gueznaia,Tanger Assilah,2
Hôpital mère enfant Mohamed VI,HIR,RH,Gueznaia,Tanger Assilah,2
Martil,CJ,RH,Martil,Mdiq-Fnideq,3
Targuist,CHD,RH,Targuist,Al Hoceima,7
Zaouyat Sidi Abdelkader,DR,RESSP,Bni Hadifa,Al Hoceima,7
Tazroute,DR,RESSP,Tazroute,Larache,6
Cité universitaire Larache,CMU,REMS,Larache,Larache,6
Imzouren,CHD,RH,Imzouren,Al Hoceima,7
Allal Al Fassi,CMS,REMS,Bni Makada,Tanger Assilah,2
Boussafou,CHD,RH,Tetouan,Tetouan,4
Dar Allalou,DR,RESSP,Azla -Zaitoune,Tetouan,4
Tétouan,CMU,REMS,Tetouan,Tetouan,4
Targuist,ESJ,REMS,Targuist,Al Hoceima,7
Imzouren,ESJ,REMS,Imzouren,Al Hoceima,7
Thanaoui,CSU-1,RESSP,Al Hoceima,Al Hoceima,7
Sidi Abid,CSU-1,RESSP,Al Hoceima,Al Hoceima,7
Bades,CSU-1,RESSP,Al Hoceima,Al Hoceima,7
ACHENAD,CSU-1,RESSP,Bni Makada,Tanger Assilah,2
Mohammed VI,HP,RH,Ait Yous.Ou Ali,Al Hoceima,7
Lmghessel,DR,RESSP,Lamjaara,Ouezzane,9
Bouhlal,CSU-1,RESSP,Ouezzane,Ouezzane,9
Fraoua,DR,RESSP,Lamjaara,Ouezzane,9
Zaytouna,DR,RESSP,Brikcha,Ouezzane,9
Bni Ouassine,DR,RESSP,Al Bahraoyine,Fahs-Anjra,5
Mghogha,CAD,REMS,Mghogha,Tanger Assilah,2
Larache-Hôp. Lalla Meriem,CHD,RH,Larache,Larache,6
