Province,Circ. sanitaire,Commune,Nom,Catégorie,Milieu,territoire_id
Al Hoceima,Bni Boufrah,Bni Boufrah,Bni Boufrah,CSR-2,Rural,104
Chefchaouen,Bab Berred,Bab Berred,Bab Berred,CSR-2,Rural,136
Chefchaouen,Bab Taza,Bab Taza,Bab Taza,CSR-2,Rural,148
Chefchaouen,Bni Ahmed,Bni Ahmed Cherqia,Bni Ahmed,CSR-2,Rural,144
Chefchaouen,Bou Ahmed,Steha,Steha,CSR-2,Rural,159
Chefchaouen,Jebha,M'tioua,Jabha,CSR-2,Rural,140
Fahs-Anjra,Ksar El Majaz,Ksar El Majaz,Ksar El Majaz,CSR-2,Rural,79
Ouezzane,Zoumi,Zoumi,Zoumi,CSR-2,Rural,179
Tetouan,Bni Hassan,Al Hamra,Beni Hassan,CSR-2,Rural,64
Tetouan,Bni Karrich,Dar Bni Karrich,Ben Karrich,CSR-2,Rural,67
Tetouan,Jbel Lahbib,Jbel Lahbib,Jbel Hbib,CSR-2,Rural,55
Tetouan,Oued Laou,Oued Laou (Mun.),Oued Laou,CSU-2,Urbain,52
